,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년04월_남_90~99세,517,30,22,20,46,24,22,17,15,21,7,21,20,29,40,10,11,16,61,15,23,14,33
2021년04월_남_100세 이상,29,0,0,3,0,2,1,2,2,1,0,1,0,1,1,1,3,1,4,1,2,1,2
2021년04월_여_총인구수,"278,336","8,757","11,968","11,506","14,448","14,162","6,662","15,544","12,168","18,078","10,590","18,325","19,306","11,515","17,991","3,324","11,425","12,240","23,081","11,968","7,857","9,227","8,194"
2021년04월_여_연령구간인구수,"278,336","8,757","11,968","11,506","14,448","14,162","6,662","15,544","12,168","18,078","10,590","18,325","19,306","11,515","17,991","3,324","11,425","12,240","23,081","11,968","7,857","9,227","8,194"
2021년04월_여_0~9세,"17,378",429,362,539,"1,106",957,389,"1,091",859,910,360,503,"1,406",884,"1,396",182,833,836,"2,118",955,359,616,288
2021년04월_여_10~19세,"27,907",830,456,639,"1,427","1,054",525,"1,552","2,400","2,471","1,128",689,"2,842","1,272","2,674",277,"1,276","1,122","2,358","1,423",516,686,290
2021년04월_여_20~29세,"37,738","1,188","2,537","1,941","1,642","2,048",865,"1,995","1,160","2,146","1,759","4,223","2,553","1,548","2,115",350,"1,370","1,658","2,783","1,222","1,034",859,742
2021년04월_여_30~39세,"43,322","1,268","2,939","2,432","1,854","2,460","1,012","2,805",897,"1,753","1,817","5,091","2,907","1,746","2,036",358,"1,453","1,879","3,569","1,540","1,046","1,354","1,106"
2021년04월_여_40~49세,"52,638","1,617","1,961","2,010","2,589","2,564","1,136","3,419","3,367","4,030","2,260","2,996","4,590","2,027","3,615",486,"1,969","2,118","4,002","2,443","1,041","1,617",781
2021년04월_여_50~59세,"40,054","1,278","1,418","1,533","2,129","2,094","1,130","2,088","1,702","3,124","1,604","1,981","2,257","1,777","2,717",519,"1,961","1,985","3,054","1,894","1,267","1,339","1,203"
2021년04월_여_60~69세,"32,567",969,"1,246","1,271","1,779","1,633",906,"1,332","1,010","2,156",855,"1,608","1,463","1,310","1,886",641,"1,622","1,651","2,791","1,574","1,398","1,489","1,977"
2021년04월_여_70~79세,"18,028",780,716,792,"1,282",921,487,907,526,"1,061",606,864,936,606,"1,051",343,642,694,"1,412",568,740,902,"1,192"
2021년04월_여_80~89세,"6,875",322,279,288,508,331,168,278,186,336,163,289,284,279,390,127,223,232,789,252,360,304,487
2021년04월_여_90~99세,"1,704",71,49,59,121,92,42,66,53,83,37,72,61,64,103,36,68,61,200,93,91,56,126
2021년04월_여_100세 이상,125,5,5,2,11,8,2,11,8,8,1,9,7,2,8,5,8,4,5,4,5,5,2
