카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년06월_계_80~89세,"26,574","7,235",928,774,746,576,476,634,599,645,741,768,348,"10,506","1,005",440,550,637,399,809,549,313,"1,249","1,128",596,509,618,636,"1,068","8,833",945,889,"1,016","1,455",454,841,"1,040",880,"1,313"
2020년06월_계_90~99세,"4,007","1,121",113,117,126,101,77,93,113,100,123,91,67,"1,576",133,70,148,101,38,115,82,42,191,156,85,79,79,95,162,"1,310",118,107,127,207,82,150,173,137,209
2020년06월_계_100세 이상,193,70,1,7,7,5,4,6,10,12,9,3,6,68,8,2,2,7,2,9,3,2,6,7,2,4,1,5,8,55,13,5,2,5,1,4,10,6,9
2020년06월_남_총인구수,"532,935","132,115","17,216","13,554","10,320","11,754","4,317","4,764","10,829","12,334","22,182","18,049","6,796","217,823","19,531","15,311","8,628","21,131","7,007","16,662","10,485","13,128","19,098","15,903","15,896","13,448","11,332","12,265","17,998","182,997","18,351","20,678","18,673","27,599","9,162","24,160","23,732","16,688","23,954"
2020년06월_남_연령구간인구수,"532,935","132,115","17,216","13,554","10,320","11,754","4,317","4,764","10,829","12,334","22,182","18,049","6,796","217,823","19,531","15,311","8,628","21,131","7,007","16,662","10,485","13,128","19,098","15,903","15,896","13,448","11,332","12,265","17,998","182,997","18,351","20,678","18,673","27,599","9,162","24,160","23,732","16,688","23,954"
2020년06월_남_0~9세,"52,977","11,063","1,230","1,036",821,"1,603",175,131,686,813,"2,579","1,618",371,"22,762","1,771","1,857",962,"2,323",559,"1,671",962,"1,657","1,785","1,457","1,825","1,431","1,554","1,095","1,853","19,152","1,466","2,472","1,858","2,694",813,"3,006","2,481","1,827","2,535"
2020년06월_남_10~19세,"63,852","14,280","2,093","1,215",948,878,308,476,"1,957","1,141","2,310","2,297",657,"26,429","1,928","1,848",667,"1,773",669,"2,264","1,135","1,242","2,537","1,613","2,911","2,457","1,538","1,507","2,340","23,143","1,952","2,997","2,736","3,627",833,"2,717","3,167","2,204","2,910"
2020년06월_남_20~29세,"70,494","18,487","2,652","1,799","1,216","1,058",419,515,"1,382","2,276","3,573","2,564","1,033","28,841","2,616","1,978","1,291","3,228","1,040","2,016","1,323","2,758","2,210","2,085","1,735","1,582","1,078","1,759","2,142","23,166","2,811","2,466","2,125","3,899","1,416","2,763","3,053","1,941","2,692"
2020년06월_남_30~39세,"73,188","18,028","2,140","1,637","1,274","2,110",437,469,"1,285","1,708","3,801","2,368",799,"30,108","3,297","2,436","1,666","4,121","1,047","1,996","1,384","2,356","2,115","2,079","1,552","1,112","1,485","1,430","2,032","25,052","3,326","3,000","1,919","3,371","1,679","3,780","3,320","2,123","2,534"
2020년06월_남_40~49세,"99,353","22,903","3,132","2,385","1,863","2,179",619,627,"1,669","2,042","3,902","3,422","1,063","41,512","3,410","2,992","1,371","3,636","1,276","3,253","1,906","2,253","3,808","2,686","3,843","2,966","2,448","2,196","3,468","34,938","3,032","4,444","3,789","5,319","1,497","4,680","4,496","3,170","4,511"
2020년06월_남_50~59세,"82,568","22,193","3,059","2,509","1,926","1,592",861,912,"1,748","2,077","3,082","3,119","1,308","32,898","3,147","2,364","1,290","3,244","1,234","2,536","1,669","1,539","2,785","2,445","2,295","2,219","1,323","2,144","2,664","27,477","2,727","3,063","2,934","4,254","1,416","3,440","3,552","2,484","3,607"
2020년06월_남_60~69세,"48,645","14,902","1,736","1,748","1,342","1,335",838,938,"1,300","1,373","1,768","1,556",968,"18,585","1,864","1,153",771,"1,665",596,"1,531","1,177",849,"1,851","1,706",885,899,823,"1,209","1,606","15,158","1,615","1,150","1,523","2,282",813,"2,170","1,863","1,354","2,388"
2020년06월_남_70~79세,"29,779","7,337",817,883,661,760,467,444,568,638,855,799,445,"11,839","1,032",533,355,870,402,"1,008",692,348,"1,400","1,267",586,559,765,671,"1,351","10,603","1,007",690,"1,266","1,472",490,"1,195","1,277","1,137","2,069"
2020년06월_남_80~89세,"11,004","2,653",334,315,247,212,170,228,211,239,285,281,131,"4,411",422,136,209,249,176,346,224,116,563,511,237,202,289,235,496,"3,940",377,362,492,624,178,374,482,403,648
2020년06월_남_90~99세,"1,040",257,23,25,21,27,23,23,22,22,25,25,21,422,41,14,45,21,7,39,13,9,43,52,27,19,28,19,45,361,36,32,31,57,27,35,39,45,59
2020년06월_남_100세 이상,35,12,0,2,1,0,0,1,1,5,2,0,0,16,3,0,1,1,1,2,0,1,1,2,0,2,1,0,1,7,2,2,0,0,0,0,2,0,1
2020년06월_여_총인구수,"540,180","124,803","15,938","12,275","9,858","11,533","3,900","4,036","9,140","12,055","21,963","17,746","6,359","223,008","19,557","15,471","8,752","21,266","6,551","16,889","10,682","12,504","20,409","16,599","17,076","13,921","11,936","12,797","18,598","192,369","18,514","21,468","19,669","29,559","9,439","24,856","25,307","17,651","25,906"
2020년06월_여_연령구간인구수,"540,180","124,803","15,938","12,275","9,858","11,533","3,900","4,036","9,140","12,055","21,963","17,746","6,359","223,008","19,557","15,471","8,752","21,266","6,551","16,889","10,682","12,504","20,409","16,599","17,076","13,921","11,936","12,797","18,598","192,369","18,514","21,468","19,669","29,559","9,439","24,856","25,307","17,651","25,906"
2020년06월_여_0~9세,"50,843","10,634","1,177",938,822,"1,564",170,104,636,806,"2,406","1,650",361,"21,684","1,759","1,799",953,"2,172",465,"1,520",965,"1,641","1,712","1,349","1,860","1,327","1,468","1,006","1,688","18,525","1,406","2,426","1,851","2,664",759,"2,806","2,464","1,688","2,461"
2020년06월_여_10~19세,"59,809","12,395","1,735","1,139",872,907,251,357,"1,187","1,068","2,186","2,161",532,"24,888","1,791","1,737",623,"1,732",668,"2,097","1,028","1,198","2,364","1,513","2,810","2,305","1,445","1,370","2,207","22,526","1,840","2,874","2,590","3,611",782,"2,594","3,118","2,082","3,035"
2020년06월_여_20~29세,"65,454","15,497","2,030","1,432",887,961,331,345,"1,011","2,080","3,327","2,237",856,"26,932","2,573","1,761","1,158","3,425",922,"1,955","1,144","1,997","2,055","2,003","1,719","1,485","1,119","1,644","1,972","23,025","2,643","2,513","1,974","3,878","1,399","2,759","3,285","1,948","2,626"
2020년06월_여_30~39세,"75,211","16,230","1,858","1,492","1,093","2,162",309,288,"1,010","1,441","3,682","2,265",630,"31,347","3,035","2,512","1,583","4,038",888,"2,058","1,412","2,339","2,317","2,157","1,967","1,481","1,723","1,506","2,331","27,634","2,937","3,419","2,240","3,813","1,673","4,262","3,658","2,367","3,265"
2020년06월_여_40~49세,"101,518","20,509","2,909","1,991","1,542","1,753",473,406,"1,395","1,842","3,780","3,422",996,"43,007","3,367","3,070","1,359","3,479","1,168","3,336","1,895","2,103","4,081","2,796","4,161","3,417","2,509","2,390","3,876","38,002","3,219","4,692","4,338","5,802","1,585","4,810","4,963","3,481","5,112"
2020년06월_여_50~59세,"79,319","20,593","2,719","2,073","1,757","1,564",758,751,"1,632","2,078","3,155","2,831","1,275","32,155","3,031","2,307","1,400","3,168","1,037","2,449","1,744","1,657","2,882","2,562","2,107","1,887","1,285","2,145","2,494","26,571","2,679","2,648","2,704","4,291","1,441","3,361","3,436","2,486","3,525"
2020년06월_여_60~69세,"54,059","14,945","1,754","1,692","1,446","1,437",781,785,"1,173","1,446","1,877","1,620",934,"21,448","1,989","1,320",839,"1,778",642,"1,752","1,367",886,"2,400","1,968","1,153",978,"1,135","1,389","1,852","17,666","1,846","1,246","1,859","2,657",916,"2,338","2,168","1,675","2,961"
2020년06월_여_70~79세,"35,272","8,496","1,071",962,829,742,463,519,608,803,989,"1,004",506,"14,246","1,332",603,392,"1,000",506,"1,176",730,452,"1,759","1,525",880,672,872,865,"1,482","12,530","1,283","1,045","1,491","1,857",552,"1,340","1,515","1,349","2,098"
2020년06월_여_80~89세,"15,570","4,582",594,459,499,364,306,406,388,406,456,487,217,"6,095",583,304,341,388,223,463,325,197,686,617,359,307,329,401,572,"4,893",568,527,524,831,276,467,558,477,665
2020년06월_여_90~99세,"2,967",864,90,92,105,74,54,70,91,78,98,66,46,"1,154",92,56,103,80,31,76,69,33,148,104,58,60,51,76,117,949,82,75,96,150,55,115,134,92,150
2020년06월_여_100세 이상,158,58,1,5,6,5,4,5,9,7,7,3,6,52,5,2,1,6,1,7,3,1,5,5,2,2,0,5,7,48,11,3,2,5,1,4,8,6,8
