,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년02월_남_40~49세,"50,529","2,229","4,372","3,016","3,115",993,299,"2,105",544,394,"3,881","2,186","2,028","1,225","1,916",671,469,"1,816",840,278,"8,494","4,610","2,729","2,319"
2021년02월_남_50~59세,"46,254","2,810","3,835","2,477","1,689","1,180",387,"1,784",741,562,"4,175","2,437","1,683","1,081","2,058",598,535,"2,190","1,021",431,"5,992","4,263","1,711","2,614"
2021년02월_남_60~69세,"28,148","2,263","1,969","1,484","1,104",956,408,"1,031",605,588,"2,237","1,557",956,620,"1,372",372,469,"1,454",760,360,"2,918","2,472",762,"1,431"
2021년02월_남_70~79세,"12,551","1,215",828,644,544,487,218,483,319,381,965,753,330,291,570,171,263,703,394,205,"1,069",934,250,534
2021년02월_남_80~89세,"5,081",572,354,220,183,174,90,184,156,157,332,316,133,120,232,87,122,277,157,73,371,442,76,253
2021년02월_남_90~99세,516,51,35,28,25,15,6,14,25,17,34,43,13,8,29,12,14,25,14,9,31,38,6,24
2021년02월_남_100세 이상,74,17,0,0,0,1,1,3,0,0,7,9,2,1,6,5,10,3,4,1,2,1,0,1
2021년02월_여_총인구수,"262,564","13,711","21,164","9,660","12,736","5,124","1,648","11,113","3,127","2,498","21,438","12,567","9,584","5,881","11,065","3,710","2,836","11,056","5,124","1,965","42,931","27,278","12,094","14,254"
2021년02월_여_연령구간인구수,"262,564","13,711","21,164","9,660","12,736","5,124","1,648","11,113","3,127","2,498","21,438","12,567","9,584","5,881","11,065","3,710","2,836","11,056","5,124","1,965","42,931","27,278","12,094","14,254"
2021년02월_여_0~9세,"24,246",765,"1,971",955,"1,962",250,61,"1,354",140,65,"1,418",651,"1,163",373,789,279,74,491,267,62,"5,503","2,827","1,590","1,236"
2021년02월_여_10~19세,"25,979",834,"2,866",907,"1,550",374,82,957,237,144,"2,378","1,113",925,467,"1,098",239,126,819,314,86,"4,567","2,965","1,525","1,406"
2021년02월_여_20~29세,"33,529","1,279","2,686","1,099","1,067",567,123,"1,479",292,177,"3,143","1,659","1,198","1,060","1,323",472,326,"1,817",713,260,"5,609","3,549","1,596","2,035"
2021년02월_여_30~39세,"37,266","1,345","2,538","1,309","2,346",498,140,"2,083",234,145,"2,344","1,340","1,614",885,"1,286",565,248,"1,238",601,168,"8,147","4,036","2,223","1,933"
2021년02월_여_40~49세,"44,300","1,758","4,171","1,596","2,377",695,169,"1,663",359,236,"3,742","1,931","1,652",924,"1,807",547,309,"1,628",750,238,"8,119","4,919","2,434","2,276"
2021년02월_여_50~59세,"41,708","2,348","3,165","1,434","1,310",960,292,"1,639",551,405,"4,009","2,407","1,546",909,"2,017",553,473,"2,070",884,374,"5,798","4,415","1,493","2,656"
2021년02월_여_60~69세,"28,400","2,537","1,884","1,183","1,094",878,331,"1,013",579,552,"2,325","1,735",818,620,"1,412",504,543,"1,545",782,389,"3,001","2,508",732,"1,435"
2021년02월_여_70~79세,"16,173","1,655","1,108",678,548,533,251,509,386,411,"1,256","1,072",392,418,817,346,439,900,493,248,"1,357","1,284",300,772
2021년02월_여_80~89세,"9,267",997,650,414,388,317,178,342,302,299,706,573,225,187,434,168,237,479,265,119,714,665,173,435
2021년02월_여_90~99세,"1,532",160,114,81,88,49,20,72,45,61,106,78,47,34,74,30,48,61,45,18,110,97,28,66
2021년02월_여_100세 이상,164,33,11,4,6,3,1,2,2,3,11,8,4,4,8,7,13,8,10,3,6,13,0,4
