,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년07월_남_90~99세,82,9,0,14,1,1,1,0,2,5,7,3,0,2,0,1,0,1,4,3,3,12,2,2,9
2020년07월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020년07월_여_총인구수,"18,495","2,057",119,"2,722",117,95,709,141,"1,501","1,073","1,707","1,252",93,"1,046",166,99,225,137,824,727,755,"1,312",130,499,989
2020년07월_여_연령구간인구수,"18,495","2,057",119,"2,722",117,95,709,141,"1,501","1,073","1,707","1,252",93,"1,046",166,99,225,137,824,727,755,"1,312",130,499,989
2020년07월_여_0~9세,803,69,3,113,4,2,29,4,92,43,65,61,3,39,5,4,16,6,45,45,36,64,4,11,40
2020년07월_여_10~19세,990,124,4,146,1,2,28,3,99,49,113,111,2,50,9,7,11,10,46,46,36,43,3,17,30
2020년07월_여_20~29세,"1,183",110,5,232,3,2,46,12,91,63,105,68,3,84,24,6,25,12,45,65,33,82,6,10,51
2020년07월_여_30~39세,"1,058",114,6,162,6,4,33,4,91,43,96,64,7,65,10,5,21,10,53,53,49,74,11,23,54
2020년07월_여_40~49세,"1,482",165,6,235,5,5,55,10,141,78,154,115,7,94,21,6,26,10,64,68,41,70,12,32,62
2020년07월_여_50~59세,"2,822",312,19,484,16,12,102,24,233,184,239,163,20,170,30,16,43,18,113,116,89,175,23,67,154
2020년07월_여_60~69세,"3,438",374,20,543,29,23,117,37,268,209,324,193,21,169,26,20,36,31,154,116,160,246,29,98,195
2020년07월_여_70~79세,"3,570",435,27,428,36,29,179,29,290,234,332,232,13,191,24,14,24,19,150,110,165,269,20,127,193
2020년07월_여_80~89세,"2,761",308,27,319,16,16,105,17,180,155,237,221,14,145,16,19,23,16,141,98,127,244,21,103,193
2020년07월_여_90~99세,377,45,2,57,1,0,14,1,16,15,42,24,2,36,1,2,0,5,13,9,18,45,1,11,17
2020년07월_여_100세 이상,11,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0
