,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2020년10월_남_총인구수,"167,794","10,644","9,844","7,658","10,428","8,322","14,494","5,336","17,170","11,019","12,585","13,851","8,926","10,545","13,016","13,956"
2020년10월_남_연령구간인구수,"167,794","10,644","9,844","7,658","10,428","8,322","14,494","5,336","17,170","11,019","12,585","13,851","8,926","10,545","13,016","13,956"
2020년10월_남_0~9세,"10,147",185,479,416,637,405,799,298,"1,742",512,851,"1,190",353,452,903,925
2020년10월_남_10~19세,"13,362",337,545,391,715,497,"1,080",288,"2,829",809,"1,015","1,321",440,592,"1,212","1,291"
2020년10월_남_20~29세,"29,507","4,060","2,138","1,284","1,742","1,362","2,270","1,008","2,063","2,088","1,931","1,952","1,312","2,195","1,862","2,240"
2020년10월_남_30~39세,"27,764","2,297","1,852","1,501","1,921","1,420","2,200","1,203","1,670","1,913","1,971","2,067","1,411","2,140","1,944","2,254"
2020년10월_남_40~49세,"26,085","1,212","1,359","1,123","1,502","1,220","2,139",835,"3,594","1,714","2,037","2,168","1,318","1,611","2,132","2,121"
2020년10월_남_50~59세,"26,784","1,106","1,486","1,254","1,697","1,461","2,573",654,"2,769","1,764","2,014","2,264","1,659","1,571","2,172","2,340"
2020년10월_남_60~69세,"20,031",782,"1,132",980,"1,309","1,155","2,014",571,"1,476","1,323","1,736","1,764","1,425","1,105","1,597","1,662"
2020년10월_남_70~79세,"10,284",476,631,532,691,606,"1,091",332,649,647,787,747,756,641,888,810
2020년10월_남_80~89세,"3,426",163,208,165,197,177,295,128,327,220,217,329,228,220,279,273
2020년10월_남_90~99세,349,21,13,9,14,17,25,18,48,24,23,45,19,16,22,35
2020년10월_남_100세 이상,55,5,1,3,3,2,8,1,3,5,3,4,5,2,5,5
2020년10월_여_총인구수,"179,821","11,871","10,053","7,991","11,590","8,442","15,091","6,282","18,405","11,872","13,277","14,957","8,985","11,541","14,059","15,405"
2020년10월_여_연령구간인구수,"179,821","11,871","10,053","7,991","11,590","8,442","15,091","6,282","18,405","11,872","13,277","14,957","8,985","11,541","14,059","15,405"
2020년10월_여_0~9세,"9,757",202,428,371,594,360,733,283,"1,625",536,804,"1,170",373,430,887,961
2020년10월_여_10~19세,"12,850",395,516,365,707,489,923,266,"2,712",727,907,"1,323",452,593,"1,178","1,297"
2020년10월_여_20~29세,"33,277","5,482","2,309","1,470","2,175","1,347","2,249","1,393","2,095","2,319","1,981","2,036","1,392","2,597","1,911","2,521"
2020년10월_여_30~39세,"28,444","2,075","1,773","1,433","2,022","1,297","2,222","1,462","2,223","1,906","2,022","2,312","1,216","2,138","1,958","2,385"
2020년10월_여_40~49세,"26,781",967,"1,245","1,066","1,529","1,163","2,100",809,"4,152","1,703","2,064","2,440","1,183","1,617","2,268","2,475"
2020년10월_여_50~59세,"28,084",980,"1,446","1,302","1,897","1,509","2,799",784,"2,673","1,887","2,292","2,420","1,488","1,657","2,392","2,558"
2020년10월_여_60~69세,"22,131",898,"1,216","1,084","1,515","1,232","2,295",681,"1,517","1,491","1,852","1,799","1,555","1,324","1,871","1,801"
2020년10월_여_70~79세,"12,118",571,746,630,788,702,"1,224",402,825,883,896,860,884,779,"1,045",883
2020년10월_여_80~89세,"5,302",238,314,217,297,291,445,171,473,351,378,506,375,349,461,436
2020년10월_여_90~99세,912,44,51,47,60,40,82,26,103,59,71,80,56,44,68,81
2020년10월_여_100세 이상,165,19,9,6,6,12,19,5,7,10,10,11,11,13,20,7
