,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 일직동,경기도 광명시 학온동
2021년11월_남_총인구수,"144,827",83,"1,638","4,809","6,608","6,850","5,194","10,554","5,417","3,026","17,067","6,556","12,944","6,528","9,475","5,997","15,435","14,408","11,049","1,189"
2021년11월_남_연령구간인구수,"144,827",83,"1,638","4,809","6,608","6,850","5,194","10,554","5,417","3,026","17,067","6,556","12,944","6,528","9,475","5,997","15,435","14,408","11,049","1,189"
2021년11월_남_0~9세,"11,166",0,63,169,295,421,362,775,426,86,"1,489",516,"1,092",457,729,478,"1,428",946,"1,406",28
2021년11월_남_10~19세,"15,301",3,119,342,453,615,583,905,711,189,"2,296",590,"1,609",508,914,681,"2,186","1,543",998,56
2021년11월_남_20~29세,"19,250",4,201,640,894,939,635,"1,457",773,438,"2,252",882,"1,671",864,"1,212",840,"1,870","2,021","1,547",110
2021년11월_남_30~39세,"20,440",10,215,685,970,843,610,"1,625",749,429,"1,904","1,160","1,487","1,315","1,377","1,042","1,800","1,829","2,274",116
2021년11월_남_40~49세,"24,589",11,245,689,955,"1,127",866,"1,681",909,421,"3,029","1,101","2,345","1,137","1,622","1,018","2,881","2,273","2,141",138
2021년11월_남_50~59세,"24,453",30,293,896,"1,148","1,138",886,"1,699",915,665,"2,933","1,090","2,271","1,033","1,617","1,010","2,447","2,523","1,622",237
2021년11월_남_60~69세,"18,767",17,290,822,"1,168","1,069",771,"1,524",613,522,"2,061",776,"1,639",719,"1,197",601,"1,830","2,016",830,302
2021년11월_남_70~79세,"7,974",6,160,411,560,520,362,674,234,187,792,356,628,338,529,228,756,931,180,122
2021년11월_남_80~89세,"2,642",1,48,150,152,166,112,195,81,82,289,79,184,139,251,93,209,296,40,75
2021년11월_남_90~99세,237,1,4,4,13,12,7,19,6,7,21,4,18,18,25,6,28,28,11,5
2021년11월_남_100세 이상,8,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0
2021년11월_여_총인구수,"148,936",67,"1,577","5,058","6,862","7,040","5,322","10,826","5,514","2,710","17,748","6,522","13,001","7,334","10,572","6,369","16,260","14,386","10,854",914
2021년11월_여_연령구간인구수,"148,936",67,"1,577","5,058","6,862","7,040","5,322","10,826","5,514","2,710","17,748","6,522","13,001","7,334","10,572","6,369","16,260","14,386","10,854",914
2021년11월_여_0~9세,"10,765",0,42,163,319,384,392,812,412,100,"1,505",469,"1,025",468,620,439,"1,375",906,"1,306",28
2021년11월_여_10~19세,"14,367",1,97,293,447,563,536,893,646,183,"2,117",547,"1,531",493,862,659,"2,072","1,425",973,29
2021년11월_여_20~29세,"17,719",2,162,582,836,778,587,"1,292",682,400,"2,087",764,"1,478",865,"1,203",819,"1,800","1,682","1,616",84
2021년11월_여_30~39세,"19,702",7,153,518,802,816,596,"1,555",735,297,"2,113","1,135","1,467","1,187","1,376",939,"1,987","1,598","2,340",81
2021년11월_여_40~49세,"25,338",11,208,667,928,"1,084",898,"1,626","1,050",361,"3,406","1,099","2,479","1,163","1,683","1,204","3,140","2,224","2,031",76
2021년11월_여_50~59세,"24,644",14,277,959,"1,193","1,225",891,"1,805",938,542,"2,931","1,057","2,187","1,165","1,703","1,057","2,510","2,511","1,515",164
2021년11월_여_60~69세,"20,653",23,346,"1,031","1,309","1,208",816,"1,687",623,446,"2,182",852,"1,666","1,038","1,479",706,"1,991","2,255",768,227
2021년11월_여_70~79세,"9,668",7,194,553,691,627,397,743,272,226,849,402,698,491,913,332,853,"1,142",170,108
2021년11월_여_80~89세,"5,162",1,91,253,291,308,186,344,137,130,469,170,396,389,625,182,437,552,108,93
2021년11월_여_90~99세,890,1,7,37,45,47,22,68,19,24,89,26,69,73,101,31,93,88,27,23
2021년11월_여_100세 이상,28,0,0,2,1,0,1,1,0,1,0,1,5,2,7,1,2,3,0,1
