카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년10월_계_80~89세,"68,636","24,796","6,630","6,357","6,123","5,686","10,447","6,668","3,190","3,853","3,978","1,546","3,606","3,478","4,856","2,218"
2021년10월_계_90~99세,"9,500","3,496",977,897,854,768,"1,353",836,500,618,541,188,480,471,730,287
2021년10월_계_100세 이상,318,113,31,26,19,37,40,59,15,13,14,2,14,16,19,13
2021년10월_남_총인구수,"810,093","428,012","96,312","95,869","135,961","99,870","105,956","66,270","16,027","25,274","22,879","18,957","44,628","18,952","48,741","14,397"
2021년10월_남_연령구간인구수,"810,093","428,012","96,312","95,869","135,961","99,870","105,956","66,270","16,027","25,274","22,879","18,957","44,628","18,952","48,741","14,397"
2021년10월_남_0~9세,"60,245","36,524","8,124","6,561","12,040","9,799","6,984","4,236",692,"1,259","1,088","1,562","3,855",609,"2,858",578
2021년10월_남_10~19세,"76,203","44,039","10,222","10,141","13,651","10,025","9,614","5,877","1,067","2,003","1,671","1,753","4,348",956,"3,861","1,014"
2021년10월_남_20~29세,"108,726","65,139","13,268","15,286","22,135","14,450","13,714","8,067","1,329","2,348","2,200","2,603","5,385","1,481","5,258","1,202"
2021년10월_남_30~39세,"102,044","62,250","11,993","11,598","21,895","16,764","12,454","6,580","1,095","1,928","1,574","2,434","6,296","1,272","5,162",999
2021년10월_남_40~49세,"122,755","68,788","15,064","14,694","21,963","17,067","15,542","9,116","1,738","3,248","2,701","2,940","7,469","2,070","7,444","1,699"
2021년10월_남_50~59세,"139,337","69,051","16,635","16,597","21,563","14,256","18,942","12,018","3,133","4,740","4,311","3,200","7,590","3,823","9,663","2,866"
2021년10월_남_60~69세,"120,481","51,495","12,955","12,992","14,791","10,757","17,117","12,149","3,745","5,320","5,010","2,664","5,804","4,910","8,781","3,486"
2021년10월_남_70~79세,"54,430","21,503","5,571","5,570","5,655","4,707","7,670","5,601","2,045","2,968","2,825","1,226","2,555","2,489","3,865","1,683"
2021년10월_남_80~89세,"23,740","8,496","2,262","2,251","2,099","1,884","3,594","2,423","1,072","1,309","1,383",531,"1,225","1,235","1,678",794
2021년10월_남_90~99세,"2,069",709,215,174,166,154,316,188,111,150,114,44,96,103,165,73
2021년10월_남_100세 이상,63,18,3,5,3,7,9,15,0,1,2,0,5,4,6,3
2021년10월_여_총인구수,"786,855","420,866","97,460","97,084","131,850","94,472","103,543","65,632","15,836","24,920","23,059","17,414","40,423","17,891","43,263","14,008"
2021년10월_여_연령구간인구수,"786,855","420,866","97,460","97,084","131,850","94,472","103,543","65,632","15,836","24,920","23,059","17,414","40,423","17,891","43,263","14,008"
2021년10월_여_0~9세,"57,658","35,073","7,871","6,306","11,565","9,331","6,874","4,009",654,"1,184","1,053","1,427","3,629",588,"2,641",526
2021년10월_여_10~19세,"70,555","40,931","9,479","9,393","12,731","9,328","8,923","5,495",961,"1,767","1,538","1,608","4,021",909,"3,526",876
2021년10월_여_20~29세,"86,501","54,262","11,279","12,875","18,661","11,447","10,077","6,348",914,"1,801","1,692","1,792","3,886","1,025","3,844",860
2021년10월_여_30~39세,"89,319","55,983","11,477","10,657","19,620","14,229","10,501","5,878",921,"1,800","1,411","1,956","5,131",945,"3,945",848
2021년10월_여_40~49세,"114,241","66,891","15,342","15,063","21,200","15,286","14,621","8,627","1,392","2,806","2,300","2,514","6,280","1,516","5,897","1,397"
2021년10월_여_50~59세,"131,141","68,752","16,759","17,094","21,462","13,437","18,073","11,494","2,501","4,064","3,771","2,833","6,267","3,182","7,723","2,481"
2021년10월_여_60~69세,"119,435","53,527","13,263","13,890","15,157","11,217","17,089","12,125","3,541","5,086","4,693","2,658","5,475","4,302","7,663","3,276"
2021년10월_여_70~79세,"65,423","26,265","6,832","6,956","6,726","5,751","9,464","6,719","2,430","3,388","3,567","1,465","2,960","2,801","4,268","2,096"
2021년10월_여_80~89세,"44,896","16,300","4,368","4,106","4,024","3,802","6,853","4,245","2,118","2,544","2,595","1,015","2,381","2,243","3,178","1,424"
2021년10월_여_90~99세,"7,431","2,787",762,723,688,614,"1,037",648,389,468,427,144,384,368,565,214
2021년10월_여_100세 이상,255,95,28,21,16,30,31,44,15,12,12,2,9,12,13,10
