,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년05월_남_연령구간인구수,"225,084","15,323","15,097","10,921","12,915","21,107","10,878","10,584","8,560","9,158","7,575","5,665","10,313","10,326","9,949","23,043","16,742","12,251","14,677"
2020년05월_남_0~9세,"16,993","1,547",914,765,739,"1,880",560,784,543,811,538,632,588,990,687,"1,888",967,"1,111","1,049"
2020년05월_남_10~19세,"26,934","2,586","1,420",854,"1,887","4,159",700,910,618,897,716,526,737,"1,577","1,546","2,805","1,226","1,927","1,843"
2020년05월_남_20~29세,"31,115","1,695","2,538","1,796","2,219","2,449","1,447","1,396","1,109","1,130","1,111",683,"1,465","1,281","1,394","3,129","2,598","1,673","2,002"
2020년05월_남_30~39세,"29,295","1,482","2,784","2,026","1,484","1,812","1,527","1,611","1,187","1,274","1,155","1,064","1,457",954,880,"2,908","2,822","1,279","1,589"
2020년05월_남_40~49세,"38,448","3,253","2,234","1,580","2,072","4,229","1,682","1,713","1,313","1,564","1,168",894,"1,589","1,969","1,809","3,999","2,666","2,160","2,554"
2020년05월_남_50~59세,"38,297","2,585","2,402","1,718","2,414","3,486","2,101","1,653","1,668","1,415","1,245",816,"1,806","1,823","1,870","3,847","2,636","2,171","2,641"
2020년05월_남_60~69세,"26,873","1,362","1,776","1,372","1,267","1,937","1,767","1,504","1,333","1,249","1,009",643,"1,614","1,030","1,102","2,624","2,199","1,258","1,827"
2020년05월_남_70~79세,"13,075",630,778,601,654,866,888,800,590,645,492,320,774,526,462,"1,417","1,253",502,877
2020년05월_남_80~89세,"3,606",156,211,191,162,241,189,200,184,155,132,77,255,151,179,386,340,137,260
2020년05월_남_90~99세,404,25,35,15,15,48,12,11,11,16,7,8,26,23,17,38,31,33,33
2020년05월_남_100세 이상,44,2,5,3,2,0,5,2,4,2,2,2,2,2,3,2,4,0,2
2020년05월_여_총인구수,"233,097","16,595","15,914","11,804","13,442","21,521","10,314","10,985","7,647","9,499","7,668","5,776","10,685","10,798","10,363","24,175","17,389","12,918","15,604"
2020년05월_여_연령구간인구수,"233,097","16,595","15,914","11,804","13,442","21,521","10,314","10,985","7,647","9,499","7,668","5,776","10,685","10,798","10,363","24,175","17,389","12,918","15,604"
2020년05월_여_0~9세,"16,090","1,529",936,686,756,"1,677",523,779,434,785,509,570,579,882,699,"1,801",897,"1,029","1,019"
2020년05월_여_10~19세,"24,730","2,580","1,228",709,"1,627","3,507",697,913,577,794,647,549,735,"1,519","1,428","2,596","1,158","1,783","1,683"
2020년05월_여_20~29세,"29,551","1,792","2,600","1,853","1,973","2,217","1,262","1,286","1,019","1,057","1,022",623,"1,277","1,248","1,288","2,928","2,748","1,574","1,784"
2020년05월_여_30~39세,"30,232","2,035","2,666","2,057","1,482","2,356","1,263","1,508",950,"1,335","1,056","1,014","1,293","1,212","1,011","3,051","2,559","1,618","1,766"
2020년05월_여_40~49세,"41,827","3,802","2,483","1,722","2,637","5,163","1,550","1,688","1,039","1,507","1,198",935,"1,479","2,199","2,093","4,290","2,673","2,612","2,757"
2020년05월_여_50~59세,"38,770","2,381","2,637","2,038","2,450","3,242","1,928","1,770","1,393","1,504","1,362",877,"1,887","1,715","1,796","4,042","2,871","2,200","2,677"
2020년05월_여_60~69세,"28,921","1,423","1,949","1,556","1,322","1,979","1,724","1,768","1,188","1,421","1,041",723,"1,803","1,086","1,083","2,990","2,535","1,288","2,042"
2020년05월_여_70~79세,"14,724",675,887,725,774,785,924,859,725,712,563,324,"1,050",573,612,"1,600","1,372",451,"1,113"
2020년05월_여_80~89세,"6,875",311,450,384,364,473,359,343,271,338,230,125,512,286,289,723,485,298,634
2020년05월_여_90~99세,"1,248",63,71,61,52,117,77,65,43,39,35,28,70,74,52,145,80,63,113
2020년05월_여_100세 이상,129,4,7,13,5,5,7,6,8,7,5,8,0,4,12,9,11,2,16
