카테고리,제주특별자치도 서귀포시,제주특별자치도 서귀포시 대정읍,제주특별자치도 서귀포시 남원읍,제주특별자치도 서귀포시 성산읍,제주특별자치도 서귀포시 안덕면,제주특별자치도 서귀포시 표선면,제주특별자치도 서귀포시 송산동,제주특별자치도 서귀포시 정방동,제주특별자치도 서귀포시 중앙동,제주특별자치도 서귀포시 천지동,제주특별자치도 서귀포시 효돈동,제주특별자치도 서귀포시 영천동,제주특별자치도 서귀포시 동홍동,제주특별자치도 서귀포시 서홍동,제주특별자치도 서귀포시 대륜동,제주특별자치도 서귀포시 대천동,제주특별자치도 서귀포시 중문동,제주특별자치도 서귀포시 예래동
2020년02월_여_총인구수,"89,671","10,912","9,138","7,359","5,820","5,941","2,017","1,122","1,927","1,731","2,597","2,590","11,800","5,277","7,175","6,775","5,533","1,957"
2020년02월_여_연령구간인구수,"89,671","10,912","9,138","7,359","5,820","5,941","2,017","1,122","1,927","1,731","2,597","2,590","11,800","5,277","7,175","6,775","5,533","1,957"
2020년02월_여_0~9세,"7,323",838,567,467,454,395,112,59,112,85,185,168,"1,116",599,733,802,504,127
2020년02월_여_10~19세,"8,362","1,185",766,504,439,438,165,68,133,124,196,218,"1,546",698,592,596,563,131
2020년02월_여_20~29세,"9,026",839,864,660,659,552,200,94,161,163,281,274,"1,336",579,745,732,632,255
2020년02월_여_30~39세,"10,050","1,139",814,686,602,577,189,109,156,171,261,211,"1,308",627,"1,089","1,160",729,222
2020년02월_여_40~49세,"13,677","1,971","1,207",883,861,828,258,149,239,254,320,358,"2,008",945,"1,154","1,116",885,241
2020년02월_여_50~59세,"14,709","1,674","1,590","1,401",941,"1,125",360,236,389,323,423,454,"1,930",713,"1,065",934,833,318
2020년02월_여_60~69세,"11,770","1,305","1,346","1,154",740,914,307,209,401,298,384,351,"1,319",551,906,709,619,257
2020년02월_여_70~79세,"8,330","1,038","1,081",819,589,626,256,117,215,201,305,302,801,357,566,423,431,203
2020년02월_여_80~89세,"5,337",758,771,651,427,412,139,61,109,97,206,200,364,175,272,253,281,161
2020년02월_여_90~99세,999,151,123,127,103,66,26,18,9,13,29,50,70,31,47,48,50,38
2020년02월_여_100세 이상,88,14,9,7,5,8,5,2,3,2,7,4,2,2,6,2,6,4
