,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2021년03월_계_80~89세,"12,585",501,502,599,240,219,217,323,334,360,325,310,525,423,273,218,212,198,435,886,350,674,"1,186",244,592,233,422,700,282,802
2021년03월_계_90~99세,"2,066",85,86,106,54,45,40,59,42,54,47,43,108,80,57,31,47,29,55,106,49,88,194,31,111,37,64,132,77,109
2021년03월_계_100세 이상,94,5,2,9,3,2,3,0,1,4,2,2,7,2,3,3,4,1,2,7,0,3,6,2,3,0,4,10,3,1
2021년03월_남_총인구수,"139,763","3,391","3,874","3,622","1,136",797,984,"1,330","1,626","1,482","1,671","2,766","2,248","2,361","1,333",781,"1,810","2,550","3,616","11,135","4,775","5,942","18,482","4,247","11,413","7,026","12,346","7,888","3,472","15,659"
2021년03월_남_연령구간인구수,"139,763","3,391","3,874","3,622","1,136",797,984,"1,330","1,626","1,482","1,671","2,766","2,248","2,361","1,333",781,"1,810","2,550","3,616","11,135","4,775","5,942","18,482","4,247","11,413","7,026","12,346","7,888","3,472","15,659"
2021년03월_남_0~9세,"9,570",187,264,143,30,12,21,34,49,37,76,176,57,100,39,12,60,167,167,820,235,253,"1,849",421,742,630,"1,157",312,279,"1,241"
2021년03월_남_10~19세,"14,101",276,305,253,60,40,44,69,87,67,86,162,115,157,55,48,77,158,216,"1,165",389,494,"2,131",521,"1,379","1,066","1,705",560,336,"2,080"
2021년03월_남_20~29세,"19,491",337,361,382,101,49,75,100,121,82,178,428,149,239,142,56,203,263,467,"1,374",737,748,"2,399",475,"1,803","1,216","1,899","2,250",446,"2,411"
2021년03월_남_30~39세,"14,671",271,408,288,74,45,47,102,111,102,154,259,136,182,89,38,186,262,446,"1,253",505,556,"2,094",566,"1,215",778,"1,497",858,457,"1,692"
2021년03월_남_40~49세,"21,133",443,555,441,122,84,115,146,201,154,198,332,263,316,155,88,247,398,472,"1,782",680,815,"3,064",753,"1,689","1,235","2,265",905,542,"2,673"
2021년03월_남_50~59세,"24,712",616,676,711,229,155,211,202,325,275,315,476,405,470,304,124,285,517,626,"1,984",881,969,"2,965",644,"2,108","1,286","2,267","1,128",565,"2,993"
2021년03월_남_60~69세,"20,419",706,720,734,252,191,241,319,375,369,308,520,537,480,282,191,386,455,607,"1,664",823,"1,001","2,382",520,"1,662",501,"1,044",985,483,"1,681"
2021년03월_남_70~79세,"11,069",377,388,447,177,133,155,240,230,260,254,289,377,277,172,142,267,254,439,787,401,789,"1,147",253,623,234,375,665,254,663
2021년03월_남_80~89세,"4,108",161,175,200,79,78,66,103,118,123,91,109,169,120,82,74,87,71,159,280,115,291,398,85,171,75,124,203,93,208
2021년03월_남_90~99세,467,16,20,20,12,10,8,15,9,12,10,15,37,20,12,8,12,5,17,25,9,24,52,8,21,5,12,21,16,16
2021년03월_남_100세 이상,22,1,2,3,0,0,1,0,0,1,1,0,3,0,1,0,0,0,0,1,0,2,1,1,0,0,1,1,1,1
2021년03월_여_총인구수,"140,822","3,515","3,953","3,515","1,166",771,946,"1,323","1,464","1,505","1,651","2,521","2,126","2,195","1,268",803,"1,611","2,259","3,421","11,479","4,618","5,694","19,751","4,291","11,770","7,345","12,941","7,780","3,242","15,898"
2021년03월_여_연령구간인구수,"140,822","3,515","3,953","3,515","1,166",771,946,"1,323","1,464","1,505","1,651","2,521","2,126","2,195","1,268",803,"1,611","2,259","3,421","11,479","4,618","5,694","19,751","4,291","11,770","7,345","12,941","7,780","3,242","15,898"
2021년03월_여_0~9세,"9,057",169,260,120,34,15,10,33,59,51,97,159,32,79,27,13,39,139,144,833,188,225,"1,728",431,709,611,"1,055",296,260,"1,241"
2021년03월_여_10~19세,"13,459",309,301,238,73,20,45,74,49,79,75,183,83,119,44,36,58,173,204,"1,031",306,362,"2,180",459,"1,303",973,"1,682",628,317,"2,055"
2021년03월_여_20~29세,"16,287",263,300,275,72,48,56,73,87,46,133,226,117,156,96,39,167,208,429,"1,135",635,566,"2,262",417,"1,505","1,121","1,657","1,834",329,"2,035"
2021년03월_여_30~39세,"13,298",246,337,239,52,22,31,45,89,51,103,209,70,162,53,34,120,227,313,"1,151",385,427,"2,222",589,"1,140",807,"1,537",613,371,"1,653"
2021년03월_여_40~49세,"20,298",358,494,319,93,48,56,77,117,116,135,254,136,201,83,49,162,316,360,"1,644",570,646,"3,158",674,"1,878","1,503","2,639",771,504,"2,937"
2021년03월_여_50~59세,"23,920",567,653,599,194,99,146,170,227,209,239,428,328,349,247,113,263,413,497,"2,018",959,923,"3,297",619,"2,320","1,253","2,279","1,144",515,"2,852"
2021년03월_여_60~69세,"20,737",698,741,687,206,192,226,296,291,362,328,495,478,453,256,176,351,404,699,"1,851",837,"1,151","2,536",574,"1,690",532,"1,155","1,088",430,"1,554"
2021년03월_여_70~79세,"13,618",492,474,547,236,149,191,291,295,309,269,336,451,311,224,173,287,227,459,"1,123",463,946,"1,433",345,711,355,584,789,264,884
2021년03월_여_80~89세,"8,477",340,327,399,161,141,151,220,216,237,234,201,356,303,191,144,125,127,276,606,235,383,788,159,421,158,298,497,189,594
2021년03월_여_90~99세,"1,599",69,66,86,42,35,32,44,33,42,37,28,71,60,45,23,35,24,38,81,40,64,142,23,90,32,52,111,61,93
2021년03월_여_100세 이상,72,4,0,6,3,2,2,0,1,3,1,2,4,2,2,3,4,1,2,6,0,1,5,1,3,0,3,9,2,0
