카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년03월_남_연령구간인구수,"180,030","22,480","1,576","1,653","3,451","4,720","3,969","4,070","2,985","1,886","1,285","9,458","15,019","19,733","11,691","14,319","16,833","16,428","9,474","5,558","13,442"
2021년03월_남_0~9세,"24,191","1,630",46,44,170,154,125,159,95,29,52,"1,323","2,289","2,996","1,809","2,366","3,017","2,997","1,588",876,"2,426"
2021년03월_남_10~19세,"21,879","2,134",54,66,201,192,152,227,217,62,86,"1,699","1,998","2,736","2,266","2,056","2,464","1,762","1,291",539,"1,677"
2021년03월_남_20~29세,"19,340","3,688",238,191,479,539,655,570,335,153,162,896,"1,712","2,046",905,"1,204","1,243","1,526",906,679,"1,213"
2021년03월_남_30~39세,"30,060","3,027",244,170,469,554,616,471,308,157,117,"1,130","2,937","3,514","1,512","2,556","3,010","3,692","1,639","1,109","2,828"
2021년03월_남_40~49세,"35,685","3,697",218,207,507,637,644,541,398,214,198,"2,155","3,224","4,265","2,840","3,133","3,809","3,248","1,961",970,"2,819"
2021년03월_남_50~59세,"23,984","3,545",324,296,640,889,727,707,581,413,257,"1,364","1,722","2,429","1,489","1,631","1,671","1,885","1,200",806,"1,408"
2021년03월_남_60~69세,"15,478","2,743",282,369,552,959,606,756,561,481,226,601,818,"1,134",587,893,"1,123",972,626,425,764
2021년03월_남_70~79세,"6,688","1,373",120,203,270,543,292,404,289,260,119,218,254,465,221,359,403,290,217,124,264
2021년03월_남_80~89세,"2,455",578,48,93,145,227,140,219,186,107,63,61,57,128,53,111,82,49,41,26,41
2021년03월_남_90~99세,263,64,2,13,17,25,12,16,15,9,5,11,8,20,8,10,11,6,5,4,2
2021년03월_남_100세 이상,7,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
2021년03월_여_총인구수,"180,432","20,824","1,182","1,503","2,800","4,192","2,908","3,382","2,629","1,598","1,127","9,726","15,951","21,114","11,929","15,136","17,568","16,920","9,883","5,652","14,408"
2021년03월_여_연령구간인구수,"180,432","20,824","1,182","1,503","2,800","4,192","2,908","3,382","2,629","1,598","1,127","9,726","15,951","21,114","11,929","15,136","17,568","16,920","9,883","5,652","14,408"
2021년03월_여_0~9세,"23,109","1,557",47,44,154,168,100,172,88,40,45,"1,227","2,206","2,818","1,674","2,261","2,924","2,858","1,550",769,"2,407"
2021년03월_여_10~19세,"21,643","2,054",54,62,166,217,158,188,165,56,94,"1,654","2,150","2,721","2,063","2,119","2,348","1,847","1,241",536,"1,750"
2021년03월_여_20~29세,"18,526","2,783",150,109,253,371,375,305,227,125,109,826,"2,050","2,559",933,"1,375","1,325","1,604",965,689,"1,393"
2021년03월_여_30~39세,"31,455","2,476",114,123,276,358,303,272,189,89,65,"1,389","3,275","4,035","1,881","2,844","3,458","4,019","1,932","1,143","3,214"
2021년03월_여_40~49세,"34,390","3,184",115,129,322,381,298,342,274,121,136,"2,339","3,239","4,475","3,094","3,164","3,762","3,210","1,980",974,"2,851"
2021년03월_여_50~59세,"21,969","3,126",199,234,459,710,556,520,449,280,185,"1,237","1,658","2,264","1,272","1,603","1,824","1,898","1,153",861,"1,481"
2021년03월_여_60~69세,"15,792","2,774",238,315,526,852,543,672,478,387,189,619,899,"1,257",635,"1,094","1,299",965,702,453,895
2021년03월_여_70~79세,"7,763","1,729",134,221,355,597,296,496,377,248,153,266,293,573,242,422,438,315,220,121,267
2021년03월_여_80~89세,"4,790",958,104,216,256,439,244,357,310,208,132,140,139,331,110,224,153,157,114,82,116
2021년03월_여_90~99세,965,176,26,47,33,96,34,55,67,43,19,27,42,81,25,29,37,44,26,24,34
2021년03월_여_100세 이상,30,7,1,3,0,3,1,3,5,1,0,2,0,0,0,1,0,3,0,0,0
