,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2020년06월_여_10~19세,"46,330","4,883",718,"4,824","1,626",234,157,187,364,146,220,281,80,391,910,"1,977","1,539","1,997","1,931",897,"1,090","3,351","3,209","2,554","4,285","1,960","1,349","4,094","1,076"
2020년06월_여_20~29세,"46,419","4,517",696,"4,513","2,228",375,234,265,412,201,335,384,128,500,"1,119","3,091","2,166","1,435","1,948",760,"1,329","3,495","1,846","2,725","2,137","2,203","2,254","3,706","1,417"
2020년06월_여_30~39세,"72,528","5,527",678,"7,072","2,843",296,189,226,364,216,324,316,123,397,"2,251","4,033","2,160","1,707","3,046",816,"1,397","4,905","2,460","4,103","5,605","4,859","3,665","9,565","3,385"
2020년06월_여_40~49세,"74,404","7,382","1,128","7,460","2,817",442,255,322,609,317,464,469,138,606,"1,729","3,445","2,525","2,779","2,886","1,353","1,792","5,163","4,486","4,115","6,245","3,647","2,573","7,222","2,035"
2020년06월_여_50~59세,"51,821","5,642","1,478","4,752","2,933",682,521,549,921,672,834,863,332,942,"1,211","2,776","1,958","1,534","2,313","1,048","1,987","2,735","2,167","1,922","2,315","1,949","1,519","4,012","1,254"
2020년06월_여_60~69세,"32,333","3,707","1,306","2,977","1,986",605,454,525,939,727,768,875,321,815,448,"1,672","1,181",931,"1,102",645,"1,424","1,112","1,015","1,136",980,"1,248",762,"1,956",716
2020년06월_여_70~79세,"16,693","1,922",839,"1,603","1,037",404,339,333,670,425,421,583,213,516,123,829,663,569,376,341,692,498,595,655,398,536,296,603,214
2020년06월_여_80~89세,"9,032",914,544,911,600,229,228,212,443,310,328,395,170,352,80,382,273,272,207,159,362,221,216,235,183,230,152,314,110
2020년06월_여_90~99세,"1,539",176,82,129,112,33,52,38,94,59,55,46,20,61,15,58,46,43,40,26,53,34,37,36,43,39,33,55,24
2020년06월_여_100세 이상,72,8,2,4,4,1,1,4,9,6,5,2,1,6,0,1,1,0,1,1,6,2,2,1,0,2,0,2,0
