,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년10월_남_연령구간인구수,"255,473","7,459","10,503","9,886","12,188","12,059","6,382","14,396","12,229","18,473","9,440","17,314","16,950","10,202","15,423","3,098","13,306","11,488","20,482","11,523","7,428","8,502","6,742"
2021년10월_남_0~9세,"17,983",481,318,527,972,"1,089",435,"1,209",936,"1,068",324,480,"1,338",813,"1,365",180,"1,206",840,"1,994","1,102",348,648,310
2021년10월_남_10~19세,"30,950",790,411,663,"1,330","1,135",713,"1,983","3,061","3,617","1,349",747,"2,635","1,094","2,108",297,"1,692","1,135","2,320","1,925",631,"1,042",272
2021년10월_남_20~29세,"33,978",977,"1,976","1,530","1,405","1,625",926,"1,800","1,236","2,466","1,610","3,208","1,856","1,337","1,738",353,"1,761","1,632","2,444","1,300","1,069",969,760
2021년10월_남_30~39세,"35,940",968,"2,647","1,949","1,318","1,720",865,"2,076",551,"1,435","1,494","4,970","2,119","1,352","1,352",294,"1,477","1,753","2,892","1,273","1,161","1,208","1,066"
2021년10월_남_40~49세,"45,279","1,233","1,861","1,808","2,046","2,125",985,"2,831","2,489","2,958","1,676","3,104","3,909","1,794","2,785",418,"2,200","1,861","3,810","1,996","1,052","1,464",874
2021년10월_남_50~59세,"40,959","1,226","1,410","1,446","2,043","1,865","1,041","2,268","2,236","3,337","1,637","2,229","2,814","1,705","2,798",516,"2,341","1,961","2,913","1,811","1,143","1,254",965
2021년10월_남_60~69세,"28,166",839,"1,007","1,000","1,417","1,395",769,"1,170",949,"2,182",715,"1,508","1,181","1,263","1,745",548,"1,636","1,463","2,311","1,376","1,161","1,109","1,422"
2021년10월_남_70~79세,"16,292",607,622,711,"1,117",794,478,762,571,"1,113",467,763,798,611,"1,091",370,789,646,"1,292",571,663,651,805
2021년10월_남_80~89세,"5,380",308,225,230,495,285,153,277,182,272,161,287,280,200,402,111,188,178,442,150,178,140,236
2021년10월_남_90~99세,520,30,26,20,45,25,16,18,16,24,7,17,20,32,39,10,14,18,59,19,19,16,30
2021년10월_남_100세 이상,26,0,0,2,0,1,1,2,2,1,0,1,0,1,0,1,2,1,5,0,3,1,2
2021년10월_여_총인구수,"278,405","8,598","11,812","11,271","14,180","13,793","6,589","15,681","12,075","17,947","10,564","18,314","19,200","11,332","17,817","3,277","14,106","12,213","22,887","11,828","7,721","9,085","8,115"
2021년10월_여_연령구간인구수,"278,405","8,598","11,812","11,271","14,180","13,793","6,589","15,681","12,075","17,947","10,564","18,314","19,200","11,332","17,817","3,277","14,106","12,213","22,887","11,828","7,721","9,085","8,115"
2021년10월_여_0~9세,"16,938",436,343,508,"1,046",910,382,"1,036",815,911,352,478,"1,332",857,"1,354",163,"1,100",818,"1,970",909,340,581,297
2021년10월_여_10~19세,"28,373",805,450,636,"1,405","1,054",517,"1,588","2,378","2,475","1,170",737,"2,894","1,262","2,657",282,"1,719","1,143","2,379","1,407",486,652,277
2021년10월_여_20~29세,"37,356","1,138","2,467","1,875","1,578","1,981",831,"2,039","1,158","2,042","1,760","4,230","2,544","1,480","2,083",340,"1,713","1,601","2,759","1,189","1,025",838,685
2021년10월_여_30~39세,"42,177","1,225","2,900","2,331","1,747","2,342",983,"2,669",838,"1,743","1,766","5,085","2,717","1,675","1,930",342,"1,732","1,878","3,384","1,471","1,033","1,307","1,079"
2021년10월_여_40~49세,"52,700","1,558","1,940","1,994","2,541","2,501","1,133","3,443","3,278","3,942","2,265","2,986","4,581","2,025","3,578",478,"2,586","2,086","4,039","2,397","1,006","1,563",780
2021년10월_여_50~59세,"40,656","1,276","1,415","1,519","2,128","2,071","1,109","2,207","1,769","3,130","1,594","1,966","2,356","1,735","2,751",507,"2,394","2,010","3,088","1,920","1,212","1,317","1,182"
2021년10월_여_60~69세,"33,177",988,"1,239","1,264","1,793","1,620",929,"1,385","1,061","2,238",866,"1,581","1,458","1,332","1,902",641,"1,799","1,674","2,853","1,616","1,435","1,512","1,991"
2021년10월_여_70~79세,"18,157",777,709,788,"1,271",901,475,941,535,"1,073",585,867,957,626,"1,057",345,735,709,"1,385",566,735,928,"1,192"
2021년10월_여_80~89세,"7,083",321,289,294,547,329,187,295,183,318,166,307,296,280,397,133,249,234,822,253,360,324,499
2021년10월_여_90~99세,"1,690",70,54,61,114,80,41,71,57,74,39,68,59,57,104,39,75,56,205,95,85,57,129
2021년10월_여_100세 이상,98,4,6,1,10,4,2,7,3,1,1,9,6,3,4,7,4,4,3,5,4,6,4
