,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년03월_남_60~69세,"105,743","44,908","10,908","11,696","12,792","9,512","15,005","10,794","3,352","4,839","4,444","2,386","4,938","4,284","7,653","3,140"
2020년03월_남_70~79세,"53,330","20,660","5,276","5,443","5,369","4,572","7,679","5,564","2,027","2,824","2,818","1,180","2,476","2,498","3,865","1,739"
2020년03월_남_80~89세,"21,724","7,654","2,030","2,044","1,869","1,711","3,246","2,175","1,041","1,260","1,319",478,"1,140","1,134","1,547",730
2020년03월_남_90~99세,"1,974",653,218,158,142,135,314,174,116,132,129,42,84,96,168,66
2020년03월_남_100세 이상,152,49,10,16,7,16,16,23,1,7,9,3,5,6,25,8
2020년03월_여_총인구수,"788,270","417,289","91,081","101,099","130,111","94,998","104,003","66,754","16,260","25,195","24,279","17,996","38,805","18,531","44,570","14,588"
2020년03월_여_연령구간인구수,"788,270","417,289","91,081","101,099","130,111","94,998","104,003","66,754","16,260","25,195","24,279","17,996","38,805","18,531","44,570","14,588"
2020년03월_여_0~9세,"62,552","37,478","7,556","7,486","12,124","10,312","7,486","4,528",737,"1,290","1,215","1,714","3,731",655,"3,104",614
2020년03월_여_10~19세,"73,011","41,958","9,302","10,270","12,946","9,440","9,272","5,826","1,027","1,910","1,755","1,674","3,749","1,055","3,807",978
2020년03월_여_20~29세,"88,390","54,117","10,605","13,314","18,697","11,501","10,472","6,666","1,041","1,923","2,037","1,930","3,784","1,289","4,138",993
2020년03월_여_30~39세,"93,479","57,297","10,544","11,860","19,606","15,287","11,037","6,491","1,035","1,959","1,677","2,203","5,139","1,110","4,538",993
2020년03월_여_40~49세,"117,103","67,721","14,725","16,392","21,382","15,222","15,283","9,143","1,519","2,920","2,526","2,632","5,947","1,662","6,201","1,549"
2020년03월_여_50~59세,"132,973","68,318","15,755","17,859","21,243","13,461","18,455","11,902","2,715","4,280","4,108","2,916","6,110","3,442","7,987","2,740"
2020년03월_여_60~69세,"105,627","46,695","11,106","12,487","13,172","9,930","15,022","10,936","3,205","4,606","4,351","2,342","4,742","3,920","6,853","2,955"
2020년03월_여_70~79세,"65,813","25,752","6,719","6,853","6,459","5,721","9,739","6,750","2,560","3,387","3,628","1,487","2,988","2,947","4,393","2,182"
2020년03월_여_80~89세,"42,142","15,253","4,027","3,874","3,832","3,520","6,299","3,844","2,034","2,483","2,535",969,"2,247","2,096","3,011","1,371"
2020년03월_여_90~99세,"6,788","2,560",697,668,619,576,886,619,363,417,423,121,355,335,511,198
2020년03월_여_100세 이상,392,140,45,36,31,28,52,49,24,20,24,8,13,20,27,15
