,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년03월_계_80~89세,"10,082",461,185,263,394,382,271,408,330,245,390,284,381,243,214,939,428,471,322,582,373,274,350,457,"1,198",237
2021년03월_계_90~99세,"1,302",48,35,41,54,37,39,60,53,27,64,34,49,21,36,110,49,51,34,78,52,33,43,58,163,33
2021년03월_계_100세 이상,37,2,0,0,2,1,3,1,0,3,2,1,2,0,1,2,3,3,0,4,1,0,1,2,2,1
2021년03월_남_총인구수,"106,051","2,484","1,025","1,504","4,954","1,537","1,159","2,011","6,896","2,026","1,844","1,162","1,629",995,"1,309","11,809","3,522","7,565","2,593","4,798","9,128","2,024","4,861","7,186","18,558","3,472"
2021년03월_남_연령구간인구수,"106,051","2,484","1,025","1,504","4,954","1,537","1,159","2,011","6,896","2,026","1,844","1,162","1,629",995,"1,309","11,809","3,522","7,565","2,593","4,798","9,128","2,024","4,861","7,186","18,558","3,472"
2021년03월_남_0~9세,"7,236",60,13,33,277,15,23,42,"1,008",158,41,33,44,29,45,843,124,610,125,177,"1,028",42,276,510,"1,372",308
2021년03월_남_10~19세,"9,726",104,34,65,223,55,56,64,498,146,77,41,102,43,77,"1,324",269,"1,081",249,348,"1,207",106,362,879,"1,953",363
2021년03월_남_20~29세,"13,927",235,67,126,917,111,78,169,882,339,151,76,101,62,143,"1,574",511,"1,019",324,577,"1,196",310,640,"1,043","2,818",458
2021년03월_남_30~39세,"12,555",175,54,85,866,108,68,99,"1,660",259,99,74,92,62,129,"1,294",348,834,229,483,"1,298",169,548,750,"2,343",429
2021년03월_남_40~49세,"15,749",290,102,144,697,146,121,180,"1,122",285,194,102,142,82,195,"1,846",496,"1,351",371,628,"1,661",253,780,"1,147","2,831",583
2021년03월_남_50~59세,"18,976",535,210,334,830,308,196,427,773,292,379,219,300,175,244,"2,152",639,"1,291",488,885,"1,418",411,934,"1,439","3,437",660
2021년03월_남_60~69세,"16,378",622,306,406,702,426,315,562,592,302,486,313,470,294,251,"1,686",632,841,423,965,865,424,763,867,"2,464",401
2021년03월_남_70~79세,"7,712",290,170,217,295,220,197,307,247,146,260,180,225,146,145,759,355,361,248,485,339,209,413,386,922,190
2021년03월_남_80~89세,"3,477",161,63,85,132,136,92,148,97,92,142,112,135,96,78,294,138,169,129,230,113,96,136,149,383,71
2021년03월_남_90~99세,307,11,6,9,15,11,12,13,17,6,14,11,17,6,2,37,10,8,7,19,3,4,9,16,35,9
2021년03월_남_100세 이상,8,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2021년03월_여_총인구수,"103,392","2,334",993,"1,444","3,863","1,434","1,128","1,899","6,501","1,772","1,805","1,097","1,569",954,"1,348","11,782","3,477","7,823","2,640","4,727","9,250","1,706","4,461","7,330","18,883","3,172"
2021년03월_여_연령구간인구수,"103,392","2,334",993,"1,444","3,863","1,434","1,128","1,899","6,501","1,772","1,805","1,097","1,569",954,"1,348","11,782","3,477","7,823","2,640","4,727","9,250","1,706","4,461","7,330","18,883","3,172"
2021년03월_여_0~9세,"7,077",40,25,42,287,20,28,24,"1,015",180,57,19,36,34,45,770,137,624,118,173,"1,002",49,260,476,"1,359",257
2021년03월_여_10~19세,"8,956",105,29,44,181,50,34,55,484,137,97,37,59,29,81,"1,199",256,930,235,328,"1,150",68,379,809,"1,860",320
2021년03월_여_20~29세,"10,281",136,46,69,501,65,43,90,680,176,103,50,78,38,113,"1,177",376,828,254,468,"1,009",202,456,875,"2,136",312
2021년03월_여_30~39세,"10,534",121,40,61,523,67,44,61,"1,380",190,73,42,75,56,87,"1,156",253,817,205,361,"1,302",91,450,676,"2,027",376
2021년03월_여_40~49세,"14,887",186,63,98,483,66,52,140,998,219,127,79,104,57,138,"1,844",433,"1,481",351,520,"1,724",158,625,"1,312","3,087",542
2021년03월_여_50~59세,"18,162",463,203,275,649,254,191,357,784,221,325,208,252,162,216,"2,183",603,"1,368",457,852,"1,450",309,779,"1,390","3,648",563
2021년03월_여_60~69세,"16,280",574,281,379,627,370,325,522,606,277,432,267,408,245,298,"1,751",644,911,466,"1,024",895,349,793,927,"2,519",390
2021년03월_여_70~79세,"9,586",371,155,266,309,270,203,342,285,196,292,200,278,171,199,982,443,516,334,587,408,273,470,513,"1,302",221
2021년03월_여_80~89세,"6,605",300,122,178,262,246,179,260,233,153,248,172,246,147,136,645,290,302,193,352,260,178,214,308,815,166
2021년03월_여_90~99세,995,37,29,32,39,26,27,47,36,21,50,23,32,15,34,73,39,43,27,59,49,29,34,42,128,24
2021년03월_여_100세 이상,29,1,0,0,2,0,2,1,0,2,1,0,1,0,1,2,3,3,0,3,1,0,1,2,2,1
