,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년09월_남_0~9세,"20,207",431,"1,871","2,801",20,5,19,28,44,869,62,"1,170",33,"1,858",508,413,71,145,849,161,"1,356","1,045","2,381",440,"3,305",322
2021년09월_남_10~19세,"23,074",559,"2,082","1,288",28,23,60,69,91,"1,203",108,"1,642",57,"2,624",836,"1,011",80,129,550,176,"1,901","1,342","3,091",551,"3,461",112
2021년09월_남_20~29세,"30,876",805,"2,618","1,156",57,65,89,163,132,"1,782",416,"2,075",129,"2,804","1,052","1,515",384,210,982,347,"2,679","1,365","3,948","2,243","3,443",417
2021년09월_남_30~39세,"34,027",632,"2,476","4,055",43,43,63,137,95,"1,789",440,"1,698",93,"2,452",801,861,331,325,"1,550",414,"2,391","1,481","4,426","2,595","4,235",601
2021년09월_남_40~49세,"36,690",974,"2,777","2,628",77,92,110,247,187,"1,825",563,"2,236",148,"3,583","1,030","1,161",258,240,"1,122",405,"2,893","1,919","4,850","1,571","5,352",442
2021년09월_남_50~59세,"35,605","1,439","3,904","1,152",206,175,234,473,326,"2,053",777,"2,757",241,"3,565","1,394","1,792",327,335,"1,101",416,"3,232","1,724","3,680",987,"2,998",317
2021년09월_남_60~69세,"21,945","1,439","2,533",611,262,237,266,516,354,"1,653",704,"1,940",276,"2,180",966,"1,210",245,215,551,250,"1,251",715,"1,853",456,"1,056",206
2021년09월_남_70~79세,"7,275",663,719,178,133,135,168,275,219,579,299,552,116,572,363,317,105,81,151,115,326,162,546,151,315,35
2021년09월_남_80~89세,"2,613",290,292,77,75,82,95,176,103,152,90,196,34,176,84,75,32,32,31,29,102,61,174,33,115,7
2021년09월_남_90~99세,232,25,32,12,13,7,12,16,6,5,10,16,0,11,4,7,1,2,3,2,10,6,16,4,12,0
2021년09월_남_100세 이상,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2021년09월_여_총인구수,"201,047","7,419","18,858","12,779",918,814,"1,056","1,921","1,500","12,267","2,893","14,944","1,049","19,195","7,183","8,302","1,409","1,451","6,244","1,999","14,853","8,980","23,257","7,512","22,276","1,968"
2021년09월_여_연령구간인구수,"201,047","7,419","18,858","12,779",918,814,"1,056","1,921","1,500","12,267","2,893","14,944","1,049","19,195","7,183","8,302","1,409","1,451","6,244","1,999","14,853","8,980","23,257","7,512","22,276","1,968"
2021년09월_여_0~9세,"19,147",402,"1,737","2,763",22,5,17,27,22,870,62,"1,061",36,"1,776",477,378,65,134,801,141,"1,384",999,"2,111",431,"3,157",269
2021년09월_여_10~19세,"21,147",558,"1,790","1,163",28,29,40,73,94,"1,183",89,"1,704",59,"2,351",701,834,80,92,549,172,"1,773","1,149","2,807",508,"3,206",115
2021년09월_여_20~29세,"24,306",520,"1,978","1,229",35,31,45,105,92,"1,534",307,"1,577",80,"2,278",821,"1,111",200,174,790,262,"2,016","1,032","3,254","2,066","2,502",267
2021년09월_여_30~39세,"29,656",579,"2,382","3,658",32,22,34,69,74,"1,538",294,"1,623",51,"2,425",774,747,173,211,"1,224",249,"1,957","1,385","3,852","1,756","4,094",453
2021년09월_여_40~49세,"35,911",917,"3,033","2,065",44,43,68,141,146,"2,011",403,"2,597",119,"3,756","1,278","1,449",185,189,"1,037",343,"3,096","1,935","4,643","1,187","4,920",306
2021년09월_여_50~59세,"34,251","1,447","4,004",957,147,137,152,321,261,"2,333",542,"3,193",219,"3,564","1,555","2,005",267,277,"1,094",408,"2,821","1,485","3,423",808,"2,530",301
2021년09월_여_60~69세,"20,805","1,374","2,173",491,228,204,260,423,317,"1,843",623,"2,019",266,"1,947","1,000","1,192",242,196,510,245,"1,100",588,"1,873",463,"1,047",181
2021년09월_여_70~79세,"9,043",814,930,213,176,138,203,390,244,636,368,716,125,666,367,380,140,104,145,117,411,245,789,182,490,54
2021년09월_여_80~89세,"5,737",655,692,205,174,171,204,320,213,285,168,402,78,367,186,179,47,62,79,52,246,133,432,88,284,15
2021년09월_여_90~99세,"1,009",147,136,34,32,33,33,49,35,34,35,52,15,64,23,25,10,9,15,9,48,28,72,21,44,6
2021년09월_여_100세 이상,35,6,3,1,0,1,0,3,2,0,2,0,1,1,1,2,0,3,0,1,1,1,1,2,2,1
