,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년08월_남_90~99세,337,13,5,6,5,10,6,7,6,6,12,7,13,8,9,3,6,39,18,18,19,15,12,10,9,27,14,11,9,9,5
2021년08월_남_100세 이상,15,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,1,3,0,0,2,0,2,0,0,1,0,0,0
2021년08월_여_총인구수,"175,716","4,012","2,000","4,284","1,158",953,"1,319",786,749,719,"1,601","10,478","2,339",807,"2,050",540,"1,136","14,132","5,341","5,660","7,032","9,771","12,228","5,725","13,251","14,338","6,126","6,059","11,043","13,563","16,516"
2021년08월_여_연령구간인구수,"175,716","4,012","2,000","4,284","1,158",953,"1,319",786,749,719,"1,601","10,478","2,339",807,"2,050",540,"1,136","14,132","5,341","5,660","7,032","9,771","12,228","5,725","13,251","14,338","6,126","6,059","11,043","13,563","16,516"
2021년08월_여_0~9세,"13,186",281,147,493,17,19,46,5,16,21,22,996,105,10,62,12,22,705,201,146,232,458,593,360,"1,504",994,294,306,"1,138","1,117","2,864"
2021년08월_여_10~19세,"16,432",293,213,254,48,24,86,15,19,39,56,"1,264",203,16,98,22,44,"1,097",337,285,480,754,"1,095",525,"1,738","1,645",522,527,"1,556","1,240","1,937"
2021년08월_여_20~29세,"20,233",345,196,484,48,46,85,21,21,34,71,985,175,28,149,39,60,"1,964",683,454,845,"1,281","1,633",668,"1,469","1,892",750,648,"1,100","2,376","1,683"
2021년08월_여_30~39세,"19,900",426,211,804,54,51,81,18,31,23,61,"1,169",176,28,100,20,56,"1,247",504,347,555,885,"1,124",622,"1,924","1,507",551,516,"1,291","1,941","3,577"
2021년08월_여_40~49세,"26,858",460,320,547,65,48,115,34,43,49,87,"1,905",298,30,184,36,64,"1,941",706,582,813,"1,329","1,845",771,"2,800","2,546",823,919,"2,140","2,123","3,235"
2021년08월_여_50~59세,"28,808",646,330,670,167,147,225,100,78,102,237,"1,693",395,118,360,77,160,"2,345",861,883,"1,257","1,827","2,543","1,001","2,025","2,719","1,099","1,215","1,654","2,063","1,811"
2021년08월_여_60~69세,"25,316",682,267,550,234,242,250,213,186,151,366,"1,321",400,169,498,119,268,"2,324","1,036","1,384","1,409","1,790","1,989",986,"1,002","1,591","1,124","1,074","1,214","1,530",947
2021년08월_여_70~79세,"14,510",451,159,247,250,160,208,178,161,128,304,670,316,181,311,90,199,"1,550",629,970,906,978,877,535,492,830,578,519,594,754,285
2021년08월_여_80~89세,"8,899",352,132,190,220,182,202,176,170,140,338,408,232,196,241,102,230,826,312,523,455,414,450,218,254,514,328,283,312,357,142
2021년08월_여_90~99세,"1,513",74,24,41,54,32,21,26,24,31,57,65,39,30,45,21,32,128,66,76,78,54,77,38,40,98,55,49,43,62,33
2021년08월_여_100세 이상,61,2,1,4,1,2,0,0,0,1,2,2,0,1,2,2,1,5,6,10,2,1,2,1,3,2,2,3,1,0,2
