,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년04월_여_연령구간인구수,"18,641","2,093",120,"2,742",117,96,705,140,"1,520","1,078","1,710","1,267",95,"1,055",161,100,227,139,832,728,760,"1,321",133,504,998
2020년04월_여_0~9세,805,71,3,109,4,2,26,4,94,41,68,63,3,39,6,5,16,6,44,45,36,62,3,12,43
2020년04월_여_10~19세,"1,009",123,4,156,1,2,28,3,105,49,112,112,2,51,7,6,10,10,47,49,36,47,3,14,32
2020년04월_여_20~29세,"1,234",129,6,236,4,2,48,12,96,66,107,75,3,85,22,6,24,12,49,62,38,83,7,11,51
2020년04월_여_30~39세,"1,087",115,6,176,7,4,30,4,93,48,90,69,6,67,10,5,24,11,55,53,48,76,12,23,55
2020년04월_여_40~49세,"1,479",170,6,230,4,4,56,9,146,72,153,111,7,99,21,6,24,12,65,64,42,74,12,32,60
2020년04월_여_50~59세,"2,876",324,21,496,17,14,98,23,236,185,246,165,22,165,30,17,45,15,115,119,91,181,26,69,156
2020년04월_여_60~69세,"3,428",370,19,542,30,21,118,37,266,207,323,192,22,175,25,21,35,33,156,115,156,245,28,98,194
2020년04월_여_70~79세,"3,586",435,25,425,34,31,183,30,291,236,333,235,14,188,25,13,28,19,148,113,171,262,21,131,195
2020년04월_여_80~89세,"2,750",310,27,314,16,16,105,17,178,158,235,221,13,144,15,19,21,16,142,99,123,246,20,101,194
2020년04월_여_90~99세,375,45,3,55,0,0,12,1,15,16,43,24,2,39,0,2,0,5,11,7,18,45,1,13,18
2020년04월_여_100세 이상,12,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0,0,0,0
