,대전광역시 서구,대전광역시 서구 복수동,대전광역시 서구 도마1동,대전광역시 서구 도마2동,대전광역시 서구 정림동,대전광역시 서구 변동,대전광역시 서구 용문동,대전광역시 서구 탄방동,대전광역시 서구 괴정동,대전광역시 서구 가장동,대전광역시 서구 내동,대전광역시 서구 갈마1동,대전광역시 서구 갈마2동,대전광역시 서구 월평1동,대전광역시 서구 월평2동,대전광역시 서구 월평3동,대전광역시 서구 가수원동,대전광역시 서구 관저1동,대전광역시 서구 관저2동,대전광역시 서구 기성동,대전광역시 서구 둔산1동,대전광역시 서구 둔산2동,대전광역시 서구 만년동,대전광역시 서구 둔산3동
2021년06월_남_연령구간인구수,"233,513","11,183","7,721","8,769","8,010","8,245","5,898","13,131","9,404","5,837","11,472","11,004","12,520","5,998","7,146","10,574","20,517","7,545","24,636","1,937","8,397","17,474","6,446","9,649"
2021년06월_남_0~9세,"18,982","1,055",382,463,566,524,319,891,587,415,941,615,692,194,378,906,"2,696",651,"3,134",56,803,"1,630",473,611
2021년06월_남_10~19세,"25,119","1,547",517,716,764,642,318,"1,249",645,555,"1,261",862,972,287,660,"1,439","2,465",839,"3,117",90,"1,777","2,207",671,"1,519"
2021년06월_남_20~29세,"37,471","1,454","1,393","1,355","1,084","1,155","1,103","2,518","2,106",804,"1,655","2,215","2,879","1,542","1,019","1,495","2,534","1,318","3,437",161,877,"2,662","1,304","1,401"
2021년06월_남_30~39세,"33,303","1,284",888,988,882,"1,099","1,148","2,325","1,914",739,"1,376","1,970","2,266","1,122",789,"1,265","3,179","1,047","3,884",156,563,"2,560","1,037",822
2021년06월_남_40~49세,"37,283","2,030",981,"1,254","1,102","1,182",896,"2,094","1,469",900,"1,882","1,532","1,907",857,907,"1,543","3,918","1,059","4,449",244,"1,798","2,820",971,"1,488"
2021년06월_남_50~59세,"37,219","1,762","1,295","1,457","1,409","1,457",804,"2,045","1,151",953,"1,861","1,612","1,944",975,"1,314","1,786","2,765","1,287","3,787",369,"1,343","3,010","1,065","1,768"
2021년06월_남_60~69세,"27,512","1,229","1,294","1,439","1,388","1,274",749,"1,327",957,838,"1,449","1,422","1,275",670,"1,291","1,531","1,948",853,"1,815",441,670,"1,815",642,"1,195"
2021년06월_남_70~79세,"11,995",606,718,783,594,651,397,472,420,456,770,587,431,265,544,438,742,336,763,261,385,557,203,616
2021년06월_남_80~89세,"4,224",198,232,295,200,238,146,194,142,164,255,178,146,79,212,154,243,138,235,141,159,196,71,208
2021년06월_남_90~99세,394,17,20,19,20,22,17,16,13,13,22,10,8,6,31,17,26,17,15,18,20,17,9,21
2021년06월_남_100세 이상,11,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0
2021년06월_여_총인구수,"241,421","11,504","7,494","8,583","8,394","7,973","6,472","14,253","9,822","6,204","12,403","10,560","12,524","5,233","7,883","10,942","21,176","8,242","25,817","1,823","8,643","18,682","6,427","10,367"
2021년06월_여_연령구간인구수,"241,421","11,504","7,494","8,583","8,394","7,973","6,472","14,253","9,822","6,204","12,403","10,560","12,524","5,233","7,883","10,942","21,176","8,242","25,817","1,823","8,643","18,682","6,427","10,367"
2021년06월_여_0~9세,"17,761","1,012",313,379,499,438,284,787,578,395,920,511,713,180,397,859,"2,578",625,"2,968",35,775,"1,497",468,550
2021년06월_여_10~19세,"23,642","1,492",480,651,676,587,301,"1,129",612,542,"1,378",768,"1,045",257,623,"1,224","2,362",761,"2,998",82,"1,611","2,053",623,"1,387"
2021년06월_여_20~29세,"36,034","1,376","1,112","1,087",940,999,"1,341","2,955","2,454",815,"1,498","2,006","2,764","1,333",869,"1,218","2,477","1,459","3,357",135,781,"2,785","1,041","1,232"
2021년06월_여_30~39세,"31,837","1,325",709,822,867,895,"1,026","2,317","1,664",698,"1,338","1,456","1,912",744,749,"1,359","3,403","1,019","4,067",109,779,"2,774",948,857
2021년06월_여_40~49세,"39,771","2,246",808,"1,091","1,151","1,087",814,"2,319","1,344",926,"2,084","1,533","1,866",657,"1,034","1,841","3,906","1,284","4,977",161,"2,203","3,431","1,096","1,912"
2021년06월_여_50~59세,"39,547","1,749","1,324","1,472","1,668","1,425",934,"2,259","1,334","1,011","2,080","1,749","2,078",914,"1,491","2,100","2,978","1,494","3,825",304,"1,132","3,261","1,175","1,790"
2021년06월_여_60~69세,"29,819","1,332","1,469","1,681","1,447","1,376",939,"1,449","1,052",996,"1,738","1,602","1,353",679,"1,325","1,487","2,133",824,"2,057",341,671,"1,821",653,"1,394"
2021년06월_여_70~79세,"14,198",621,831,895,699,767,529,621,515,534,895,594,462,292,743,500,849,476,945,319,432,639,264,776
2021년06월_여_80~89세,"7,456",297,388,440,380,334,264,354,218,240,405,289,292,147,551,296,409,262,524,264,219,359,131,393
2021년06월_여_90~99세,"1,309",52,56,63,66,64,37,60,47,47,66,51,38,29,100,57,79,36,96,69,40,58,28,70
2021년06월_여_100세 이상,47,2,4,2,1,1,3,3,4,0,1,1,1,1,1,1,2,2,3,4,0,4,0,6
