,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2020년07월_남_20~29세,"36,524","3,247","3,257",796,"3,277",963,"2,157","1,633",938,"2,034","2,138","2,943","1,785","1,857","4,729",90,"1,935","1,369","1,376"
2020년07월_남_30~39세,"40,100","3,172","2,243",570,"4,014",603,"4,389","1,590","1,254","2,869","2,243","2,504","1,997","1,284","7,685",119,"1,328","1,065","1,171"
2020년07월_남_40~49세,"47,153","2,978","2,926",726,"4,250","1,075","4,083","2,193","1,732","2,880","2,880","3,401","2,781","1,846","7,514",132,"2,214","1,923","1,619"
2020년07월_남_50~59세,"45,216","3,984","4,261","1,223","4,095","1,390","2,906","2,193","1,412","2,389","2,645","3,222","2,598","2,213","4,228",301,"2,563","1,849","1,744"
2020년07월_남_60~69세,"23,245","2,495","2,560",855,"2,210",833,"2,161","1,361",830,"1,018","1,152","1,284","1,211",768,"1,772",321,"1,027",554,833
2020년07월_남_70~79세,"8,487",845,916,356,782,386,866,583,397,326,325,435,390,287,435,127,452,208,371
2020년07월_남_80~89세,"2,746",303,235,123,218,132,231,202,120,83,98,172,133,137,114,31,196,92,126
2020년07월_남_90~99세,253,23,30,15,19,16,20,15,10,7,8,13,7,15,9,4,15,12,15
2020년07월_남_100세 이상,28,1,2,5,2,1,4,2,1,1,2,0,1,0,0,2,2,1,1
2020년07월_여_총인구수,"230,871","19,761","17,910","4,798","24,513","5,872","21,208","10,754","7,566","7,580","9,273","14,852","10,081","10,861","34,303",765,"11,895","9,537","9,342"
2020년07월_여_연령구간인구수,"230,871","19,761","17,910","4,798","24,513","5,872","21,208","10,754","7,566","7,580","9,273","14,852","10,081","10,861","34,303",765,"11,895","9,537","9,342"
2020년07월_여_0~9세,"22,957","1,507",858,237,"2,898",375,"3,149",822,734,600,700,"1,267",870,842,"5,537",19,903,908,731
2020년07월_여_10~19세,"24,003","1,653","1,664",383,"2,559",588,"1,635","1,096",707,560,950,"1,802","1,027","1,343","3,854",25,"1,508","1,440","1,209"
2020년07월_여_20~29세,"30,868","3,020","2,728",629,"3,068",730,"2,086","1,325",817,"1,105","1,263","2,198","1,345","1,767","4,307",64,"1,732","1,361","1,323"
2020년07월_여_30~39세,"34,618","2,791","1,792",444,"4,158",544,"4,472","1,257","1,133","1,356","1,327","1,870","1,318","1,226","7,399",59,"1,273","1,140","1,059"
2020년07월_여_40~49세,"40,849","2,923","2,726",670,"4,146",967,"3,359","1,781","1,406","1,367","1,770","2,861","1,875","2,105","6,627",53,"2,315","2,094","1,804"
2020년07월_여_50~59세,"39,871","3,927","4,003","1,061","4,039","1,125","2,879","1,975","1,214","1,379","1,734","2,803","1,922","2,111","4,130",172,"2,239","1,548","1,610"
2020년07월_여_60~69세,"20,543","2,168","2,237",713,"2,075",723,"2,111","1,335",867,706,865,"1,077",935,701,"1,615",214,909,508,784
2020년07월_여_70~79세,"10,332","1,008","1,162",393,919,480,926,708,431,313,421,581,465,457,545,98,617,327,481
2020년07월_여_80~89세,"5,771",638,630,236,549,295,489,381,217,165,207,353,257,278,245,48,330,174,279
2020년07월_여_90~99세,991,117,92,29,97,42,92,66,39,27,36,38,67,29,43,13,66,36,62
2020년07월_여_100세 이상,68,9,18,3,5,3,10,8,1,2,0,2,0,2,1,0,3,1,0
