,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2021년10월_계_90~99세,"2,263","1,321",96,104,200,101,69,108,102,68,66,127,136,97,47,942,117,64,72,121,23,37,77,155,56,50,85,85
2021년10월_계_100세 이상,96,53,4,6,10,4,0,1,5,0,3,7,9,3,1,43,6,1,5,2,0,9,3,5,2,3,2,5
2021년10월_남_총인구수,"335,508","179,580","12,649","12,791","17,196","16,556","20,888","19,355","13,014","9,859","11,166","19,528","12,925","8,887","4,766","155,928","20,211","10,799","12,317","22,029","3,484","10,586","12,117","24,079","9,119","8,638","17,807","4,742"
2021년10월_남_연령구간인구수,"335,508","179,580","12,649","12,791","17,196","16,556","20,888","19,355","13,014","9,859","11,166","19,528","12,925","8,887","4,766","155,928","20,211","10,799","12,317","22,029","3,484","10,586","12,117","24,079","9,119","8,638","17,807","4,742"
2021년10월_남_0~9세,"21,603","11,349",809,502,872,"1,216","2,165","1,260",715,462,711,"1,071",843,507,216,"10,254","1,240",550,765,"1,678",134,784,788,"1,898",674,413,"1,148",182
2021년10월_남_10~19세,"31,763","17,099","1,160",793,"1,408","1,779","2,658","2,011","1,297",818,"1,015","1,867","1,258",638,397,"14,664","1,958",934,"1,009","2,651",159,942,"1,237","2,292",728,793,"1,771",190
2021년10월_남_20~29세,"56,436","31,038","1,921","2,316","3,311","2,807","3,907","3,122","2,228","1,776","1,760","3,774","2,349","1,139",628,"25,398","3,253","2,023","2,593","3,758",280,"1,609","1,773","3,950","1,430","1,283","3,033",413
2021년10월_남_30~39세,"46,640","23,923","1,653","2,187","2,671","2,190","2,794","2,427","1,553","1,308","1,333","2,433","1,702","1,141",531,"22,717","2,797","1,754","2,090","2,751",371,"1,666","1,617","4,044","1,655","1,019","2,576",377
2021년10월_남_40~49세,"53,630","28,539","2,310","2,165","2,861","2,670","3,417","3,419","2,002","1,482","1,793","2,803","1,558","1,364",695,"25,091","3,683","1,575","1,732","3,305",552,"1,545","2,191","4,028","1,423","1,489","3,007",561
2021년10월_남_50~59세,"65,190","35,171","2,510","2,440","3,368","3,149","3,454","3,883","2,715","2,027","2,474","4,050","2,530","1,554","1,017","30,019","4,067","2,039","2,096","4,364",978,"1,970","2,342","4,156","1,572","1,996","3,415","1,024"
2021년10월_남_60~69세,"41,055","21,734","1,425","1,525","1,673","1,920","1,923","2,144","1,622","1,265","1,419","2,530","1,931","1,512",845,"19,321","2,217","1,296","1,501","2,636",610,"1,451","1,479","2,503","1,172","1,135","2,126","1,195"
2021년10월_남_70~79세,"13,656","7,502",618,614,651,573,445,749,606,467,446,712,528,762,331,"6,154",732,455,413,636,284,485,503,863,338,369,515,561
2021년10월_남_80~89세,"5,039","2,917",223,228,323,231,115,317,249,235,198,268,180,248,102,"2,122",244,163,104,225,108,127,171,320,116,125,206,213
2021년10월_남_90~99세,474,296,20,20,55,21,10,22,27,19,17,19,41,21,4,178,20,9,12,25,8,6,15,24,11,15,10,23
2021년10월_남_100세 이상,22,12,0,1,3,0,0,1,0,0,0,1,5,1,0,10,0,1,2,0,0,1,1,1,0,1,0,3
2021년10월_여_총인구수,"318,609","172,167","12,098","11,114","15,514","16,123","20,552","17,980","13,232","9,869","10,519","18,650","13,460","8,722","4,334","146,442","18,094","10,791","12,387","21,830","2,584","10,462","10,442","22,815","8,606","7,295","16,858","4,278"
2021년10월_여_연령구간인구수,"318,609","172,167","12,098","11,114","15,514","16,123","20,552","17,980","13,232","9,869","10,519","18,650","13,460","8,722","4,334","146,442","18,094","10,791","12,387","21,830","2,584","10,462","10,442","22,815","8,606","7,295","16,858","4,278"
2021년10월_여_0~9세,"20,629","10,848",786,500,791,"1,112","2,229","1,139",703,419,676,"1,004",755,519,215,"9,781","1,210",548,708,"1,642",132,757,737,"1,795",598,426,"1,103",125
2021년10월_여_10~19세,"29,963","16,284","1,231",746,"1,292","1,681","2,579","1,846","1,350",793,"1,038","1,618","1,174",578,358,"13,679","1,750",871,995,"2,447",154,948,"1,165","2,206",653,668,"1,649",173
2021년10월_여_20~29세,"49,715","27,238","1,795","2,055","2,707","2,490","3,377","2,725","2,063","1,649","1,559","3,254","2,136",952,476,"22,477","2,630","2,059","2,623","3,552",175,"1,532","1,312","3,401","1,215","1,095","2,582",301
2021년10월_여_30~39세,"38,684","20,066","1,359","1,508","1,882","1,945","2,909","2,017","1,339","1,083","1,046","2,026","1,597",953,402,"18,618","2,140","1,358","1,788","2,702",251,"1,443","1,200","3,212","1,286",764,"2,186",288
2021년10월_여_40~49세,"50,840","27,312","2,005","1,656","2,426","2,664","3,697","3,157","2,111","1,476","1,652","2,857","1,851","1,162",598,"23,528","3,145","1,567","1,818","3,724",367,"1,530","1,742","3,848","1,289","1,183","2,899",416
2021년10월_여_50~59세,"62,754","34,031","2,225","2,078","3,035","3,164","3,433","3,494","2,761","2,139","2,239","4,024","2,979","1,625",835,"28,723","3,492","2,062","2,250","4,510",582,"2,131","2,022","4,140","1,687","1,526","3,397",924
2021년10월_여_60~69세,"37,429","20,034","1,367","1,364","1,492","1,795","1,594","1,904","1,535","1,219","1,244","2,203","1,842","1,648",827,"17,395","2,055","1,289","1,449","2,097",456,"1,385","1,363","2,348","1,109",930,"1,782","1,132"
2021년10월_여_70~79세,"16,515","9,432",824,707,907,731,425,"1,036",812,641,624,910,621,829,365,"7,083",988,614,417,622,288,472,520,"1,063",451,411,722,515
2021년10월_여_80~89세,"10,217","5,856",426,411,830,457,250,576,478,401,389,640,406,378,214,"4,361",581,368,276,436,164,225,317,667,271,255,461,340
2021년10월_여_90~99세,"1,789","1,025",76,84,145,80,59,86,75,49,49,108,95,76,43,764,97,55,60,96,15,31,62,131,45,35,75,62
2021년10월_여_100세 이상,74,41,4,5,7,4,0,0,5,0,3,6,4,2,1,33,6,0,3,2,0,8,2,4,2,2,2,2
