,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년10월_계_80~89세,"8,344",667,182,556,431,168,366,503,233,233,233,203,87,214,303,136,38,344,162,79,325,317,103,527,385,477,441,260,371
2020년10월_계_90~99세,"1,273",98,27,81,81,15,60,79,40,30,30,25,12,49,44,22,5,51,27,10,57,64,26,79,56,59,54,38,54
2020년10월_계_100세 이상,61,8,0,3,6,2,4,2,0,0,4,1,0,0,2,2,0,4,2,0,1,2,1,7,0,2,4,3,1
2020년10월_남_총인구수,"47,856","3,193",687,"1,881","1,484",484,"1,315","1,972",834,"1,002","1,289",881,359,"1,003","1,340",627,177,"1,296",534,198,"1,022",990,397,"6,063","4,583","3,744","4,094","1,829","4,578"
2020년10월_남_연령구간인구수,"47,856","3,193",687,"1,881","1,484",484,"1,315","1,972",834,"1,002","1,289",881,359,"1,003","1,340",627,177,"1,296",534,198,"1,022",990,397,"6,063","4,583","3,744","4,094","1,829","4,578"
2020년10월_남_0~9세,"2,723",154,27,52,51,15,52,37,30,24,46,28,11,33,74,19,3,36,7,0,16,37,13,489,367,302,298,104,398
2020년10월_남_10~19세,"4,023",231,25,102,70,17,69,147,45,46,81,39,20,53,68,35,6,80,29,13,46,40,18,755,463,388,427,195,515
2020년10월_남_20~29세,"4,767",246,45,136,104,36,102,123,48,65,102,67,16,60,92,34,11,74,24,9,71,60,21,753,551,420,466,192,839
2020년10월_남_30~39세,"4,076",265,43,123,83,18,88,114,43,66,62,49,22,65,102,49,6,83,18,5,71,46,13,681,560,384,407,149,461
2020년10월_남_40~49세,"6,164",400,73,221,152,45,142,201,87,75,149,102,39,106,139,59,16,162,57,16,109,112,43,870,704,574,562,290,659
2020년10월_남_50~59세,"8,863",606,145,357,296,116,220,341,179,223,263,188,74,221,262,148,40,265,89,47,162,178,91,"1,016",804,674,842,323,693
2020년10월_남_60~69세,"8,905",647,145,448,336,109,324,492,188,263,325,224,104,228,307,140,58,289,146,39,254,214,99,846,690,550,578,271,591
2020년10월_남_70~79세,"5,451",412,126,277,247,69,190,334,133,154,172,112,49,158,175,82,24,196,108,36,190,186,63,475,306,305,362,218,292
2020년10월_남_80~89세,"2,626",211,52,155,128,55,115,166,72,81,80,62,24,71,106,56,13,100,53,30,96,100,31,165,130,136,141,81,116
2020년10월_남_90~99세,247,19,6,10,15,4,12,16,9,5,8,9,0,8,15,5,0,10,3,3,7,17,5,13,8,11,10,6,13
2020년10월_남_100세 이상,11,2,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020년10월_여_총인구수,"49,777","3,430",730,"1,971","1,586",504,"1,377","2,021",835,948,"1,296",869,398,"1,005","1,430",613,161,"1,462",621,182,"1,139","1,091",426,"6,317","4,597","4,120","4,279","1,865","4,504"
2020년10월_여_연령구간인구수,"49,777","3,430",730,"1,971","1,586",504,"1,377","2,021",835,948,"1,296",869,398,"1,005","1,430",613,161,"1,462",621,182,"1,139","1,091",426,"6,317","4,597","4,120","4,279","1,865","4,504"
2020년10월_여_0~9세,"2,525",126,14,54,45,15,37,45,31,32,48,28,11,33,63,16,3,48,13,4,21,23,10,463,360,274,266,79,363
2020년10월_여_10~19세,"3,632",276,33,65,80,20,40,79,24,29,75,34,20,53,77,32,5,79,20,6,49,57,21,585,409,413,407,162,482
2020년10월_여_20~29세,"3,455",183,27,64,70,16,53,84,35,40,59,39,18,46,71,37,4,48,22,3,33,41,29,581,436,336,387,125,568
2020년10월_여_30~39세,"3,460",213,31,89,47,16,70,83,42,42,64,32,24,43,80,23,5,66,16,3,37,27,18,592,527,347,364,135,424
2020년10월_여_40~49세,"5,428",337,34,114,115,28,77,104,34,56,100,70,18,65,118,55,9,126,33,12,60,82,24,943,675,576,640,223,700
2020년10월_여_50~59세,"7,976",517,92,285,227,86,200,308,124,175,240,146,84,160,256,116,26,234,77,24,148,137,71,"1,065",758,697,693,302,728
2020년10월_여_60~69세,"9,285",666,169,417,310,110,315,495,186,215,315,199,81,229,297,131,46,305,148,34,260,212,85,"1,012",727,640,700,365,616
2020년10월_여_70~79세,"7,222",571,179,408,319,87,283,422,167,182,217,164,67,192,240,104,33,268,157,40,251,246,74,641,402,446,475,260,327
2020년10월_여_80~89세,"5,718",456,130,401,303,113,251,337,161,152,153,141,63,143,197,80,25,244,109,49,229,217,72,362,255,341,300,179,255
2020년10월_여_90~99세,"1,026",79,21,71,66,11,48,63,31,25,22,16,12,41,29,17,5,41,24,7,50,47,21,66,48,48,44,32,41
2020년10월_여_100세 이상,50,6,0,3,4,2,3,1,0,0,3,0,0,0,2,2,0,3,2,0,1,2,1,7,0,2,3,3,0
