,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년05월_남_연령구간인구수,"335,990","130,028","12,457","2,258","2,187","2,271","1,653","1,235","3,235","1,133","2,824","2,218","4,489","4,784","9,214","11,614","22,873","27,728","17,855","205,962","12,540","11,397","10,844","4,568","8,726","13,845","6,842","18,469","9,136","20,348","35,174","24,073","30,000"
2021년05월_남_0~9세,"31,070","10,160",846,78,51,71,36,25,121,12,82,88,229,137,554,"1,042","2,365","3,006","1,417","20,910",608,876,746,144,435,488,453,"1,672",677,"2,793","5,329","2,016","4,673"
2021년05월_남_10~19세,"35,160","13,479","1,381",120,104,114,78,47,190,45,147,114,377,348,759,"1,649","3,051","3,590","1,365","21,681","1,162","1,190",990,290,518,650,587,"2,555","1,286","2,932","4,809","2,105","2,607"
2021년05월_남_20~29세,"50,368","18,510","1,612",244,212,240,133,107,498,82,279,315,604,665,"1,446","1,473","3,396","3,647","3,557","31,858","1,616","1,439","1,494",539,"1,299","3,259","1,259","3,097","1,374","2,694","4,435","5,121","4,232"
2021년05월_남_30~39세,"55,215","17,147","1,310",198,154,199,116,112,336,57,294,315,471,513,"1,404","1,180","3,526","4,101","2,861","38,068","1,171","1,485","1,607",452,"1,367","3,432",997,"2,496","1,131","3,238","7,009","5,269","8,414"
2021년05월_남_40~49세,"57,847","21,837","2,281",273,236,285,203,165,427,124,373,313,642,699,"1,490","2,168","4,538","5,055","2,565","36,010","2,008","2,235","2,068",632,"1,370","2,163",938,"3,085","1,464","3,973","6,973","3,834","5,267"
2021년05월_남_50~59세,"52,856","22,053","2,411",427,443,461,332,250,596,249,590,421,883,948,"1,654","2,000","3,467","4,204","2,717","30,803","2,331","2,023","1,932",977,"1,689","1,951","1,186","3,176","1,684","2,845","4,604","3,385","3,020"
2021년05월_남_60~69세,"33,879","16,487","1,577",517,574,513,419,279,614,291,612,406,746,803,"1,252","1,332","1,726","2,690","2,136","17,392","2,010","1,365","1,249",868,"1,278","1,319",946,"1,656","1,020","1,337","1,473","1,555","1,316"
2021년05월_남_70~79세,"13,732","7,177",699,266,274,250,224,154,290,171,308,167,388,453,486,551,587,"1,022",887,"6,555","1,121",539,517,437,567,435,343,529,351,410,391,557,358
2021년05월_남_80~89세,"5,354","2,892",307,122,121,124,105,90,145,94,128,68,134,205,153,200,193,374,329,"2,462",477,227,228,197,185,134,121,186,137,115,138,213,104
2021년05월_남_90~99세,491,275,32,13,18,13,6,6,18,7,11,11,14,13,15,17,23,37,21,216,34,17,13,32,17,13,12,16,12,11,12,18,9
2021년05월_남_100세 이상,18,11,1,0,0,1,1,0,0,1,0,0,1,0,1,2,1,2,0,7,2,1,0,0,1,1,0,1,0,0,1,0,0
2021년05월_여_총인구수,"321,785","126,454","11,818","1,851","2,138","2,097","1,503","1,030","2,819",980,"2,560","2,009","4,206","4,470","8,823","11,715","21,917","27,721","18,797","195,331","11,446","10,340","9,075","3,926","7,764","11,942","7,105","19,171","9,797","20,180","34,946","22,675","26,964"
2021년05월_여_연령구간인구수,"321,785","126,454","11,818","1,851","2,138","2,097","1,503","1,030","2,819",980,"2,560","2,009","4,206","4,470","8,823","11,715","21,917","27,721","18,797","195,331","11,446","10,340","9,075","3,926","7,764","11,942","7,105","19,171","9,797","20,180","34,946","22,675","26,964"
2021년05월_여_0~9세,"29,669","9,580",807,56,56,58,41,23,121,12,84,70,186,138,514,"1,036","2,163","2,856","1,359","20,089",544,900,632,146,363,467,401,"1,675",707,"2,732","5,090","1,934","4,498"
2021년05월_여_10~19세,"32,740","12,391","1,255",109,87,108,83,40,164,25,125,101,285,301,642,"1,547","2,758","3,384","1,377","20,349","1,035","1,148",884,245,553,640,613,"2,332","1,077","2,716","4,631","2,022","2,453"
2021년05월_여_20~29세,"45,415","16,415","1,258",134,153,149,91,62,244,57,260,297,457,488,"1,395","1,262","2,782","3,334","3,992","29,000","1,190","1,119",986,335,"1,103","3,194","1,208","2,845","1,259","2,440","4,381","5,071","3,869"
2021년05월_여_30~39세,"48,489","15,411","1,167",118,137,136,61,58,203,36,191,238,382,325,"1,103","1,321","3,156","4,092","2,687","33,078",902,"1,283","1,079",250,950,"2,206",841,"2,470","1,155","3,467","7,324","4,052","7,099"
2021년05월_여_40~49세,"53,791","20,429","2,105",164,196,235,124,68,297,49,292,236,556,619,"1,384","2,165","4,404","5,070","2,465","33,362","1,601","1,881","1,562",434,"1,080","1,654",970,"3,536","1,663","3,906","7,195","3,643","4,237"
2021년05월_여_50~59세,"50,118","21,302","2,072",322,402,382,252,172,557,172,442,333,842,869,"1,578","2,026","3,456","4,245","3,180","28,816","1,918","1,672","1,612",781,"1,474","1,634","1,339","3,502","1,876","2,770","4,158","3,306","2,774"
2021년05월_여_60~69세,"33,068","16,237","1,550",433,497,500,373,244,558,244,581,378,777,841,"1,262","1,238","1,813","2,716","2,232","16,831","1,994","1,223","1,196",822,"1,213","1,222","1,037","1,671","1,061","1,310","1,353","1,481","1,248"
2021년05월_여_70~79세,"16,558","8,415",882,260,294,258,237,182,350,180,358,225,413,531,590,689,788,"1,222",956,"8,143","1,317",640,637,516,674,567,422,695,561,487,469,707,451
2021년05월_여_80~89세,"10,126","5,303",619,217,263,220,192,159,271,167,202,113,257,316,300,370,516,664,457,"4,823",820,410,423,338,308,290,230,390,365,295,280,393,281
2021년05월_여_90~99세,"1,744",934,101,38,52,51,46,20,52,35,23,17,48,42,53,59,79,132,86,810,120,63,60,58,41,66,43,55,73,53,62,64,52
2021년05월_여_100세 이상,67,37,2,0,1,0,3,2,2,3,2,1,3,0,2,2,2,6,6,30,5,1,4,1,5,2,1,0,0,4,3,2,2
