,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2021년11월_여_연령구간인구수,"115,956","8,645","4,888","2,884","10,360","8,384","7,285","5,308","6,205","11,465","13,825","4,434","3,285","4,870","10,557","6,783","6,778"
2021년11월_여_0~9세,"6,177",432,155,81,319,640,427,363,358,581,"1,167",260,112,198,523,372,189
2021년11월_여_10~19세,"7,277",531,235,109,495,430,688,330,355,473,"1,364",260,133,256,578,712,328
2021년11월_여_20~29세,"17,382","1,195",693,510,"2,559","1,432","1,002",830,904,"2,175","1,382",423,496,709,"1,270",875,927
2021년11월_여_30~39세,"19,077","1,333",812,462,"1,501","1,919","1,056",946,"1,014","2,529","1,833",691,499,850,"1,987",733,912
2021년11월_여_40~49세,"17,160","1,331",628,390,"1,290","1,280","1,096",802,862,"1,470","2,456",608,408,708,"1,627","1,255",949
2021년11월_여_50~59세,"18,329","1,385",739,478,"1,541","1,124","1,160",837,"1,002","1,776","2,268",723,539,688,"1,650","1,162","1,257"
2021년11월_여_60~69세,"15,107","1,215",783,418,"1,315",864,927,578,853,"1,303","1,501",757,535,677,"1,502",760,"1,119"
2021년11월_여_70~79세,"9,026",723,493,259,841,442,529,372,560,693,964,410,308,457,856,453,666
2021년11월_여_80~89세,"5,379",415,293,142,426,211,350,216,251,385,732,246,200,281,452,403,376
2021년11월_여_90~99세,988,77,56,31,71,40,48,31,44,75,152,55,51,43,105,57,52
2021년11월_여_100세 이상,54,8,1,4,2,2,2,3,2,5,6,1,4,3,7,1,3
