카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년02월_계_80~89세,"25,795","7,154",914,762,752,581,469,624,601,639,723,741,348,"10,055",982,433,528,636,366,774,540,294,"1,201","1,087",580,503,483,616,"1,032","8,586",890,879,992,"1,395",448,824,"1,010",874,"1,274"
2020년02월_계_90~99세,"3,911","1,074",110,111,123,93,72,90,111,93,115,88,68,"1,549",125,71,140,101,39,120,75,53,186,160,77,79,72,92,159,"1,288",114,107,131,196,78,140,180,139,203
2020년02월_계_100세 이상,181,70,1,7,7,6,5,8,7,11,9,3,6,63,5,0,2,8,3,5,3,3,7,9,2,5,1,3,7,48,9,5,3,4,1,3,9,5,9
2020년02월_남_총인구수,"527,799","130,142","17,020","13,508","10,285","11,707","4,334","4,524","9,639","12,279","22,025","18,012","6,809","216,261","19,525","15,264","8,239","20,968","6,992","16,573","10,456","12,940","19,076","15,891","15,882","13,479","11,054","12,163","17,759","181,396","18,256","20,698","18,611","27,681","9,220","22,773","23,768","16,734","23,655"
2020년02월_남_연령구간인구수,"527,799","130,142","17,020","13,508","10,285","11,707","4,334","4,524","9,639","12,279","22,025","18,012","6,809","216,261","19,525","15,264","8,239","20,968","6,992","16,573","10,456","12,940","19,076","15,891","15,882","13,479","11,054","12,163","17,759","181,396","18,256","20,698","18,611","27,681","9,220","22,773","23,768","16,734","23,655"
2020년02월_남_0~9세,"53,626","11,248","1,268","1,071",848,"1,585",172,140,694,827,"2,606","1,652",385,"23,262","1,819","1,890",948,"2,324",566,"1,724",997,"1,686","1,862","1,499","1,888","1,490","1,576","1,127","1,866","19,116","1,530","2,501","1,881","2,783",833,"2,742","2,488","1,836","2,522"
2020년02월_남_10~19세,"62,982","13,181","2,000","1,232",974,855,311,281,"1,010","1,172","2,342","2,337",667,"26,504","1,959","1,859",668,"1,806",703,"2,255","1,143","1,221","2,554","1,606","2,908","2,442","1,517","1,533","2,330","23,297","2,006","3,038","2,751","3,674",860,"2,610","3,213","2,231","2,914"
2020년02월_남_20~29세,"68,721","18,010","2,587","1,762","1,185","1,043",450,480,"1,240","2,259","3,450","2,521","1,033","27,926","2,585","1,947","1,131","3,146","1,024","1,991","1,298","2,559","2,146","2,070","1,693","1,562","1,038","1,702","2,034","22,785","2,783","2,460","2,087","3,837","1,376","2,664","3,008","1,939","2,631"
2020년02월_남_30~39세,"73,211","18,199","2,163","1,660","1,294","2,168",427,467,"1,269","1,702","3,819","2,406",824,"30,189","3,285","2,446","1,568","4,156","1,060","1,988","1,402","2,403","2,153","2,101","1,585","1,133","1,471","1,432","2,006","24,823","3,266","3,004","1,914","3,433","1,718","3,512","3,331","2,132","2,513"
2020년02월_남_40~49세,"99,553","22,853","3,148","2,351","1,851","2,141",635,631,"1,663","2,042","3,879","3,440","1,072","41,785","3,431","3,056","1,330","3,651","1,295","3,287","1,920","2,258","3,830","2,680","3,877","3,016","2,435","2,216","3,503","34,915","3,098","4,459","3,834","5,404","1,508","4,371","4,570","3,170","4,501"
2020년02월_남_50~59세,"81,386","22,092","3,030","2,508","1,916","1,600",872,922,"1,704","2,043","3,099","3,085","1,313","32,255","3,145","2,296","1,253","3,175","1,204","2,478","1,623","1,536","2,734","2,439","2,243","2,164","1,290","2,091","2,584","27,039","2,739","3,005","2,874","4,202","1,431","3,265","3,517","2,511","3,495"
2020년02월_남_60~69세,"47,434","14,529","1,680","1,737","1,313","1,332",818,917,"1,270","1,342","1,691","1,493",936,"18,103","1,829","1,123",750,"1,596",572,"1,479","1,158",812,"1,828","1,674",863,893,790,"1,171","1,565","14,802","1,491","1,130","1,510","2,231",809,"2,080","1,847","1,342","2,362"
2020년02월_남_70~79세,"29,301","7,181",799,855,633,745,466,439,557,635,846,780,426,"11,629","1,013",507,345,850,405,"1,000",686,348,"1,388","1,277",569,558,691,650,"1,342","10,491",966,718,"1,249","1,468",483,"1,148","1,289","1,132","2,038"
2020년02월_남_80~89세,"10,550","2,594",324,309,249,214,160,225,211,231,267,272,132,"4,190",421,126,203,241,155,331,217,106,539,492,234,197,221,223,484,"3,766",339,346,481,596,173,352,462,396,621
2020년02월_남_90~99세,"1,002",242,21,21,21,24,23,21,20,21,23,26,21,405,37,14,42,22,7,39,12,10,41,51,22,22,24,18,44,355,36,35,30,53,29,29,41,45,57
2020년02월_남_100세 이상,33,13,0,2,1,0,0,1,1,5,3,0,0,13,1,0,1,1,1,1,0,1,1,2,0,2,1,0,1,7,2,2,0,0,0,0,2,0,1
2020년02월_여_총인구수,"535,851","123,840","15,950","12,222","9,795","11,432","3,936","3,912","8,654","12,011","21,805","17,699","6,424","221,550","19,500","15,463","8,420","21,082","6,570","16,763","10,616","12,446","20,396","16,567","17,036","13,907","11,587","12,710","18,487","190,461","18,349","21,548","19,649","29,468","9,458","23,492","25,257","17,614","25,626"
2020년02월_여_연령구간인구수,"535,851","123,840","15,950","12,222","9,795","11,432","3,936","3,912","8,654","12,011","21,805","17,699","6,424","221,550","19,500","15,463","8,420","21,082","6,570","16,763","10,616","12,446","20,396","16,567","17,036","13,907","11,587","12,710","18,487","190,461","18,349","21,548","19,649","29,468","9,458","23,492","25,257","17,614","25,626"
2020년02월_여_0~9세,"51,368","10,797","1,215",953,812,"1,557",184,110,636,821,"2,441","1,696",372,"22,054","1,766","1,833",939,"2,163",496,"1,555",999,"1,656","1,764","1,380","1,890","1,379","1,472","1,030","1,732","18,517","1,446","2,478","1,885","2,729",771,"2,584","2,475","1,675","2,474"
2020년02월_여_10~19세,"59,644","11,990","1,764","1,129",874,887,250,228,864,"1,067","2,186","2,188",553,"25,020","1,848","1,753",612,"1,737",673,"2,116","1,025","1,176","2,392","1,544","2,837","2,297","1,417","1,400","2,193","22,634","1,906","2,904","2,617","3,651",801,"2,480","3,157","2,105","3,013"
2020년02월_여_20~29세,"64,010","15,269","2,029","1,427",895,960,346,336,955,"2,068","3,200","2,192",861,"26,252","2,538","1,742","1,062","3,328",925,"1,882","1,114","1,995","2,025","1,947","1,676","1,431","1,072","1,588","1,927","22,489","2,589","2,502","1,927","3,755","1,396","2,599","3,217","1,918","2,586"
2020년02월_여_30~39세,"75,506","16,401","1,885","1,522","1,093","2,169",312,289,"1,010","1,421","3,716","2,321",663,"31,725","3,052","2,530","1,508","4,096",887,"2,107","1,452","2,369","2,403","2,174","2,031","1,506","1,731","1,519","2,360","27,380","2,903","3,413","2,278","3,863","1,685","3,971","3,645","2,384","3,238"
2020년02월_여_40~49세,"101,701","20,570","2,932","2,006","1,545","1,699",491,423,"1,385","1,868","3,764","3,440","1,017","43,147","3,390","3,122","1,333","3,483","1,185","3,331","1,899","2,067","4,081","2,808","4,202","3,449","2,493","2,424","3,880","37,984","3,290","4,728","4,394","5,842","1,588","4,568","5,020","3,484","5,070"
2020년02월_여_50~59세,"78,075","20,479","2,677","2,059","1,767","1,569",769,766,"1,605","2,073","3,143","2,775","1,276","31,511","2,980","2,273","1,372","3,114","1,017","2,365","1,725","1,662","2,864","2,518","2,002","1,847","1,261","2,086","2,425","26,085","2,650","2,630","2,646","4,223","1,432","3,221","3,372","2,456","3,455"
2020년02월_여_60~69세,"52,791","14,540","1,725","1,643","1,377","1,417",761,775,"1,110","1,415","1,825","1,579",913,"20,927","1,962","1,268",772,"1,722",646,"1,724","1,310",859,"2,328","1,992","1,128",972,"1,061","1,361","1,822","17,324","1,705","1,247","1,844","2,651",909,"2,191","2,172","1,667","2,938"
2020년02월_여_70~79세,"34,454","8,345","1,043",935,821,732,460,510,602,792,976,974,500,"13,855","1,311",578,398,958,496,"1,155",703,429,"1,726","1,493",867,660,770,832,"1,479","12,254","1,224","1,038","1,443","1,808",551,"1,292","1,505","1,348","2,045"
2020년02월_여_80~89세,"15,245","4,560",590,453,503,367,309,399,390,408,456,469,216,"5,865",561,307,325,395,211,443,323,188,662,595,346,306,262,393,548,"4,820",551,533,511,799,275,472,548,478,653
2020년02월_여_90~99세,"2,909",832,89,90,102,69,49,69,91,72,92,62,47,"1,144",88,57,98,79,32,81,63,43,145,109,55,57,48,74,115,933,78,72,101,143,49,111,139,94,146
2020년02월_여_100세 이상,148,57,1,5,6,6,5,7,6,6,6,3,6,50,4,0,1,7,2,4,3,2,6,7,2,3,0,3,6,41,7,3,3,4,1,3,7,5,8
