,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년05월_계_80~89세,"26,481","7,251",921,779,750,578,482,638,607,645,737,767,347,"10,431",995,445,549,644,390,795,547,314,"1,240","1,116",594,510,593,630,"1,069","8,799",940,887,"1,009","1,445",452,837,"1,041",885,"1,303"
2020년05월_계_90~99세,"3,991","1,112",112,117,125,95,76,92,115,100,123,90,67,"1,581",134,72,145,103,38,118,80,44,186,160,83,77,79,96,166,"1,298",120,106,127,203,80,145,172,140,205
2020년05월_계_100세 이상,191,69,1,7,7,5,4,7,9,11,9,3,6,69,8,1,2,7,2,9,3,2,7,8,2,4,1,5,8,53,14,5,2,5,1,4,9,5,8
2020년05월_남_총인구수,"531,727","131,298","17,180","13,549","10,298","11,752","4,319","4,595","10,332","12,301","22,108","18,043","6,821","217,566","19,510","15,321","8,592","21,108","6,981","16,655","10,475","13,117","19,103","15,893","15,877","13,458","11,291","12,234","17,951","182,863","18,310","20,685","18,678","27,642","9,214","23,978","23,779","16,687","23,890"
2020년05월_남_연령구간인구수,"531,727","131,298","17,180","13,549","10,298","11,752","4,319","4,595","10,332","12,301","22,108","18,043","6,821","217,566","19,510","15,321","8,592","21,108","6,981","16,655","10,475","13,117","19,103","15,893","15,877","13,458","11,291","12,234","17,951","182,863","18,310","20,685","18,678","27,642","9,214","23,978","23,779","16,687","23,890"
2020년05월_남_0~9세,"53,156","11,086","1,233","1,051",821,"1,597",176,135,680,804,"2,582","1,634",373,"22,868","1,783","1,856",965,"2,328",559,"1,689",962,"1,659","1,798","1,478","1,841","1,443","1,568","1,094","1,845","19,202","1,468","2,485","1,864","2,715",826,"2,994","2,484","1,824","2,542"
2020년05월_남_10~19세,"63,375","13,765","2,113","1,214",946,869,315,328,"1,567","1,144","2,316","2,300",653,"26,427","1,934","1,845",671,"1,784",677,"2,256","1,132","1,244","2,539","1,603","2,897","2,455","1,541","1,512","2,337","23,183","1,974","2,994","2,738","3,654",841,"2,698","3,179","2,203","2,902"
2020년05월_남_20~29세,"70,247","18,378","2,636","1,801","1,214","1,057",417,495,"1,317","2,276","3,549","2,565","1,051","28,759","2,613","1,985","1,289","3,210","1,034","2,027","1,317","2,750","2,205","2,084","1,720","1,582","1,066","1,753","2,124","23,110","2,799","2,469","2,124","3,878","1,419","2,745","3,065","1,943","2,668"
2020년05월_남_30~39세,"73,229","18,010","2,132","1,646","1,276","2,118",434,472,"1,279","1,709","3,775","2,357",812,"30,109","3,293","2,442","1,638","4,121","1,044","2,003","1,387","2,354","2,117","2,081","1,567","1,119","1,485","1,432","2,026","25,110","3,306","3,008","1,927","3,396","1,689","3,771","3,336","2,129","2,548"
2020년05월_남_40~49세,"99,347","22,847","3,118","2,360","1,855","2,174",624,619,"1,661","2,047","3,899","3,433","1,057","41,570","3,420","3,017","1,364","3,634","1,270","3,258","1,916","2,260","3,813","2,677","3,853","2,977","2,438","2,198","3,475","34,930","3,049","4,445","3,785","5,348","1,502","4,633","4,499","3,164","4,505"
2020년05월_남_50~59세,"82,353","22,168","3,055","2,510","1,925","1,603",856,916,"1,738","2,060","3,066","3,116","1,323","32,762","3,133","2,344","1,282","3,240","1,235","2,520","1,661","1,538","2,780","2,437","2,287","2,200","1,317","2,139","2,649","27,423","2,737","3,057","2,932","4,241","1,424","3,396","3,557","2,495","3,584"
2020년05월_남_60~69세,"48,347","14,820","1,722","1,748","1,333","1,335",839,933,"1,293","1,362","1,762","1,536",957,"18,479","1,856","1,153",774,"1,651",582,"1,519","1,172",838,"1,852","1,704",873,896,822,"1,196","1,591","15,048","1,572","1,135","1,522","2,271",818,"2,157","1,853","1,341","2,379"
2020년05월_남_70~79세,"29,661","7,296",815,875,656,761,463,443,561,636,848,797,441,"11,781","1,017",528,352,868,399,"1,003",694,346,"1,398","1,269",582,562,746,659,"1,358","10,584",994,700,"1,265","1,465",491,"1,186","1,284","1,139","2,060"
2020년05월_남_80~89세,"10,946","2,664",332,317,251,213,171,231,214,236,286,279,134,"4,377",418,137,212,250,173,339,221,118,559,504,232,202,280,233,499,"3,905",371,357,490,618,177,364,482,403,643
2020년05월_남_90~99세,"1,031",252,24,25,20,25,24,22,21,22,23,26,20,418,40,14,44,21,7,39,13,9,41,54,25,20,27,18,46,361,38,33,31,56,27,34,38,46,58
2020년05월_남_100세 이상,35,12,0,2,1,0,0,1,1,5,2,0,0,16,3,0,1,1,1,2,0,1,1,2,0,2,1,0,1,7,2,2,0,0,0,0,2,0,1
2020년05월_여_총인구수,"539,260","124,431","15,903","12,271","9,826","11,513","3,898","3,899","9,063","12,001","21,943","17,736","6,378","222,708","19,531","15,481","8,716","21,254","6,539","16,855","10,675","12,491","20,392","16,585","17,087","13,924","11,840","12,766","18,572","192,121","18,478","21,478","19,660","29,531","9,466","24,714","25,302","17,646","25,846"
2020년05월_여_연령구간인구수,"539,260","124,431","15,903","12,271","9,826","11,513","3,898","3,899","9,063","12,001","21,943","17,736","6,378","222,708","19,531","15,481","8,716","21,254","6,539","16,855","10,675","12,491","20,392","16,585","17,087","13,924","11,840","12,766","18,572","192,121","18,478","21,478","19,660","29,531","9,466","24,714","25,302","17,646","25,846"
2020년05월_여_0~9세,"51,000","10,679","1,183",939,822,"1,562",179,106,639,801,"2,425","1,658",365,"21,761","1,745","1,812",949,"2,165",467,"1,531",978,"1,640","1,718","1,366","1,861","1,356","1,462","1,016","1,695","18,560","1,411","2,452","1,850","2,682",752,"2,790","2,465","1,685","2,473"
2020년05월_여_10~19세,"59,635","12,200","1,733","1,126",868,894,251,220,"1,152","1,071","2,190","2,161",534,"24,883","1,810","1,736",614,"1,742",661,"2,100","1,027","1,188","2,371","1,507","2,824","2,296","1,433","1,373","2,201","22,552","1,850","2,875","2,589","3,616",789,"2,587","3,139","2,083","3,024"
2020년05월_여_20~29세,"65,233","15,419","2,027","1,442",888,958,326,340,995,"2,056","3,291","2,232",864,"26,835","2,572","1,746","1,164","3,423",924,"1,942","1,135","1,997","2,043","1,987","1,711","1,477","1,116","1,632","1,966","22,979","2,654","2,512","1,987","3,849","1,403","2,738","3,272","1,951","2,613"
2020년05월_여_30~39세,"75,415","16,285","1,854","1,512","1,095","2,163",305,285,"1,014","1,449","3,692","2,281",635,"31,439","3,038","2,516","1,577","4,056",893,"2,071","1,418","2,351","2,342","2,167","1,984","1,479","1,710","1,500","2,337","27,691","2,917","3,421","2,235","3,842","1,688","4,259","3,660","2,380","3,289"
2020년05월_여_40~49세,"101,422","20,436","2,901","1,975","1,528","1,737",474,407,"1,381","1,826","3,782","3,423","1,002","43,017","3,368","3,094","1,353","3,477","1,169","3,331","1,899","2,096","4,063","2,794","4,175","3,423","2,510","2,401","3,864","37,969","3,231","4,688","4,343","5,797","1,591","4,782","4,978","3,479","5,080"
2020년05월_여_50~59세,"79,181","20,621","2,715","2,078","1,761","1,576",759,760,"1,627","2,083","3,162","2,822","1,278","32,073","3,018","2,302","1,407","3,163","1,032","2,426","1,740","1,663","2,895","2,549","2,089","1,879","1,286","2,139","2,485","26,487","2,667","2,647","2,710","4,267","1,455","3,348","3,404","2,469","3,520"
2020년05월_여_60~69세,"53,653","14,811","1,741","1,684","1,422","1,434",775,779,"1,151","1,427","1,852","1,617",929,"21,291","1,971","1,305",819,"1,755",640,"1,746","1,360",881,"2,375","1,975","1,148",976,"1,109","1,374","1,857","17,551","1,809","1,236","1,847","2,651",913,"2,297","2,178","1,673","2,947"
2020년05월_여_70~79세,"35,070","8,476","1,071",956,832,749,462,519,609,795,991,987,505,"14,139","1,333",603,394,991,504,"1,166",722,443,"1,753","1,516",873,671,849,851,"1,470","12,455","1,276","1,041","1,482","1,848",546,"1,325","1,506","1,345","2,086"
2020년05월_여_80~89세,"15,535","4,587",589,462,499,365,311,407,393,409,451,488,213,"6,054",577,308,337,394,217,456,326,196,681,612,362,308,313,397,570,"4,894",569,530,519,827,275,473,559,482,660
2020년05월_여_90~99세,"2,960",860,88,92,105,70,52,70,94,78,100,64,47,"1,163",94,58,101,82,31,79,67,35,145,106,58,57,52,78,120,937,82,73,96,147,53,111,134,94,147
2020년05월_여_100세 이상,156,57,1,5,6,5,4,6,8,6,7,3,6,53,5,1,1,6,1,7,3,1,6,6,2,2,0,5,7,46,12,3,2,5,1,4,7,5,7
