,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년10월_계_100세 이상,190,6,14,14,9,7,15,10,12,10,7,11,3,7,15,15,15,1,19
2020년10월_남_총인구수,"223,601","15,177","14,859","10,735","12,714","20,991","10,746","10,527","8,372","9,059","7,516","6,690","10,128","10,254","9,886","22,735","16,495","12,191","14,526"
2020년10월_남_연령구간인구수,"223,601","15,177","14,859","10,735","12,714","20,991","10,746","10,527","8,372","9,059","7,516","6,690","10,128","10,254","9,886","22,735","16,495","12,191","14,526"
2020년10월_남_0~9세,"16,403","1,489",868,738,684,"1,803",522,762,498,767,521,744,558,979,669,"1,777",918,"1,081","1,025"
2020년10월_남_10~19세,"26,637","2,575","1,385",835,"1,842","4,169",678,891,600,866,693,597,712,"1,570","1,561","2,758","1,186","1,902","1,817"
2020년10월_남_20~29세,"30,674","1,668","2,474","1,736","2,193","2,381","1,426","1,400","1,074","1,137","1,108",810,"1,432","1,275","1,361","3,073","2,562","1,653","1,911"
2020년10월_남_30~39세,"28,777","1,424","2,699","1,977","1,410","1,771","1,511","1,568","1,132","1,244","1,130","1,303","1,409",920,853,"2,878","2,740","1,239","1,569"
2020년10월_남_40~49세,"37,968","3,203","2,220","1,535","2,043","4,167","1,634","1,718","1,274","1,551","1,155","1,060","1,559","1,928","1,767","3,896","2,618","2,147","2,493"
2020년10월_남_50~59세,"38,159","2,615","2,345","1,680","2,409","3,483","2,055","1,629","1,634","1,371","1,218",969,"1,786","1,811","1,881","3,827","2,620","2,197","2,629"
2020년10월_남_60~69세,"27,393","1,381","1,802","1,402","1,282","2,016","1,803","1,504","1,353","1,280","1,040",759,"1,621","1,057","1,110","2,651","2,210","1,267","1,855"
2020년10월_남_70~79세,"13,392",628,811,615,669,899,893,832,610,662,507,361,756,529,485,"1,440","1,246",532,917
2020년10월_남_80~89세,"3,740",167,219,198,164,255,204,208,180,162,134,76,268,164,176,394,360,140,271
2020년10월_남_90~99세,410,25,31,16,15,47,15,13,13,17,8,9,24,18,20,39,32,33,35
2020년10월_남_100세 이상,48,2,5,3,3,0,5,2,4,2,2,2,3,3,3,2,3,0,4
2020년10월_여_총인구수,"232,048","16,443","15,679","11,745","13,302","21,394","10,205","10,914","7,485","9,376","7,634","6,898","10,512","10,742","10,271","23,898","17,177","12,880","15,493"
2020년10월_여_연령구간인구수,"232,048","16,443","15,679","11,745","13,302","21,394","10,205","10,914","7,485","9,376","7,634","6,898","10,512","10,742","10,271","23,898","17,177","12,880","15,493"
2020년10월_여_0~9세,"15,589","1,485",864,662,741,"1,651",486,724,418,755,505,685,529,862,667,"1,703",839,"1,014",999
2020년10월_여_10~19세,"24,453","2,570","1,203",710,"1,562","3,483",685,913,551,757,607,635,695,"1,500","1,421","2,560","1,141","1,792","1,668"
2020년10월_여_20~29세,"29,416","1,763","2,558","1,830","1,970","2,190","1,247","1,302",979,"1,056","1,048",780,"1,252","1,234","1,261","2,888","2,741","1,565","1,752"
2020년10월_여_30~39세,"29,632","1,946","2,571","2,057","1,436","2,281","1,233","1,496",936,"1,287","1,020","1,262","1,266","1,188",978,"2,975","2,449","1,545","1,706"
2020년10월_여_40~49세,"41,359","3,782","2,426","1,679","2,586","5,123","1,505","1,658","1,005","1,501","1,167","1,079","1,459","2,176","2,069","4,167","2,644","2,618","2,715"
2020년10월_여_50~59세,"38,593","2,378","2,609","2,009","2,439","3,232","1,881","1,732","1,345","1,476","1,344","1,051","1,853","1,727","1,785","4,024","2,833","2,213","2,662"
2020년10월_여_60~69세,"29,642","1,440","2,016","1,609","1,366","2,042","1,753","1,791","1,171","1,444","1,101",846,"1,806","1,116","1,107","3,079","2,546","1,316","2,093"
2020년10월_여_70~79세,"15,044",696,904,732,781,803,967,880,742,715,567,388,"1,059",576,630,"1,611","1,414",464,"1,115"
2020년10월_여_80~89세,"6,904",316,446,381,362,464,363,341,284,331,230,133,520,287,287,732,488,286,653
2020년10월_여_90~99세,"1,274",63,73,65,53,118,75,69,46,46,40,30,73,72,54,146,70,66,115
2020년10월_여_100세 이상,142,4,9,11,6,7,10,8,8,8,5,9,0,4,12,13,12,1,15
