카테고리,전라북도 남원시,전라북도 남원시 운봉읍,전라북도 남원시 주천면,전라북도 남원시 수지면,전라북도 남원시 송동면,전라북도 남원시 주생면,전라북도 남원시 금지면,전라북도 남원시 대강면,전라북도 남원시 대산면,전라북도 남원시 사매면,전라북도 남원시 덕과면,전라북도 남원시 보절면,전라북도 남원시 산동면,전라북도 남원시 이백면,전라북도 남원시 아영면,전라북도 남원시 산내면,전라북도 남원시 인월면,전라북도 남원시 동충동,전라북도 남원시 죽항동,전라북도 남원시 노암동,전라북도 남원시 금동,전라북도 남원시 왕정동,전라북도 남원시 향교동,전라북도 남원시 도통동
2020년01월_계_80~89세,"5,988",449,224,177,280,257,303,285,199,218,131,247,265,272,210,181,222,214,215,249,288,247,444,411
2020년01월_계_90~99세,902,73,37,32,43,35,42,50,42,31,18,35,36,47,34,17,34,25,37,29,39,43,60,63
2020년01월_계_100세 이상,43,4,6,0,2,1,1,1,1,2,0,4,2,2,2,0,1,0,1,3,2,1,4,3
2020년01월_남_총인구수,"39,877","1,872","1,310",582,"1,038",928,"1,133",789,836,802,484,800,970,"1,147",971,"1,025","1,367","1,713","1,658","2,846","3,295","2,039","3,726","8,546"
2020년01월_남_연령구간인구수,"39,877","1,872","1,310",582,"1,038",928,"1,133",789,836,802,484,800,970,"1,147",971,"1,025","1,367","1,713","1,658","2,846","3,295","2,039","3,726","8,546"
2020년01월_남_0~9세,"2,798",88,58,25,33,35,43,33,35,31,22,34,41,49,59,46,64,107,96,276,343,111,240,929
2020년01월_남_10~19세,"3,936",106,78,34,68,60,75,37,53,39,22,42,63,101,67,89,116,187,140,301,380,205,332,"1,341"
2020년01월_남_20~29세,"4,283",150,130,43,85,90,77,41,57,70,36,60,77,100,67,74,121,216,210,359,344,275,469,"1,132"
2020년01월_남_30~39세,"3,412",119,81,35,78,50,70,50,62,38,33,41,55,72,66,60,76,151,130,332,332,225,340,916
2020년01월_남_40~49세,"5,751",199,185,73,110,115,157,94,95,80,46,107,117,127,112,146,178,232,255,438,571,269,529,"1,516"
2020년01월_남_50~59세,"7,339",377,259,104,228,174,196,137,178,182,89,152,203,247,186,274,278,322,286,506,518,332,740,"1,371"
2020년01월_남_60~69세,"6,197",414,261,117,211,187,241,177,177,141,110,117,174,221,201,177,282,230,261,336,445,326,560,831
2020년01월_남_70~79세,"4,019",250,170,87,130,126,170,124,116,131,80,147,154,130,142,108,170,180,193,216,263,210,358,364
2020년01월_남_80~89세,"1,927",158,73,54,86,83,97,84,54,79,40,88,79,89,60,49,77,79,74,76,92,78,144,134
2020년01월_남_90~99세,205,10,15,10,9,8,7,11,8,11,6,9,6,11,11,2,5,9,13,5,6,7,14,12
2020년01월_남_100세 이상,10,1,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,1,1,0,0
2020년01월_여_총인구수,"41,562","2,026","1,280",605,"1,085",966,"1,237",867,833,772,489,787,967,"1,169",991,"1,085","1,417","1,902","1,830","3,026","3,571","2,179","3,663","8,815"
2020년01월_여_연령구간인구수,"41,562","2,026","1,280",605,"1,085",966,"1,237",867,833,772,489,787,967,"1,169",991,"1,085","1,417","1,902","1,830","3,026","3,571","2,179","3,663","8,815"
2020년01월_여_0~9세,"2,499",77,43,24,41,28,53,20,31,27,9,32,33,46,43,45,59,94,91,255,318,113,210,807
2020년01월_여_10~19세,"3,689",117,93,22,57,50,57,39,47,24,17,40,45,75,60,89,91,187,150,319,422,141,329,"1,218"
2020년01월_여_20~29세,"3,441",131,85,40,71,53,59,35,48,53,29,49,53,91,48,76,68,180,167,303,261,222,373,946
2020년01월_여_30~39세,"3,374",106,73,33,57,35,60,28,35,39,26,30,49,60,44,46,84,166,137,315,397,204,321,"1,029"
2020년01월_여_40~49세,"5,332",161,136,41,80,68,87,48,55,49,24,50,66,108,75,148,146,249,237,455,549,265,505,"1,730"
2020년01월_여_50~59세,"6,605",345,215,85,168,136,164,110,135,103,76,100,142,189,152,210,265,320,285,481,525,370,620,"1,409"
2020년01월_여_60~69세,"6,177",360,241,114,182,175,238,165,153,138,101,135,177,173,183,158,284,291,325,371,470,357,550,836
2020년01월_여_70~79세,"5,654",372,215,101,199,219,277,182,150,178,104,165,185,206,211,166,245,264,272,328,399,302,405,509
2020년01월_여_80~89세,"4,061",291,151,123,194,174,206,201,145,139,91,159,186,183,150,132,145,135,141,173,196,169,300,277
2020년01월_여_90~99세,697,63,22,22,34,27,35,39,34,20,12,26,30,36,23,15,29,16,24,24,33,36,46,51
2020년01월_여_100세 이상,33,3,6,0,2,1,1,0,0,2,0,1,1,2,2,0,1,0,1,2,1,0,4,3
