,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동
2020년06월_여_10~19세,"20,722",86,237,143,63,273,348,"1,806","1,129",470,704,"1,105",322,265,700,969,757,334,696,429,760,"2,195",803,527,391,56,"3,090","2,064"
2020년06월_여_20~29세,"29,803",560,656,419,270,454,"1,020","3,346","1,279",855,993,"1,458",676,357,"1,150","1,171","1,280",530,"1,131",821,"1,086","2,241",936,890,930,107,"2,778","2,409"
2020년06월_여_30~39세,"27,309",436,322,312,157,598,699,"2,193","1,258",619,811,"1,804",470,407,"1,292",862,"1,007",383,885,613,849,"1,615",874,622,651,94,"4,688","2,788"
2020년06월_여_40~49세,"34,208",238,431,302,154,555,633,"2,886","1,710",830,"1,110","1,903",617,470,"1,294","1,360","1,301",513,"1,109",812,"1,282","3,368","1,292",863,805,101,"5,078","3,191"
2020년06월_여_50~59세,"37,033",315,480,332,249,646,853,"3,523","1,662","1,091","1,429","2,042",963,440,"1,674","1,648","1,471",726,"1,589","1,396","1,304","2,796","1,332","1,109","1,368",246,"3,458","2,891"
2020년06월_여_60~69세,"27,114",321,522,355,277,645,812,"2,280","1,373","1,101","1,022","1,434","1,129",417,"1,456","1,059","1,110",724,"1,374","1,381",710,"1,116",760,750,"1,051",268,"1,887","1,780"
2020년06월_여_70~79세,"15,985",242,414,274,202,462,582,"1,221",602,663,476,688,788,284,894,550,734,461,766,978,368,711,404,419,635,221,981,965
2020년06월_여_80~89세,"7,647",103,176,104,96,156,261,533,228,266,259,301,368,130,446,259,316,194,337,551,175,412,240,192,396,133,545,470
2020년06월_여_90~99세,"1,335",16,25,11,30,34,49,83,54,45,47,61,67,29,74,42,50,36,57,81,36,61,42,35,62,28,104,76
2020년06월_여_100세 이상,104,4,3,6,3,5,6,5,4,3,3,2,10,2,8,2,1,3,3,5,0,1,3,7,2,3,7,3
