카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년12월_남_40~49세,"26,487",532,958,688,975,440,975,952,560,891,"1,021",284,"2,007",978,"1,113","1,150","1,070","3,503",781,"2,049","2,463","1,870","1,227"
2020년12월_남_50~59세,"27,676",710,712,742,"1,307",557,"1,042","1,084",679,"1,278","1,125",365,"1,621","1,409","1,419","1,639","1,420","3,395","1,071","1,462","2,248",778,"1,613"
2020년12월_남_60~69세,"23,884",653,602,663,"1,103",564,919,802,556,"1,203","1,097",371,"1,297","1,332","1,322","1,500","1,328","2,921",912,883,"1,682",700,"1,474"
2020년12월_남_70~79세,"13,163",442,395,399,577,340,586,406,335,752,627,200,631,678,690,825,747,"1,371",497,569,844,296,956
2020년12월_남_80~89세,"4,652",189,152,154,192,127,248,180,125,289,232,85,194,202,239,309,244,430,187,197,250,73,354
2020년12월_남_90~99세,327,11,14,6,19,5,16,13,6,18,25,3,17,14,14,21,13,34,15,14,22,5,22
2020년12월_남_100세 이상,37,0,4,0,4,2,2,4,2,2,3,0,0,1,0,0,1,2,2,0,4,0,4
2020년12월_여_총인구수,"173,477","3,857","5,626","4,981","6,419","3,430","6,889","6,301","3,735","7,149","7,277","1,961","11,047","7,525","7,921","9,458","7,574","22,164","5,609","10,968","14,890","9,548","9,148"
2020년12월_여_연령구간인구수,"173,477","3,857","5,626","4,981","6,419","3,430","6,889","6,301","3,735","7,149","7,277","1,961","11,047","7,525","7,921","9,458","7,574","22,164","5,609","10,968","14,890","9,548","9,148"
2020년12월_여_0~9세,"12,326",133,502,418,199,114,371,441,74,234,356,104,"1,141",351,413,439,364,"1,819",321,"1,238","1,245","1,521",528
2020년12월_여_10~19세,"12,636",197,392,310,320,179,402,445,161,390,488,109,"1,123",449,444,609,423,"1,766",307,"1,345","1,441",724,612
2020년12월_여_20~29세,"19,377",389,478,559,902,345,711,747,684,838,814,210,"1,033",896,975,"1,078",859,"2,467",629,"1,062","1,807","1,075",819
2020년12월_여_30~39세,"20,708",281,739,714,642,254,732,772,433,599,727,185,"1,501",669,837,818,685,"2,790",624,"1,604","2,007","2,252",843
2020년12월_여_40~49세,"24,923",437,886,669,757,422,933,999,436,842,976,212,"1,981",847,946,"1,129",883,"3,350",682,"2,173","2,484","1,630","1,249"
2020년12월_여_50~59세,"29,322",648,835,782,"1,266",667,"1,179","1,106",617,"1,303","1,236",362,"1,677","1,542","1,562","1,919","1,382","3,646","1,132","1,410","2,404",964,"1,683"
2020년12월_여_60~69세,"27,534",764,810,780,"1,213",711,"1,192",873,696,"1,445","1,371",356,"1,416","1,497","1,392","1,784","1,461","3,350","1,027","1,086","1,909",813,"1,588"
2020년12월_여_70~79세,"17,048",622,634,480,749,472,883,570,397,986,837,269,758,829,878,"1,053",974,"1,826",611,696,"1,052",380,"1,092"
2020년12월_여_80~89세,"8,361",335,303,227,320,240,429,301,208,447,408,134,353,396,417,562,474,996,233,308,486,157,627
2020년12월_여_90~99세,"1,154",46,40,40,46,24,52,42,26,56,56,20,60,45,55,62,68,149,40,44,51,30,102
2020년12월_여_100세 이상,88,5,7,2,5,2,5,5,3,9,8,0,4,4,2,5,1,5,3,2,4,2,5
