카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년03월_여_10~19세,"12,070",729,558,364,472,"1,084",818,"1,041",552,631,451,"1,169","1,833","1,180",388,683,117
2021년03월_여_20~29세,"18,286","1,134",730,705,676,"1,617","1,677","2,332",861,"1,054",477,"1,641","2,003","1,480",622,"1,045",232
2021년03월_여_30~39세,"17,018","1,049",704,683,621,"1,449","1,260","1,434",945,"1,005",703,"1,690","2,135","1,321",977,866,176
2021년03월_여_40~49세,"22,182","1,391","1,032",771,906,"1,940","1,482","1,707","1,175","1,187",869,"2,124","3,257","2,053",831,"1,175",282
2021년03월_여_50~59세,"27,655","1,837","1,151","1,140","1,073","2,590","1,871","2,178","1,508","1,503",786,"2,465","3,524","2,733",906,"1,898",492
2021년03월_여_60~69세,"26,851","1,872","1,416","1,436","1,248","2,466","1,755","1,944","1,546","1,289",817,"2,241","2,900","2,466",827,"1,974",654
2021년03월_여_70~79세,"14,208","1,095",806,845,651,"1,175",867,984,897,505,495,"1,040","1,593","1,275",338,"1,036",606
2021년03월_여_80~89세,"6,371",572,337,380,278,519,386,393,372,228,196,362,786,675,133,434,320
2021년03월_여_90~99세,"1,069",108,57,48,44,83,68,60,56,43,17,65,130,128,35,76,51
2021년03월_여_100세 이상,33,3,3,0,2,2,0,2,1,0,1,2,3,5,1,4,4
