,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년06월_여_0~9세,"22,955","1,521",49,45,152,165,107,178,89,41,48,"1,189","2,264","2,802","1,641","2,203","2,876","2,869","1,530",780,"2,406"
2021년06월_여_10~19세,"21,923","2,023",48,64,166,218,162,187,161,54,93,"1,641","2,266","2,745","2,058","2,162","2,374","1,871","1,270",544,"1,816"
2021년06월_여_20~29세,"18,638","2,808",150,103,243,375,379,290,213,122,109,830,"2,062","2,530",960,"1,334","1,303","1,778",955,684,"1,410"
2021년06월_여_30~39세,"31,311","2,466",116,120,273,351,307,271,186,89,61,"1,344","3,376","4,015","1,851","2,775","3,410","4,040","1,906","1,145","3,209"
2021년06월_여_40~49세,"34,723","3,179",112,128,311,396,305,338,265,116,133,"2,330","3,383","4,514","3,072","3,199","3,777","3,260","1,990",995,"2,920"
2021년06월_여_50~59세,"22,240","3,088",194,234,461,700,556,515,438,274,183,"1,289","1,794","2,279","1,297","1,621","1,845","1,923","1,160",868,"1,521"
2021년06월_여_60~69세,"16,222","2,816",247,316,534,853,534,670,495,393,196,622,949,"1,301",669,"1,130","1,343","1,019",715,462,958
2021년06월_여_70~79세,"7,782","1,713",135,220,352,581,288,495,372,245,150,272,307,585,251,420,435,325,230,123,283
2021년06월_여_80~89세,"4,829",981,100,218,257,451,242,356,314,205,133,137,149,326,111,219,160,161,110,78,121
2021년06월_여_90~99세,"1,015",185,29,50,37,97,38,61,66,44,19,29,49,91,23,27,39,45,27,24,35
2021년06월_여_100세 이상,29,7,1,3,0,3,1,2,6,0,0,2,0,0,1,1,0,2,0,0,0
