,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년06월_계_100세 이상,86,5,10,2,3,5,5,1,3,0,16,1,7,1,1,4,2,1,0,3,6,1,7,2
2020년06월_남_총인구수,"218,514","2,508","11,307","2,291","9,484","9,985","4,807","5,625","4,655","4,537","9,446","4,087","13,747","3,476","16,878","18,752","11,263","12,310","18,233","8,701","13,612","14,346","6,445","12,019"
2020년06월_남_연령구간인구수,"218,514","2,508","11,307","2,291","9,484","9,985","4,807","5,625","4,655","4,537","9,446","4,087","13,747","3,476","16,878","18,752","11,263","12,310","18,233","8,701","13,612","14,346","6,445","12,019"
2020년06월_남_0~9세,"17,827",153,"1,225",96,"1,180",939,139,321,150,174,663,100,"1,093",194,"1,671","2,393",721,890,"1,435",521,948,"1,280",350,"1,191"
2020년06월_남_10~19세,"23,072",180,"1,042",139,"1,164","1,180",274,500,262,284,606,214,"1,571",237,"1,972","1,618","1,005","1,362","2,757",860,"1,423","2,397",329,"1,696"
2020년06월_남_20~29세,"33,231",320,"1,337",286,"1,107","1,315",628,984,"1,293",752,"1,695","1,322","2,229",456,"1,911","2,175","1,973","1,968","2,904","1,418","2,375","2,223",798,"1,762"
2020년06월_남_30~39세,"28,376",329,"1,822",257,"1,393","1,217",454,655,675,618,"1,286",614,"1,750",494,"2,194","3,405","1,515","1,483","1,811",930,"1,662","1,422",926,"1,464"
2020년06월_남_40~49세,"35,946",400,"2,016",287,"1,784","1,669",654,728,637,595,"1,417",470,"2,135",490,"3,367","3,301","1,630","1,977","3,279","1,267","1,865","2,752",946,"2,280"
2020년06월_남_50~59세,"38,549",453,"1,619",503,"1,375","1,718","1,010","1,111",643,832,"1,494",585,"2,372",612,"2,874","2,844","2,051","2,267","3,563","1,771","2,650","2,721","1,298","2,183"
2020년06월_남_60~69세,"25,237",356,"1,259",461,863,"1,097",940,807,555,708,"1,245",488,"1,689",591,"1,806","2,009","1,478","1,445","1,593","1,243","1,737",942,"1,073",852
2020년06월_남_70~79세,"11,905",236,672,203,441,624,498,386,310,422,747,211,658,290,848,798,626,700,640,507,677,413,575,423
2020년06월_남_80~89세,"4,089",73,287,51,158,217,200,119,121,146,267,79,240,106,224,199,246,208,232,175,261,187,136,157
2020년06월_남_90~99세,265,6,27,7,19,9,8,14,9,6,21,3,9,6,11,9,18,10,19,9,13,8,13,11
2020년06월_남_100세 이상,17,2,1,1,0,0,2,0,0,0,5,1,1,0,0,1,0,0,0,0,1,1,1,0
2020년06월_여_총인구수,"220,094","2,599","12,100","2,001","10,123","10,640","4,862","5,752","4,377","4,165","9,295","3,462","13,962","3,474","16,253","18,869","11,190","12,796","18,630","8,675","13,674","15,089","5,908","12,198"
2020년06월_여_연령구간인구수,"220,094","2,599","12,100","2,001","10,123","10,640","4,862","5,752","4,377","4,165","9,295","3,462","13,962","3,474","16,253","18,869","11,190","12,796","18,630","8,675","13,674","15,089","5,908","12,198"
2020년06월_여_0~9세,"16,978",153,"1,239",87,"1,161",884,135,309,155,150,662,98,"1,026",164,"1,520","2,276",718,821,"1,421",501,848,"1,201",344,"1,105"
2020년06월_여_10~19세,"21,295",179,"1,018",97,"1,110","1,169",238,460,253,221,587,181,"1,429",224,"1,852","1,548",851,"1,232","2,489",825,"1,212","2,211",325,"1,584"
2020년06월_여_20~29세,"27,817",282,"1,377",206,"1,069","1,139",437,744,"1,074",525,"1,124",864,"1,769",327,"1,703","1,884","1,747","1,771","2,478","1,098","1,998","1,958",624,"1,619"
2020년06월_여_30~39세,"26,151",300,"1,876",193,"1,572","1,264",309,553,446,408,"1,018",393,"1,629",380,"2,126","3,301","1,216","1,360","1,816",754,"1,475","1,580",699,"1,483"
2020년06월_여_40~49세,"37,381",309,"2,015",204,"1,921","1,890",526,824,475,486,"1,301",370,"2,387",441,"3,227","3,113","1,641","2,076","3,851","1,376","2,159","3,532",746,"2,511"
2020년06월_여_50~59세,"39,061",416,"1,713",455,"1,410","1,760",951,"1,216",662,789,"1,512",632,"2,648",669,"2,534","3,118","2,220","2,487","3,533","1,819","2,861","2,550","1,157","1,949"
2020년06월_여_60~69세,"26,627",477,"1,349",403,995,"1,254","1,049",880,640,841,"1,454",501,"1,705",664,"1,840","2,053","1,462","1,696","1,529","1,247","1,633",926,"1,113",916
2020년06월_여_70~79세,"15,960",306,930,235,583,817,795,494,438,491,"1,038",288,844,393,"1,000","1,056",826,920,951,630,900,727,655,643
2020년06월_여_80~89세,"7,710",150,496,100,266,413,385,240,208,221,506,122,434,189,395,456,443,372,489,378,522,375,212,338
2020년06월_여_90~99세,"1,045",24,78,20,33,45,34,31,23,33,82,13,85,22,55,61,64,60,73,44,61,29,27,48
2020년06월_여_100세 이상,69,3,9,1,3,5,3,1,3,0,11,0,6,1,1,3,2,1,0,3,5,0,6,2
