,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년08월_여_총인구수,"49,874","3,436",735,"1,978","1,593",508,"1,391","2,029",835,956,"1,296",872,399,"1,012","1,431",619,163,"1,478",620,181,"1,137","1,094",430,"6,341","4,596","4,109","4,272","1,870","4,493"
2020년08월_여_연령구간인구수,"49,874","3,436",735,"1,978","1,593",508,"1,391","2,029",835,956,"1,296",872,399,"1,012","1,431",619,163,"1,478",620,181,"1,137","1,094",430,"6,341","4,596","4,109","4,272","1,870","4,493"
2020년08월_여_0~9세,"2,542",135,14,55,48,14,38,46,30,32,49,28,12,33,61,16,4,51,14,4,18,20,11,464,367,266,259,86,367
2020년08월_여_10~19세,"3,669",275,34,69,76,20,44,81,26,30,76,34,20,55,79,31,5,78,19,6,47,61,20,599,401,417,414,161,491
2020년08월_여_20~29세,"3,474",187,27,63,70,19,54,83,36,38,62,39,19,46,72,40,4,47,21,4,35,42,29,580,445,337,385,130,560
2020년08월_여_30~39세,"3,488",209,31,92,50,16,74,83,41,43,60,32,25,44,79,24,6,70,17,3,40,26,19,603,529,342,368,136,426
2020년08월_여_40~49세,"5,465",345,36,112,116,27,80,109,32,60,102,68,17,71,121,56,10,135,34,10,59,81,24,944,678,577,637,227,697
2020년08월_여_50~59세,"8,066",521,92,291,234,88,202,307,128,175,245,151,88,161,262,116,26,238,82,25,152,143,71,"1,073",759,697,706,302,731
2020년08월_여_60~69세,"9,185",649,171,414,310,109,312,503,180,217,309,199,77,224,288,133,46,308,143,33,257,210,89,"1,007",714,640,687,360,596
2020년08월_여_70~79세,"7,267",576,182,414,317,91,290,422,169,179,214,166,68,196,245,104,33,266,161,42,252,248,74,646,399,449,476,257,331
2020년08월_여_80~89세,"5,666",458,127,397,302,111,246,333,162,151,155,140,61,145,196,80,24,243,104,47,228,214,72,351,257,334,296,179,253
2020년08월_여_90~99세,"1,004",75,21,68,66,11,48,61,31,31,22,15,12,37,26,17,5,39,23,7,48,48,20,67,47,49,41,29,40
2020년08월_여_100세 이상,48,6,0,3,4,2,3,1,0,0,2,0,0,0,2,2,0,3,2,0,1,1,1,7,0,1,3,3,1
