카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년10월_남_20~29세,"39,621","1,703","3,081","1,937","1,270",894,230,"1,883",416,268,"3,949","2,016","1,402","1,343","1,594",578,398,"2,095",895,351,"5,633","3,795","1,770","2,120"
2020년10월_남_30~39세,"43,130","1,639","3,072","2,627","2,515",832,209,"2,226",368,208,"2,966","1,738","1,773","1,312","1,345",694,384,"1,631",885,263,"8,095","4,064","2,400","1,884"
2020년10월_남_40~49세,"49,315","2,200","4,431","3,027","2,981","1,009",303,"1,944",534,388,"3,864","2,220","1,979","1,178","1,907",665,473,"1,838",822,283,"7,968","4,510","2,673","2,118"
2020년10월_남_50~59세,"45,436","2,808","3,761","2,457","1,642","1,180",392,"1,636",766,588,"4,132","2,459","1,672","1,053","2,080",581,532,"2,203","1,021",437,"5,657","4,218","1,696","2,465"
2020년10월_남_60~69세,"26,829","2,167","1,880","1,417","1,051",933,402,977,569,569,"2,150","1,504",906,604,"1,303",373,458,"1,420",728,351,"2,687","2,356",726,"1,298"
2020년10월_남_70~79세,"12,420","1,217",834,648,543,488,216,454,331,380,948,764,329,281,556,172,270,684,384,210,"1,029",923,239,520
2020년10월_남_80~89세,"4,882",564,331,221,170,165,89,174,143,156,330,293,126,112,228,79,121,278,152,68,347,421,76,238
2020년10월_남_90~99세,504,48,33,24,25,13,5,12,25,16,32,43,13,9,28,13,17,25,15,8,31,40,6,23
2020년10월_남_100세 이상,74,16,0,0,1,1,1,3,0,0,7,9,2,1,6,5,9,3,4,1,2,2,0,1
2020년10월_여_총인구수,"257,194","13,483","21,270","9,691","12,432","5,171","1,659","10,282","3,137","2,539","21,414","12,607","9,457","5,822","11,100","3,763","2,857","11,077","5,161","1,944","40,309","26,979","11,938","13,102"
2020년10월_여_연령구간인구수,"257,194","13,483","21,270","9,691","12,432","5,171","1,659","10,282","3,137","2,539","21,414","12,607","9,457","5,822","11,100","3,763","2,857","11,077","5,161","1,944","40,309","26,979","11,938","13,102"
2020년10월_여_0~9세,"23,900",743,"2,067",985,"1,954",246,63,"1,270",143,74,"1,448",667,"1,158",372,826,295,74,513,284,58,"5,108","2,829","1,631","1,092"
2020년10월_여_10~19세,"25,670",819,"2,902",933,"1,505",380,88,895,247,145,"2,413","1,133",920,488,"1,103",235,143,844,321,88,"4,348","2,920","1,496","1,304"
2020년10월_여_20~29세,"32,736","1,237","2,634","1,065","1,000",596,136,"1,334",295,194,"3,124","1,665","1,202","1,027","1,351",471,321,"1,784",699,256,"5,334","3,569","1,542","1,900"
2020년10월_여_30~39세,"36,390","1,309","2,621","1,322","2,358",492,140,"1,886",242,146,"2,393","1,348","1,593",889,"1,298",587,258,"1,256",640,159,"7,576","3,988","2,221","1,668"
2020년10월_여_40~49세,"43,626","1,744","4,256","1,628","2,273",729,173,"1,543",353,238,"3,806","1,972","1,624",921,"1,811",557,313,"1,659",757,240,"7,650","4,902","2,367","2,110"
2020년10월_여_50~59세,"40,947","2,334","3,125","1,453","1,273",962,295,"1,535",562,424,"3,950","2,406","1,543",888,"2,033",560,479,"2,092",889,375,"5,434","4,358","1,495","2,482"
2020년10월_여_60~69세,"27,287","2,486","1,799","1,144","1,056",855,331,924,557,554,"2,239","1,706",755,609,"1,356",506,539,"1,511",768,389,"2,772","2,407",699,"1,325"
2020년10월_여_70~79세,"16,001","1,649","1,111",668,551,537,237,503,398,409,"1,246","1,071",388,411,831,354,440,888,481,242,"1,287","1,252",294,753
2020년10월_여_80~89세,"9,002",970,635,410,370,322,176,323,292,292,687,557,230,175,414,158,236,464,268,116,686,647,169,405
2020년10월_여_90~99세,"1,474",159,111,79,87,48,19,66,46,60,97,74,41,38,70,34,40,58,43,18,107,96,24,59
2020년10월_여_100세 이상,161,33,9,4,5,4,1,3,2,3,11,8,3,4,7,6,14,8,11,3,7,11,0,4
