,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년09월_남_30~39세,"14,075",254,"1,517",905,823,453,942,"1,116",679,796,"1,127","1,812",814,758,793,101,"1,185"
2020년09월_남_40~49세,"17,969",376,"2,494",985,883,574,"1,304","1,194",742,"1,162","1,406","1,684",962,895,"1,189",158,"1,961"
2020년09월_남_50~59세,"18,922",666,"1,791",945,"1,070",808,"1,546","1,235",798,"1,287","1,675","1,779","1,060",963,"1,374",279,"1,646"
2020년09월_남_60~69세,"15,511",654,"1,339",822,919,898,"1,165",925,738,"1,086","1,253","1,265",909,785,"1,166",293,"1,294"
2020년09월_남_70~79세,"8,550",385,715,568,505,509,602,515,431,581,642,596,509,380,717,163,732
2020년09월_남_80~89세,"2,954",130,222,204,192,209,195,177,131,208,213,181,167,138,261,79,247
2020년09월_남_90~99세,273,11,18,16,26,20,20,21,10,15,10,19,20,3,28,11,25
2020년09월_남_100세 이상,29,7,1,4,2,0,4,2,0,1,0,0,3,1,2,0,2
2020년09월_여_총인구수,"110,779","2,209","13,071","6,315","6,545","4,513","8,359","7,663","5,049","6,826","9,325","10,076","6,304","5,478","7,235","1,207","10,604"
2020년09월_여_연령구간인구수,"110,779","2,209","13,071","6,315","6,545","4,513","8,359","7,663","5,049","6,826","9,325","10,076","6,304","5,478","7,235","1,207","10,604"
2020년09월_여_0~9세,"7,392",56,"1,377",457,398,152,469,693,185,406,495,555,430,279,433,41,966
2020년09월_여_10~19세,"9,735",68,"1,605",426,492,198,783,670,432,581,886,753,473,409,604,72,"1,283"
2020년09월_여_20~29세,"14,218",174,"1,263",695,747,354,"1,260",875,"1,205",906,"1,414","1,904",686,955,722,86,972
2020년09월_여_30~39세,"11,983",161,"1,640",797,726,317,788,"1,022",420,667,869,"1,316",723,584,685,63,"1,205"
2020년09월_여_40~49세,"16,230",195,"2,433",863,902,450,"1,230","1,171",536,919,"1,404","1,478",870,737,"1,041",122,"1,879"
2020년09월_여_50~59세,"17,997",359,"1,850","1,027","1,155",787,"1,470","1,217",764,"1,143","1,641","1,641","1,080",923,"1,243",200,"1,497"
2020년09월_여_60~69세,"16,537",518,"1,525","1,044","1,020",964,"1,246",977,760,"1,089","1,382","1,343","1,011",818,"1,220",248,"1,372"
2020년09월_여_70~79세,"10,508",422,897,648,672,755,707,647,489,722,805,728,658,498,826,177,857
2020년09월_여_80~89세,"5,264",217,398,289,383,469,351,329,223,342,373,302,307,227,395,173,486
2020년09월_여_90~99세,848,34,76,61,48,65,52,54,30,47,56,53,59,47,62,23,81
2020년09월_여_100세 이상,67,5,7,8,2,2,3,8,5,4,0,3,7,1,4,2,6
