,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년08월_계_80~89세,"15,417",848,662,417,591,396,391,652,651,504,358,929,410,549,980,"1,551","1,013",548,650,"1,113",784,925,495
2021년08월_계_90~99세,"1,830",79,61,37,69,42,47,67,60,50,38,112,56,84,110,190,140,80,95,138,85,110,80
2021년08월_계_100세 이상,59,6,7,0,2,1,1,3,1,2,1,2,2,8,2,4,6,2,1,2,3,3,0
2021년08월_남_총인구수,"270,975","11,427","7,068","4,082","13,192","6,781","8,556","15,648","14,679","11,725","8,404","16,433","10,697","21,320","7,735","37,532","18,388","9,949","5,372","17,368","9,619","8,751","6,249"
2021년08월_남_연령구간인구수,"270,975","11,427","7,068","4,082","13,192","6,781","8,556","15,648","14,679","11,725","8,404","16,433","10,697","21,320","7,735","37,532","18,388","9,949","5,372","17,368","9,619","8,751","6,249"
2021년08월_남_0~9세,"19,426",736,290,198,972,283,667,988,898,670,439,719,"1,052","2,431",314,"4,407","1,408",590,172,"1,120",421,354,297
2021년08월_남_10~19세,"27,621",934,343,283,"1,146",483,830,"1,817","1,494","1,212",685,"1,170","1,045","4,231",567,"4,365","2,469",775,300,"1,758",650,589,475
2021년08월_남_20~29세,"40,890","1,421","1,100",648,"2,018","1,181","1,294","2,610","2,534","2,168","1,347","3,684","1,332","2,355",971,"4,792","2,802","1,762",640,"2,623","1,443","1,278",887
2021년08월_남_30~39세,"33,495","1,388",965,489,"1,885",961,"1,128","1,696","1,779","1,379","1,183","2,237","1,505","1,893",672,"5,288","1,842","1,602",556,"1,953","1,231","1,051",812
2021년08월_남_40~49세,"42,023","1,811",984,559,"1,943",943,"1,306","2,333","2,088","1,665","1,134","2,283","1,968","4,786","1,118","6,636","2,742","1,264",643,"2,320","1,375","1,181",941
2021년08월_남_50~59세,"49,120","2,051","1,295",706,"2,381","1,274","1,621","3,297","3,083","2,495","1,613","3,202","1,821","3,395","1,482","5,644","3,280","1,730",989,"3,224","1,773","1,588","1,176"
2021년08월_남_60~69세,"37,099","1,842","1,191",652,"1,853","1,085","1,082","1,903","1,930","1,468","1,418","2,031","1,297","1,415","1,492","4,112","2,480","1,474","1,245","2,912","1,588","1,575","1,054"
2021년08월_남_70~79세,"15,600",937,647,373,753,424,488,750,626,481,448,800,513,599,795,"1,695",969,555,641,"1,048",825,781,452
2021년08월_남_80~89세,"5,287",297,243,165,225,133,129,238,233,177,129,285,152,193,299,547,362,179,165,376,296,328,136
2021년08월_남_90~99세,406,10,9,9,15,14,11,15,14,10,8,22,10,21,25,45,34,18,21,34,17,25,19
2021년08월_남_100세 이상,8,0,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0
2021년08월_여_총인구수,"278,519","12,082","7,395","4,314","13,879","6,948","8,775","15,563","14,417","11,607","8,172","15,507","10,965","22,131","8,395","38,879","19,183","10,173","5,822","18,470","9,881","9,546","6,415"
2021년08월_여_연령구간인구수,"278,519","12,082","7,395","4,314","13,879","6,948","8,775","15,563","14,417","11,607","8,172","15,507","10,965","22,131","8,395","38,879","19,183","10,173","5,822","18,470","9,881","9,546","6,415"
2021년08월_여_0~9세,"18,460",804,257,164,"1,034",305,618,912,815,584,402,641,"1,081","2,334",239,"4,174","1,354",525,155,"1,032",397,348,285
2021년08월_여_10~19세,"25,699","1,058",347,260,"1,070",449,772,"1,588","1,318","1,167",635,"1,111","1,130","4,091",531,"3,959","2,030",654,260,"1,640",605,593,431
2021년08월_여_20~29세,"35,935","1,369","1,217",645,"2,062","1,083","1,122","2,265","2,079","1,852","1,119","3,186","1,170","1,935",774,"4,188","2,231","1,645",480,"2,243","1,389","1,167",714
2021년08월_여_30~39세,"30,340","1,276",873,427,"1,769",736,"1,026","1,538","1,484","1,159",895,"1,486","1,438","2,357",544,"5,519","1,886","1,246",436,"1,790",959,860,636
2021년08월_여_40~49세,"44,596","1,697",792,522,"2,048",945,"1,403","2,674","2,334","1,912","1,165","2,126","1,989","5,754","1,049","7,025","3,346","1,311",557,"2,664","1,272","1,141",870
2021년08월_여_50~59세,"52,652","2,055","1,238",767,"2,649","1,423","1,743","3,417","3,342","2,641","1,834","3,100","1,886","2,867","1,482","6,312","3,733","2,065","1,152","3,952","1,919","1,785","1,290"
2021년08월_여_60~69세,"39,933","2,064","1,337",743,"1,981","1,180","1,225","1,882","1,794","1,306","1,364","2,047","1,416","1,611","1,740","4,515","2,683","1,609","1,465","3,072","1,828","1,909","1,162"
2021년08월_여_70~79세,"19,299","1,133",857,506,845,535,567,819,786,617,498,"1,074",551,756,"1,268","2,035","1,157",685,757,"1,234",953,"1,059",607
2021년08월_여_80~89세,"10,130",551,419,252,366,263,262,414,418,327,229,644,258,356,681,"1,004",651,369,485,737,488,597,359
2021년08월_여_90~99세,"1,424",69,52,28,54,28,36,52,46,40,30,90,46,63,85,145,106,62,74,104,68,85,61
2021년08월_여_100세 이상,51,6,6,0,1,1,1,2,1,2,1,2,0,7,2,3,6,2,1,2,3,2,0
