,부산광역시 부산진구,부산광역시 부산진구 부전제1동,부산광역시 부산진구 부전제2동,부산광역시 부산진구 연지동,부산광역시 부산진구 초읍동,부산광역시 부산진구 양정제1동,부산광역시 부산진구 양정제2동,부산광역시 부산진구 전포제1동,부산광역시 부산진구 전포제2동,부산광역시 부산진구 부암제1동,부산광역시 부산진구 부암제3동,부산광역시 부산진구 당감제1동,부산광역시 부산진구 당감제2동,부산광역시 부산진구 당감제4동,부산광역시 부산진구 가야제1동,부산광역시 부산진구 가야제2동,부산광역시 부산진구 개금제1동,부산광역시 부산진구 개금제2동,부산광역시 부산진구 개금제3동,부산광역시 부산진구 범천제1동,부산광역시 부산진구 범천제2동
2020년08월_남_총인구수,"173,014","7,818","5,045","9,777","10,909","9,774","6,001","8,622","10,085","11,092","8,973","11,556","4,982","5,848","10,067","8,348","8,248","5,650","14,428","5,740","10,051"
2020년08월_남_연령구간인구수,"173,014","7,818","5,045","9,777","10,909","9,774","6,001","8,622","10,085","11,092","8,973","11,556","4,982","5,848","10,067","8,348","8,248","5,650","14,428","5,740","10,051"
2020년08월_남_0~9세,"10,912",316,343,733,697,619,294,438,562,"1,003",601,615,394,394,480,537,643,325,"1,002",251,665
2020년08월_남_10~19세,"12,903",309,242,937,865,806,299,503,628,948,"1,020","1,053",356,491,665,726,492,458,"1,286",251,568
2020년08월_남_20~29세,"25,711","1,503",975,"1,108","1,239","1,469","1,185","1,824","1,590","1,271","1,147","1,620",625,697,"1,747","1,139","1,476",861,"1,984","1,054","1,197"
2020년08월_남_30~39세,"24,302","1,328",955,"1,197","1,307","1,240","1,107","1,605","1,533","1,483",922,"1,263",852,690,"1,279",968,"1,413",662,"1,740","1,110","1,648"
2020년08월_남_40~49세,"26,014",955,787,"1,602","1,586","1,502",900,"1,215","1,489","1,911","1,432","1,727",756,922,"1,487","1,192","1,275",800,"2,150",814,"1,512"
2020년08월_남_50~59세,"28,439","1,384",755,"1,496","1,771","1,716",851,"1,157","1,492","1,801","1,713","2,162",728,"1,146","1,694","1,384","1,247",976,"2,550",885,"1,531"
2020년08월_남_60~69세,"25,838","1,206",635,"1,494","1,834","1,404",756,"1,010","1,498","1,523","1,268","1,883",704,894,"1,578","1,349",974,894,"2,384",807,"1,743"
2020년08월_남_70~79세,"13,939",610,263,873,"1,195",714,439,613,922,891,662,901,420,466,862,796,554,503,972,408,875
2020년08월_남_80~89세,"4,554",188,77,309,390,279,155,233,349,230,191,301,136,139,259,231,164,159,340,143,281
2020년08월_남_90~99세,354,16,13,26,24,21,11,21,18,24,14,30,10,7,16,23,10,11,19,15,25
2020년08월_남_100세 이상,48,3,0,2,1,4,4,3,4,7,3,1,1,2,0,3,0,1,1,2,6
2020년08월_여_총인구수,"184,754","7,751","5,066","10,875","11,548","10,774","7,069","9,467","11,318","11,656","9,216","12,595","5,368","6,082","10,120","8,753","9,027","5,884","15,341","6,286","10,558"
2020년08월_여_연령구간인구수,"184,754","7,751","5,066","10,875","11,548","10,774","7,069","9,467","11,318","11,656","9,216","12,595","5,368","6,082","10,120","8,753","9,027","5,884","15,341","6,286","10,558"
2020년08월_여_0~9세,"10,589",329,305,736,629,623,286,462,498,960,579,640,381,353,494,522,626,359,917,260,630
2020년08월_여_10~19세,"12,351",268,253,927,712,784,339,500,591,904,959,"1,018",355,499,611,653,517,430,"1,298",244,489
2020년08월_여_20~29세,"26,499","1,731","1,020",989,"1,101","1,456","1,748","2,252","1,841","1,214",942,"1,360",628,616,"1,510","1,003","1,882",753,"1,770","1,377","1,306"
2020년08월_여_30~39세,"23,320","1,123",830,"1,142","1,195","1,263","1,192","1,535","1,583","1,551",895,"1,157",819,689,"1,063",955,"1,398",558,"1,737","1,093","1,542"
2020년08월_여_40~49세,"25,513",823,713,"1,727","1,561","1,548",900,"1,179","1,536","1,840","1,511","1,856",744,900,"1,286","1,198","1,175",813,"2,187",764,"1,252"
2020년08월_여_50~59세,"30,286","1,159",808,"1,775","1,930","1,916",843,"1,131","1,639","1,926","1,738","2,376",818,"1,164","1,773","1,530","1,305",991,"2,949",839,"1,676"
2020년08월_여_60~69세,"29,047","1,185",649,"1,832","2,214","1,598",866,"1,123","1,799","1,651","1,401","2,164",865,970,"1,777","1,578","1,154","1,014","2,502",864,"1,841"
2020년08월_여_70~79세,"17,756",731,307,"1,158","1,468","1,005",584,815,"1,225","1,090",798,"1,261",501,579,"1,113",895,645,645,"1,215",530,"1,191"
2020년08월_여_80~89세,"8,065",338,141,513,642,507,263,385,523,436,337,646,225,268,424,355,283,291,666,271,551
2020년08월_여_90~99세,"1,148",53,33,72,84,66,44,72,74,60,48,106,26,38,61,55,39,28,92,37,60
2020년08월_여_100세 이상,180,11,7,4,12,8,4,13,9,24,8,11,6,6,8,9,3,2,8,7,20
