카테고리,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년06월_남_100세 이상,"1,113",78,21,26,22,9,130,61,48,21,46,51,26,25,59,37,72,18,28,14,14,84,54,19,11,9,24,62,14,27,23,16,34,35,12,16,7,59,19,12,19,33,23,10,27,17,15,18,14
2020년06월_여_총인구수,"6,626,973","591,674","136,959","183,605","87,067","184,043","474,441","115,929","107,828","250,684","231,104","281,877","120,715","161,162","415,718","158,349","253,698","47,192","318,973","171,309","147,664","549,333","239,428","153,612","156,293","31,184","99,958","355,046","110,162","229,526","139,002","82,142","140,944","540,180","124,803","223,008","192,369","224,551","105,463","89,858","223,898","402,768","184,293","111,258","69,782","54,759","20,767","30,420","58,653"
2020년06월_여_연령구간인구수,"6,626,973","591,674","136,959","183,605","87,067","184,043","474,441","115,929","107,828","250,684","231,104","281,877","120,715","161,162","415,718","158,349","253,698","47,192","318,973","171,309","147,664","549,333","239,428","153,612","156,293","31,184","99,958","355,046","110,162","229,526","139,002","82,142","140,944","540,180","124,803","223,008","192,369","224,551","105,463","89,858","223,898","402,768","184,293","111,258","69,782","54,759","20,767","30,420","58,653"
2020년06월_여_0~9세,"569,250","48,858","9,258","16,370","4,883","18,347","34,296","7,638","6,697","19,961","16,842","20,119","7,941","12,178","29,156","12,169","23,733","3,157","22,522","11,847","10,675","41,313","19,240","10,492","11,581","2,372","7,596","32,239","11,994","22,815","10,608","6,463","14,783","50,843","10,634","21,684","18,525","21,778","9,420","7,049","25,650","51,597","17,393","9,680","4,300","3,694","1,396","1,774","3,641"
2020년06월_여_10~19세,"650,153","58,269","14,026","16,331","6,999","20,913","43,400","8,514","8,308","26,578","20,828","26,038","9,337","16,701","35,203","15,516","25,556","4,366","31,950","17,106","14,844","51,985","20,490","14,565","16,930","3,045","8,972","37,662","12,106","23,978","13,247","7,248","11,913","59,809","12,395","24,888","22,526","23,363","11,050","8,818","22,468","46,330","16,341","11,681","6,013","4,680","1,503","2,250","4,565"
2020년06월_여_20~29세,"848,789","88,523","20,054","26,319","13,742","28,408","64,470","16,182","15,074","33,214","31,046","38,033","16,650","21,383","57,475","19,296","32,297","5,109","49,710","26,972","22,738","73,836","30,383","22,361","21,092","4,006","13,432","40,208","14,236","30,753","18,467","10,868","16,588","65,454","15,497","26,932","23,025","26,345","12,892","9,909","23,583","46,419","21,024","12,479","7,528","5,455","1,976","2,670","4,702"
2020년06월_여_30~39세,"929,554","87,670","16,074","28,528","11,453","31,615","67,982","16,156","14,616","37,210","29,306","38,262","15,974","22,288","57,837","21,811","35,895","5,021","39,385","20,321","19,064","72,215","33,413","19,823","18,979","4,178","13,345","46,209","18,229","34,346","18,912","11,086","24,076","75,211","16,230","31,347","27,634","31,081","14,319","10,562","36,468","72,528","28,008","13,341","6,668","5,612","1,866","2,717","5,408"
2020년06월_여_40~49세,"1,129,349","101,531","23,392","29,864","13,473","34,802","80,206","17,322","15,990","46,894","37,274","45,949","17,583","28,366","65,308","27,179","43,120","7,027","54,108","28,973","25,135","95,305","39,367","27,441","28,497","4,920","16,657","64,330","20,059","40,690","23,074","12,737","23,492","101,518","20,509","43,007","38,002","38,534","16,818","14,014","39,973","74,404","30,866","18,915","9,679","7,733","2,279","3,693","7,957"
2020년06월_여_50~59세,"1,092,491","98,247","24,676","31,684","15,097","26,790","78,086","19,880","19,488","38,718","40,261","50,801","22,422","28,379","76,688","26,203","40,439","7,743","61,716","33,185","28,531","97,962","41,215","28,273","28,474","5,525","18,243","56,345","15,695","39,645","24,706","15,348","20,773","79,319","20,593","32,155","26,571","33,699","16,889","14,620","31,448","51,821","30,718","17,759","13,289","9,557","3,357","5,386","10,203"
2020년06월_여_60~69세,"737,953","58,533","15,098","19,379","11,198","12,858","55,943","16,350","15,057","24,536","28,217","34,736","16,901","17,835","53,865","19,864","26,381","6,542","32,290","17,262","15,028","57,467","27,380","15,305","14,782","3,617","11,756","40,899","9,629","20,261","16,130","10,294","17,156","54,059","14,945","21,448","17,666","23,653","12,175","11,971","23,717","32,333","22,856","13,741","10,785","8,746","3,556","5,708","11,073"
2020년06월_여_70~79세,"412,715","30,989","8,711","9,368","6,572","6,338","31,273","9,131","8,177","13,965","17,257","17,057","8,718","8,339","24,723","10,185","15,860","5,100","16,225","9,318","6,907","35,252","17,139","8,875","9,238","2,032","6,416","23,854","5,335","10,249","8,201","4,788","7,770","35,272","8,496","14,246","12,530","15,892","6,965","7,324","13,238","16,693","11,100","8,634","6,723","5,386","2,771","3,611","6,540"
2020년06월_여_80~89세,"215,541","15,872","4,695","4,816","3,040","3,321","15,373","3,921","3,595","7,857","8,539","9,169","4,397","4,772","12,972","5,159","8,850","2,640","9,366","5,338","4,028","20,387","9,180","5,454","5,753","1,168","2,985","11,203","2,463","5,745","4,762","2,736","3,551","15,570","4,582","6,095","4,893","8,596","4,179","4,767","6,230","9,032","4,976","4,242","4,008","3,255","1,746","2,208","3,792"
2020년06월_여_90~99세,"38,126","2,952",908,879,543,622,"3,070",695,696,"1,679","1,369","1,590",736,854,"2,308",862,"1,402",424,"1,608",937,671,"3,374","1,469",982,923,278,502,"1,946",382,975,844,537,755,"2,967",864,"1,154",949,"1,478",710,780,"1,073","1,539",937,730,744,611,286,375,718
2020년06월_여_100세 이상,"3,052",230,67,67,67,29,342,140,130,72,165,123,56,67,183,105,165,63,93,50,43,237,152,41,44,43,54,151,34,69,51,37,87,158,58,52,48,132,46,44,50,72,74,56,45,30,31,28,54
