,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년12월_남_70~79세,"11,187",737,844,597,697,495,"1,617",764,733,415,322,692,404,792,607,397,625,449
2021년12월_남_80~89세,"3,917",311,303,215,278,168,593,193,208,122,119,229,158,240,207,167,214,192
2021년12월_남_90~99세,261,17,20,13,17,13,55,9,14,15,5,15,6,15,9,12,14,12
2021년12월_남_100세 이상,5,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"134,114","7,819","16,729","6,315","8,848","7,986","23,027","8,610","6,313","4,435","4,097","6,347","3,450","6,497","6,967","4,351","8,066","4,257"
2021년12월_여_연령구간인구수,"134,114","7,819","16,729","6,315","8,848","7,986","23,027","8,610","6,313","4,435","4,097","6,347","3,450","6,497","6,967","4,351","8,066","4,257"
2021년12월_여_0~9세,"8,145",242,"1,232",497,488,857,"1,614",664,239,218,235,277,134,252,321,166,561,148
2021년12월_여_10~19세,"10,922",450,"1,539",401,666,775,"2,473",854,416,322,367,426,209,419,562,178,639,226
2021년12월_여_20~29세,"16,180","1,599","3,199",562,"1,470",800,"2,211",724,604,431,435,584,280,540,758,687,860,436
2021년12월_여_30~39세,"13,690",768,"1,990",804,974,"1,050","2,048",841,478,472,374,561,274,543,601,603,963,346
2021년12월_여_40~49세,"20,158",936,"2,852",872,"1,290","1,435","3,997","1,418",780,637,614,822,462,807,"1,008",523,"1,208",497
2021년12월_여_50~59세,"21,525","1,113","2,418",939,"1,285","1,184","4,127","1,369","1,082",703,742,"1,061",521,"1,024","1,254",589,"1,344",770
2021년12월_여_60~69세,"22,395","1,325","1,935","1,105","1,350","1,034","3,470","1,497","1,413",919,690,"1,340",756,"1,477","1,227",712,"1,291",854
2021년12월_여_70~79세,"13,949",952,"1,007",751,900,577,"2,015",828,870,502,439,851,552,936,817,529,788,635
2021년12월_여_80~89세,"6,195",383,462,342,370,233,914,344,377,202,170,382,235,417,371,322,363,308
2021년12월_여_90~99세,930,48,92,40,55,39,155,71,52,27,30,43,26,80,48,40,49,35
2021년12월_여_100세 이상,25,3,3,2,0,2,3,0,2,2,1,0,1,2,0,2,0,2
