,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년10월_남_연령구간인구수,"202,574","8,116","7,588","7,812","9,844","11,175","5,474","10,389","8,307","5,791","6,892","11,436","5,260","5,507","7,900","6,071","6,895","10,459","8,885","5,162","8,324","14,924","14,263","16,100"
2021년10월_남_0~9세,"14,863",820,520,932,872,921,243,710,548,515,403,"1,027",255,375,501,469,427,492,521,172,625,"1,102","1,190","1,223"
2021년10월_남_10~19세,"26,106","1,062",926,977,"2,409","1,243",608,"2,493",997,865,671,"2,011",411,378,649,535,573,977,896,295,991,"2,291","1,725","2,123"
2021년10월_남_20~29세,"28,611",998,"1,125","1,070","1,049","1,583",954,"1,475","1,100",645,"1,046","1,446",834,728,"1,032",650,"1,130","1,700","1,299",688,"1,141","2,271","2,176","2,471"
2021년10월_남_30~39세,"20,689",854,952,887,558,"1,148",651,586,748,481,695,837,695,749,997,732,957,"1,169",937,476,900,"1,341","1,671","1,668"
2021년10월_남_40~49세,"32,170","1,458","1,209","1,513","2,197","1,645",715,"1,870","1,358","1,085",889,"2,051",839,903,"1,154",905,"1,073","1,369","1,225",610,"1,279","2,359","2,117","2,347"
2021년10월_남_50~59세,"36,104","1,376","1,319","1,336","1,616","1,975","1,013","1,815","1,511","1,001","1,350","2,126",942,969,"1,352",961,"1,309","1,870","1,618",945,"1,437","2,730","2,426","3,107"
2021년10월_남_60~69세,"25,528",853,879,646,635,"1,472",732,818,"1,038",658,"1,022","1,178",682,792,"1,265",962,892,"1,634","1,396","1,134","1,248","1,788","1,808","1,996"
2021년10월_남_70~79세,"12,641",445,462,317,355,785,384,425,644,373,537,523,419,421,671,626,372,856,665,589,533,700,770,769
2021년10월_남_80~89세,"5,388",230,186,119,140,370,164,178,340,157,249,218,169,179,258,211,149,359,299,231,159,316,339,368
2021년10월_남_90~99세,460,19,10,15,11,33,10,19,23,11,30,18,14,13,21,20,12,32,29,21,9,24,39,27
2021년10월_남_100세 이상,14,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2,2,2,1
2021년10월_여_총인구수,"216,259","8,928","8,026","8,461","10,207","11,710","5,553","9,469","9,753","6,145","7,903","12,476","5,692","5,512","8,416","6,564","7,214","11,541","9,955","6,213","8,885","15,907","14,435","17,294"
2021년10월_여_연령구간인구수,"216,259","8,928","8,026","8,461","10,207","11,710","5,553","9,469","9,753","6,145","7,903","12,476","5,692","5,512","8,416","6,564","7,214","11,541","9,955","6,213","8,885","15,907","14,435","17,294"
2021년10월_여_0~9세,"13,968",828,496,937,761,813,246,545,617,474,393,977,262,327,443,485,423,421,496,170,626,"1,020","1,097","1,111"
2021년10월_여_10~19세,"23,465","1,134",858,"1,060","2,099","1,143",456,"1,338","1,153",832,715,"1,995",407,329,609,429,541,771,865,302,872,"2,219","1,457","1,881"
2021년10월_여_20~29세,"24,748",943,"1,088",968,890,"1,301",832,987,993,604,967,"1,226",888,667,949,530,"1,006","1,462","1,157",577,940,"1,934","1,690","2,149"
2021년10월_여_30~39세,"21,419","1,054","1,025","1,114",741,"1,170",512,707,790,562,723,"1,013",660,678,905,728,956,"1,050",918,429,900,"1,440","1,646","1,698"
2021년10월_여_40~49세,"38,307","1,674","1,433","1,710","2,778","1,917",847,"2,446","1,642","1,227","1,182","2,635",874,864,"1,269",955,"1,157","1,599","1,512",632,"1,518","2,997","2,453","2,986"
2021년10월_여_50~59세,"38,710","1,443","1,363","1,315","1,408","2,122","1,056","1,668","1,677",894,"1,556","2,136",945,926,"1,437","1,094","1,425","2,261","1,949","1,139","1,687","3,039","2,628","3,542"
2021년10월_여_60~69세,"28,497",874,936,692,772,"1,640",831,897,"1,278",784,"1,179","1,356",833,883,"1,431","1,222",962,"1,968","1,633","1,314","1,393","1,797","1,840","1,982"
2021년10월_여_70~79세,"16,423",623,526,424,469,969,456,568,970,493,695,677,554,529,831,699,466,"1,212",819,955,578,855,956,"1,099"
2021년10월_여_80~89세,"9,173",307,256,209,245,551,277,271,539,241,432,383,236,264,440,354,236,681,529,600,312,525,558,727
2021년10월_여_90~99세,"1,497",42,43,30,44,80,39,41,91,33,60,73,33,44,102,63,40,113,77,92,57,79,103,118
2021년10월_여_100세 이상,52,6,2,2,0,4,1,1,3,1,1,5,0,1,0,5,2,3,0,3,2,2,7,1
