,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년08월_남_100세 이상,27,2,0,0,0,0,0,1,0,1,1,1,0,0,8,1,10,0,0,0,1,1,0,0
2021년08월_여_총인구수,"266,209","13,541","21,161","9,644","12,768","5,072","1,652","14,231","3,056","2,435","21,423","12,480","9,768","5,769","10,986","3,371","2,793","11,001","5,050","1,963","43,860","27,161","12,350","14,674"
2021년08월_여_연령구간인구수,"266,209","13,541","21,161","9,644","12,768","5,072","1,652","14,231","3,056","2,435","21,423","12,480","9,768","5,769","10,986","3,371","2,793","11,001","5,050","1,963","43,860","27,161","12,350","14,674"
2021년08월_여_0~9세,"24,356",778,"1,897",899,"1,911",233,58,"1,792",125,61,"1,397",628,"1,159",340,773,283,66,468,268,63,"5,549","2,739","1,611","1,258"
2021년08월_여_10~19세,"26,114",881,"2,835",899,"1,590",383,87,"1,098",235,130,"2,304","1,078",940,460,"1,055",231,123,799,301,98,"4,680","2,951","1,534","1,422"
2021년08월_여_20~29세,"34,410","1,396","2,721","1,133","1,069",558,131,"2,013",283,175,"3,213","1,674","1,209","1,047","1,323",457,319,"1,867",696,268,"5,607","3,468","1,700","2,083"
2021년08월_여_30~39세,"37,889","1,367","2,492","1,266","2,249",474,142,"2,864",226,139,"2,299","1,308","1,657",892,"1,266",544,262,"1,223",580,160,"8,271","3,953","2,199","2,056"
2021년08월_여_40~49세,"44,620","1,828","4,091","1,603","2,457",669,157,"2,118",347,217,"3,647","1,913","1,684",883,"1,767",501,298,"1,592",719,232,"8,243","4,855","2,497","2,302"
2021년08월_여_50~59세,"42,235","2,247","3,220","1,427","1,320",955,287,"2,032",535,397,"4,019","2,358","1,577",893,"2,007",507,455,"2,045",867,360,"5,975","4,485","1,552","2,715"
2021년08월_여_60~69세,"29,538","2,351","2,000","1,232","1,140",891,345,"1,292",583,549,"2,422","1,807",875,617,"1,461",387,548,"1,581",806,401,"3,278","2,651",772,"1,549"
2021년08월_여_70~79세,"16,015","1,545","1,108",667,552,532,246,590,377,409,"1,284","1,057",384,416,807,281,414,885,503,251,"1,384","1,259",290,774
2021년08월_여_80~89세,"9,452",996,679,428,390,327,175,355,303,303,734,580,231,192,437,151,244,476,268,111,756,698,167,451
2021년08월_여_90~99세,"1,512",145,114,86,86,48,24,76,42,53,100,75,51,27,84,29,50,62,41,19,113,96,28,63
2021년08월_여_100세 이상,68,7,4,4,4,2,0,1,0,2,4,2,1,2,6,0,14,3,1,0,4,6,0,1
