,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동
2021년05월_남_총인구수,"273,106","23,167","20,929","15,705","24,296","15,364","14,156","3,452","4,888","11,630","6,918","7,050","15,919","6,513","9,852","8,411","5,517","17,035","11,531","12,459","14,027","12,911","11,376"
2021년05월_남_연령구간인구수,"273,106","23,167","20,929","15,705","24,296","15,364","14,156","3,452","4,888","11,630","6,918","7,050","15,919","6,513","9,852","8,411","5,517","17,035","11,531","12,459","14,027","12,911","11,376"
2021년05월_남_0~9세,"25,019","2,310","1,163","2,017","3,415","2,405","1,719",162,209,604,328,327,"1,368",321,701,337,376,"1,358",951,"1,283","1,447","1,153","1,065"
2021년05월_남_10~19세,"28,817","2,322","1,785","2,195","3,309","2,001","1,116",201,384,821,490,583,"1,450",451,949,638,426,"1,750","1,432","1,827","1,688","1,395","1,604"
2021년05월_남_20~29세,"37,242","3,288","3,528","1,917","2,854","1,669","1,721",587,805,"1,728",973,"1,126","2,175",925,"1,510","1,238",648,"2,485","1,532","1,440","1,887","1,634","1,572"
2021년05월_남_30~39세,"39,891","4,167","2,650","2,822","3,766","2,629","2,382",495,679,"1,661",852,880,"2,220",904,"1,287","1,003",865,"2,497","1,277","1,566","2,211","1,705","1,373"
2021년05월_남_40~49세,"48,447","4,429","3,138","3,175","5,005","3,211","2,427",454,661,"1,749","1,015","1,049","2,541","1,033","1,408","1,174",837,"3,011","2,210","2,758","2,701","2,320","2,141"
2021년05월_남_50~59세,"47,332","3,493","4,336","2,166","3,370","1,987","2,278",804,"1,040","2,318","1,384","1,439","2,907","1,363","1,846","1,667",989,"3,069","2,165","2,110","2,339","2,303","1,959"
2021년05월_남_60~69세,"31,120","2,095","2,895","1,017","1,858","1,119","1,723",569,816,"1,848","1,214","1,099","2,269",999,"1,477","1,493",943,"1,903","1,113",867,"1,160","1,596","1,047"
2021년05월_남_70~79세,"11,385",817,977,287,547,279,616,139,215,720,513,421,792,386,502,633,330,728,580,438,400,607,458
2021년05월_남_80~89세,"3,492",225,407,105,158,56,158,33,71,158,133,118,184,119,152,205,89,219,250,157,173,180,142
2021년05월_남_90~99세,338,19,46,4,14,7,15,5,5,21,16,8,13,10,19,23,14,14,20,13,20,17,15
2021년05월_남_100세 이상,23,2,4,0,0,1,1,3,3,2,0,0,0,2,1,0,0,1,1,0,1,1,0
2021년05월_여_총인구수,"267,684","22,410","20,132","15,816","24,567","15,652","14,049","3,128","4,879","10,954","6,325","6,922","15,938","5,705","10,356","8,136","5,179","15,923","11,162","12,146","14,168","12,439","11,698"
2021년05월_여_연령구간인구수,"267,684","22,410","20,132","15,816","24,567","15,652","14,049","3,128","4,879","10,954","6,325","6,922","15,938","5,705","10,356","8,136","5,179","15,923","11,162","12,146","14,168","12,439","11,698"
2021년05월_여_0~9세,"23,363","2,137","1,139","1,790","3,134","2,314","1,514",169,228,563,318,243,"1,320",293,645,321,390,"1,242",893,"1,171","1,407","1,140",992
2021년05월_여_10~19세,"27,435","2,108","1,670","2,196","3,131","1,933","1,023",189,356,750,421,622,"1,506",418,928,590,354,"1,681","1,343","1,718","1,592","1,289","1,617"
2021년05월_여_20~29세,"34,535","3,109","2,965","2,033","2,813","1,693","1,716",450,749,"1,455",734,973,"2,021",792,"1,364","1,109",638,"2,211","1,297","1,332","1,925","1,564","1,592"
2021년05월_여_30~39세,"38,134","3,954","2,259","2,847","4,270","2,971","2,400",420,526,"1,278",664,661,"2,149",652,"1,243",806,764,"2,068","1,222","1,659","2,236","1,658","1,427"
2021년05월_여_40~49세,"46,438","4,055","2,985","3,323","5,109","3,171","2,159",345,631,"1,438",855,968,"2,420",788,"1,578","1,076",724,"2,791","2,189","2,765","2,724","2,135","2,209"
2021년05월_여_50~59세,"46,103","3,478","4,260","2,005","3,352","2,023","2,336",786,"1,179","2,324","1,315","1,469","2,994","1,138","2,084","1,675",945,"2,786","1,879","1,667","2,269","2,191","1,948"
2021년05월_여_60~69세,"29,959","2,120","2,651",990,"1,792","1,028","1,736",487,719,"1,837","1,148","1,113","2,224",886,"1,511","1,440",799,"1,768","1,170",975,"1,169","1,351","1,045"
2021년05월_여_70~79세,"13,195",930,"1,281",389,592,315,708,146,281,805,547,527,830,472,573,660,316,845,738,543,526,645,526
2021년05월_여_80~89세,"7,078",426,760,205,302,162,369,102,182,425,269,296,384,237,353,381,206,450,386,258,272,370,283
2021년05월_여_90~99세,"1,392",91,153,37,67,42,85,31,28,77,52,48,87,28,75,75,41,77,43,55,48,93,59
2021년05월_여_100세 이상,52,2,9,1,5,0,3,3,0,2,2,2,3,1,2,3,2,4,2,3,0,3,0
