,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 진월동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년07월_남_총인구수,"102,933","3,254","3,219","4,255","6,394","13,489","2,698","3,669","4,425","3,223","5,816","3,154","10,453","4,046","13,783","7,747","10,170","3,138"
2021년07월_남_연령구간인구수,"102,933","3,254","3,219","4,255","6,394","13,489","2,698","3,669","4,425","3,223","5,816","3,154","10,453","4,046","13,783","7,747","10,170","3,138"
2021년07월_남_0~9세,"8,664",218,264,234,422,"1,415",133,177,159,125,481,249,839,229,"1,047",823,"1,624",225
2021년07월_남_10~19세,"11,295",375,322,389,650,"2,448",153,206,314,182,552,208,"1,138",283,"1,916",889,"1,083",187
2021년07월_남_20~29세,"14,206",401,432,616,995,"1,698",354,468,625,475,755,437,"1,576",591,"2,201","1,023","1,256",303
2021년07월_남_30~39세,"12,494",319,392,454,790,"1,219",331,424,591,423,700,466,"1,295",486,"1,356","1,100","1,826",322
2021년07월_남_40~49세,"16,738",500,533,611,992,"2,494",418,589,655,467,914,489,"1,672",565,"2,207","1,361","1,821",450
2021년07월_남_50~59세,"15,567",493,484,672,958,"1,982",463,638,739,559,884,472,"1,652",651,"2,233",962,"1,218",507
2021년07월_남_60~69세,"13,123",426,396,627,866,"1,316",412,556,742,585,833,422,"1,343",673,"1,525",910,874,617
2021년07월_남_70~79세,"7,776",365,288,471,487,628,311,443,446,305,474,298,707,422,909,512,357,353
2021년07월_남_80~89세,"2,821",140,97,165,210,263,114,154,140,96,200,108,223,134,359,150,103,165
2021년07월_남_90~99세,243,15,9,16,24,26,9,14,14,6,23,5,7,12,30,17,8,8
2021년07월_남_100세 이상,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2021년07월_여_총인구수,"111,178","3,831","3,540","4,764","7,200","15,288","2,535","3,490","4,179","3,236","6,477","3,260","11,174","4,107","15,665","8,424","10,796","3,212"
2021년07월_여_연령구간인구수,"111,178","3,831","3,540","4,764","7,200","15,288","2,535","3,490","4,179","3,236","6,477","3,260","11,174","4,107","15,665","8,424","10,796","3,212"
2021년07월_여_0~9세,"8,368",219,258,228,390,"1,430",133,172,164,121,452,222,799,242,"1,103",777,"1,481",177
2021년07월_여_10~19세,"11,314",373,334,371,639,"2,414",130,186,255,173,580,216,"1,087",286,"2,158",832,"1,065",215
2021년07월_여_20~29세,"13,423",406,403,598,965,"1,551",306,347,517,436,727,534,"1,564",489,"2,016","1,117","1,219",228
2021년07월_여_30~39세,"12,655",339,424,400,769,"1,530",283,350,445,324,713,439,"1,253",401,"1,582","1,167","1,966",270
2021년07월_여_40~49세,"17,244",528,542,622,"1,058","3,042",307,375,497,336,951,389,"1,737",533,"2,725","1,380","1,866",356
2021년07월_여_50~59세,"17,225",603,509,800,"1,156","2,310",388,535,706,601,"1,006",466,"1,910",722,"2,504","1,132","1,401",476
2021년07월_여_60~69세,"15,565",595,516,800,"1,078","1,644",427,609,803,651,"1,058",492,"1,500",757,"1,895","1,088","1,069",583
2021년07월_여_70~79세,"9,687",496,365,602,669,810,360,586,521,387,646,331,882,469,"1,078",596,426,463
2021년07월_여_80~89세,"4,754",230,164,290,398,452,177,276,235,177,279,141,365,181,511,270,235,373
2021년07월_여_90~99세,909,42,21,51,75,102,23,54,34,30,64,29,73,26,93,59,66,67
2021년07월_여_100세 이상,34,0,4,2,3,3,1,0,2,0,1,1,4,1,0,6,2,4
