,서울특별시 송파구,서울특별시 송파구 풍납1동,서울특별시 송파구 풍납2동,서울특별시 송파구 거여1동,서울특별시 송파구 거여2동,서울특별시 송파구 마천1동,서울특별시 송파구 마천2동,서울특별시 송파구 방이1동,서울특별시 송파구 방이2동,서울특별시 송파구 오륜동,서울특별시 송파구 오금동,서울특별시 송파구 송파1동,서울특별시 송파구 송파2동,서울특별시 송파구 석촌동,서울특별시 송파구 삼전동,서울특별시 송파구 가락본동,서울특별시 송파구 가락1동,서울특별시 송파구 가락2동,서울특별시 송파구 문정1동,서울특별시 송파구 문정2동,서울특별시 송파구 장지동,서울특별시 송파구 위례동,서울특별시 송파구 잠실본동,서울특별시 송파구 잠실2동,서울특별시 송파구 잠실3동,서울특별시 송파구 잠실4동,서울특별시 송파구 잠실6동,서울특별시 송파구 잠실7동
2021년05월_계_80~89세,"14,379",455,566,380,562,721,705,366,486,374,"1,021",494,408,643,551,584,331,658,409,690,670,356,515,485,719,366,450,414
2021년05월_계_90~99세,"2,478",63,83,54,105,95,102,65,71,95,204,77,80,93,107,87,70,108,73,115,145,96,75,66,132,68,82,67
2021년05월_계_100세 이상,112,1,2,3,5,2,3,6,3,1,13,0,5,7,7,3,3,6,5,6,5,5,5,2,4,1,5,4
2021년05월_남_총인구수,"317,981","6,570","11,967","6,446","9,347","9,850","9,749","7,642","12,309","8,967","18,844","11,397","9,352","15,252","14,599","13,191","13,281","16,069","10,047","13,461","14,315","15,704","13,320","16,998","16,518","10,264","7,989","4,533"
2021년05월_남_연령구간인구수,"317,981","6,570","11,967","6,446","9,347","9,850","9,749","7,642","12,309","8,967","18,844","11,397","9,352","15,252","14,599","13,191","13,281","16,069","10,047","13,461","14,315","15,704","13,320","16,998","16,518","10,264","7,989","4,533"
2021년05월_남_0~9세,"25,152",376,987,332,688,458,428,495,616,692,"1,427",609,785,779,761,796,"1,680","1,330",673,812,"1,152","2,571",613,"2,036","1,658","1,400",696,302
2021년05월_남_10~19세,"29,698",436,"1,004",491,807,811,682,837,668,"1,481","1,645",675,901,917,"1,042",951,"1,115","1,834",775,735,"1,388","2,131",868,"2,925","2,044","1,239",872,424
2021년05월_남_20~29세,"43,945",872,"1,694",977,"1,148","1,216","1,305","1,236","2,197","1,141","2,833","2,010","1,270","2,514","2,372","2,010","1,633","2,261","1,582","2,000","2,015","1,542","2,202","1,564","1,811",976,958,606
2021년05월_남_30~39세,"51,541",958,"1,983",912,"1,369","1,199","1,219","1,086","2,925",707,"2,729","2,592","1,340","3,326","3,185","2,386","2,352","2,298","1,805","3,415","2,355","2,482","2,986","1,523","1,792","1,201",974,442
2021년05월_남_40~49세,"51,907",934,"1,933",919,"1,451","1,435","1,427","1,181","1,810","1,430","2,672","1,621","1,473","2,395","2,444","1,896","2,123","2,677","1,402","2,101","2,317","3,290","2,139","3,981","2,864","2,112","1,291",589
2021년05월_남_50~59세,"49,219","1,122","1,773","1,160","1,600","1,905","1,869","1,256","1,692","1,550","3,162","1,547","1,523","2,261","2,093","2,267","1,873","2,552","1,544","1,715","2,215","1,878","1,926","2,681","2,572","1,449","1,222",812
2021년05월_남_60~69세,"40,416","1,131","1,571",958,"1,330","1,640","1,726",945,"1,459","1,200","2,721","1,402","1,272","1,828","1,657","1,859","1,654","1,990","1,466","1,493","1,835","1,158","1,580","1,331","2,192","1,146","1,185",687
2021년05월_남_70~79세,"19,830",549,780,529,734,900,788,455,721,591,"1,254",697,613,920,833,754,709,849,617,835,802,540,771,741,"1,244",581,567,456
2021년05월_남_80~89세,"5,661",171,223,153,203,258,293,133,198,150,355,220,161,285,189,244,126,249,165,313,213,103,210,205,310,145,190,196
2021년05월_남_90~99세,587,20,18,13,17,28,12,18,21,24,43,24,14,26,22,26,16,28,17,39,23,9,24,11,29,15,31,19
2021년05월_남_100세 이상,25,1,1,2,0,0,0,0,2,1,3,0,0,1,1,2,0,1,1,3,0,0,1,0,2,0,3,0
2021년05월_여_총인구수,"341,465","6,834","13,212","6,265","9,696","9,395","9,428","8,222","14,056","9,312","19,999","12,948","10,138","16,709","16,351","13,471","14,122","16,604","10,275","15,726","15,329","16,588","14,941","18,486","18,188","11,116","8,905","5,149"
2021년05월_여_연령구간인구수,"341,465","6,834","13,212","6,265","9,696","9,395","9,428","8,222","14,056","9,312","19,999","12,948","10,138","16,709","16,351","13,471","14,122","16,604","10,275","15,726","15,329","16,588","14,941","18,486","18,188","11,116","8,905","5,149"
2021년05월_여_0~9세,"23,680",290,917,288,640,429,437,527,532,578,"1,344",567,732,763,732,777,"1,441","1,205",620,825,"1,130","2,520",614,"1,945","1,534","1,305",718,270
2021년05월_여_10~19세,"28,339",414,"1,000",455,692,768,640,801,571,"1,211","1,435",689,929,931,930,885,"1,164","1,617",704,702,"1,303","2,135",855,"2,906","2,004","1,160",850,588
2021년05월_여_20~29세,"48,441",784,"2,156",864,"1,073","1,104","1,117","1,182","3,140","1,029","2,603","2,493","1,447","2,981","2,902","2,100","1,655","2,247","1,582","3,190","2,024","1,527","2,873","1,712","1,958","1,016","1,036",646
2021년05월_여_30~39세,"56,204",891,"2,197",814,"1,323",969,"1,013","1,156","3,151",981,"2,816","2,727","1,513","3,562","3,353","2,300","2,688","2,446","1,688","4,039","2,340","2,934","3,108","2,274","2,435","1,713","1,239",534
2021년05월_여_40~49세,"55,764",955,"2,083",912,"1,499","1,311","1,276","1,386","1,853","1,831","3,035","1,847","1,588","2,430","2,638","1,936","2,280","2,905","1,477","2,245","2,383","3,241","2,255","4,576","3,332","2,241","1,491",758
2021년05월_여_50~59세,"52,229","1,182","1,862","1,132","1,698","1,645","1,766","1,423","1,921","1,590","3,627","1,852","1,625","2,408","2,373","2,393","2,105","2,676","1,778","1,795","2,599","1,940","2,161","2,274","2,640","1,502","1,406",856
2021년05월_여_60~69세,"45,345","1,350","1,750","1,011","1,490","1,639","1,730","1,058","1,757","1,319","3,029","1,670","1,443","2,129","2,069","1,891","1,834","2,165","1,515","1,682","2,030","1,405","1,869","1,608","2,531","1,319","1,270",782
2021년05월_여_70~79세,"20,767",641,838,520,829,998,944,403,792,478,"1,273",776,543,"1,074",901,787,693,849,607,792,936,541,846,854,"1,240",585,582,445
2021년05월_여_80~89세,"8,718",284,343,227,359,463,412,233,288,224,666,274,247,358,362,340,205,409,244,377,457,253,305,280,409,221,260,218
2021년05월_여_90~99세,"1,891",43,65,41,88,67,90,47,50,71,161,53,66,67,85,61,54,80,56,76,122,87,51,55,103,53,51,48
2021년05월_여_100세 이상,87,0,1,1,5,2,3,6,1,0,10,0,5,6,6,1,3,5,4,3,5,5,4,2,2,1,2,4
