,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2021년02월_남_70~79세,"12,913",658,580,"1,059",904,650,429,752,420,575,592,597,611,781,813,743,"1,410",612,727
2021년02월_남_80~89세,"4,324",199,192,366,348,233,175,217,151,208,184,254,214,248,266,316,389,162,202
2021년02월_남_90~99세,512,31,26,40,41,35,15,25,14,26,30,31,27,26,34,19,51,15,26
2021년02월_남_100세 이상,62,1,3,5,6,10,2,4,9,1,3,0,6,1,0,2,1,5,3
2021년02월_여_총인구수,"221,137","10,830","11,608","16,501","16,140","14,572","6,186","16,627","8,399","11,788","10,239","11,287","9,111","10,735","10,859","12,895","22,997","11,156","9,207"
2021년02월_여_연령구간인구수,"221,137","10,830","11,608","16,501","16,140","14,572","6,186","16,627","8,399","11,788","10,239","11,287","9,111","10,735","10,859","12,895","22,997","11,156","9,207"
2021년02월_여_0~9세,"16,171",711,971,833,"1,398",997,261,"1,544",861,957,801,732,569,579,623,845,"1,880",638,971
2021년02월_여_10~19세,"22,148",937,918,"1,199","2,038","1,685",919,"1,695","1,422","1,450","1,059","1,471",610,808,958,"1,425","2,104",804,646
2021년02월_여_20~29세,"28,300","1,459","1,704","2,782","1,845","1,880",744,"2,270",686,"1,258","1,184","1,407","1,291","1,430","1,300","1,770","2,720","1,657",913
2021년02월_여_30~39세,"33,787","1,915","2,402","2,882","2,080","2,057",471,"2,930",932,"1,464","1,470","1,355","1,624","1,681","1,485","1,990","3,461","2,154","1,434"
2021년02월_여_40~49세,"40,923","1,978","2,093","2,686","3,435","2,950","1,277","3,311","2,013","2,518","1,949","2,206","1,496","1,652","1,738","2,364","3,945","1,816","1,496"
2021년02월_여_50~59세,"32,215","1,543","1,467","2,492","2,298","2,289","1,078","1,999",995,"1,752","1,514","1,717","1,322","1,715","1,854","1,858","3,299","1,696","1,327"
2021년02월_여_60~69세,"25,813","1,252","1,132","1,958","1,619","1,494",666,"1,597",723,"1,239","1,281","1,220","1,168","1,620","1,671","1,307","3,156","1,402","1,308"
2021년02월_여_70~79세,"14,692",685,673,"1,123",963,763,564,894,534,753,662,738,717,871,823,902,"1,608",691,728
2021년02월_여_80~89세,"5,592",285,183,437,367,357,168,301,169,305,245,359,260,295,327,358,647,218,311
2021년02월_여_90~99세,"1,319",63,49,96,83,90,28,71,47,77,70,74,48,71,76,66,171,75,64
2021년02월_여_100세 이상,177,2,16,13,14,10,10,15,17,15,4,8,6,13,4,10,6,5,9
