,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년08월_계_100세 이상,129,10,7,6,5,4,6,1,4,6,4,9,11,7,24,9,7,4,4,1
2021년08월_남_총인구수,"247,676","11,267","12,971","14,402","17,998","18,984","12,846","10,583","11,808","13,154","9,712","15,940","18,603","9,957","13,136","11,707","15,249","10,899","9,790","8,670"
2021년08월_남_연령구간인구수,"247,676","11,267","12,971","14,402","17,998","18,984","12,846","10,583","11,808","13,154","9,712","15,940","18,603","9,957","13,136","11,707","15,249","10,899","9,790","8,670"
2021년08월_남_0~9세,"16,127",583,839,"1,105","1,019","1,434",582,746,787,"1,033",559,972,"1,119",456,686,529,"1,183","1,192",644,659
2021년08월_남_10~19세,"26,555",873,"1,052","1,099","1,332","2,173","1,668","1,392","2,230","2,940","1,201","1,489","1,725",903,"1,103","1,019","1,535",977,"1,037",807
2021년08월_남_20~29세,"36,253","2,187","1,664","1,731","3,214","3,242","2,345","1,508","1,607","1,498","1,311","2,108","2,602","1,628","1,689","1,762","2,151","1,367","1,400","1,239"
2021년08월_남_30~39세,"31,554","1,430","1,556","2,264","2,642","2,551","1,339","1,199",864,855,953,"2,012","2,402","1,201","1,497","1,372","2,278","2,320","1,402","1,417"
2021년08월_남_40~49세,"39,460","1,706","2,111","2,300","2,721","2,965","1,779","1,810","2,095","2,769","1,595","2,724","2,654","1,431","1,905","1,727","2,449","1,880","1,515","1,324"
2021년08월_남_50~59세,"42,193","1,736","2,205","2,189","2,760","2,949","2,408","1,862","2,352","2,422","1,780","2,664","3,271","1,936","2,375","2,160","2,561","1,436","1,649","1,478"
2021년08월_남_60~69세,"32,652","1,529","2,014","2,108","2,580","2,208","1,700","1,231","1,202","1,054","1,262","2,170","2,952","1,473","2,156","1,789","1,849",997,"1,285","1,093"
2021년08월_남_70~79세,"16,225",879,"1,135","1,162","1,277","1,053",699,572,455,405,743,"1,224","1,323",675,"1,208",971,859,516,609,460
2021년08월_남_80~89세,"6,021",319,345,415,414,368,284,237,200,157,276,522,509,235,480,334,342,187,224,173
2021년08월_남_90~99세,614,24,49,29,38,40,42,26,16,18,32,55,43,18,28,44,42,26,24,20
2021년08월_남_100세 이상,22,1,1,0,1,1,0,0,0,3,0,0,3,1,9,0,0,1,1,0
2021년08월_여_총인구수,"266,374","10,520","13,950","15,742","18,939","20,009","13,954","11,641","12,408","13,892","10,430","18,749","19,828","10,144","13,319","12,411","17,698","11,799","10,891","10,050"
2021년08월_여_연령구간인구수,"266,374","10,520","13,950","15,742","18,939","20,009","13,954","11,641","12,408","13,892","10,430","18,749","19,828","10,144","13,319","12,411","17,698","11,799","10,891","10,050"
2021년08월_여_0~9세,"15,157",547,809,"1,043",953,"1,319",500,686,692,881,534,939,"1,078",478,656,509,"1,129","1,124",636,644
2021년08월_여_10~19세,"24,566",754,996,977,"1,264","2,033","1,322","1,323","2,191","2,665",987,"1,593","1,572",875,914,969,"1,408",968,961,794
2021년08월_여_20~29세,"34,799","1,546","1,454","1,768","3,333","3,350","2,066","1,471","1,510","1,410","1,211","2,072","2,565","1,579","1,492","1,596","2,315","1,367","1,309","1,385"
2021년08월_여_30~39세,"31,831","1,166","1,571","2,244","2,586","2,556","1,363","1,299",949,"1,132",949,"2,145","2,388","1,102","1,343","1,217","2,576","2,407","1,352","1,486"
2021년08월_여_40~49세,"43,486","1,614","2,055","2,233","2,588","3,345","2,244","2,092","2,768","3,596","1,780","2,870","2,912","1,486","1,880","1,784","2,881","1,923","1,836","1,599"
2021년08월_여_50~59세,"44,813","1,703","2,345","2,560","2,932","3,051","2,537","2,014","2,197","2,125","1,793","2,983","3,623","1,941","2,329","2,294","3,092","1,605","1,917","1,772"
2021년08월_여_60~69세,"37,537","1,619","2,470","2,599","2,983","2,445","1,995","1,413","1,096","1,122","1,420","2,790","3,183","1,500","2,307","2,012","2,309","1,319","1,574","1,381"
2021년08월_여_70~79세,"21,085","1,041","1,382","1,444","1,511","1,187","1,131",793,595,555,"1,144","2,057","1,579",737,"1,520","1,281","1,147",654,760,567
2021년08월_여_80~89세,"11,108",437,729,758,665,622,700,476,354,352,513,"1,124",767,366,755,630,683,370,451,356
2021년08월_여_90~99세,"1,885",84,133,110,120,98,90,73,52,51,95,167,153,74,108,110,151,59,92,65
2021년08월_여_100세 이상,107,9,6,6,4,3,6,1,4,3,4,9,8,6,15,9,7,3,3,1
