카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년02월_남_총인구수,"127,687","2,804","12,809","4,921","9,965","2,304","3,349","2,429","1,621","1,651","10,760","3,299","2,930","2,723","3,313","7,147","2,484","7,583","2,999","10,608","14,580","11,642","4,848",918
2020년02월_남_연령구간인구수,"127,687","2,804","12,809","4,921","9,965","2,304","3,349","2,429","1,621","1,651","10,760","3,299","2,930","2,723","3,313","7,147","2,484","7,583","2,999","10,608","14,580","11,642","4,848",918
2020년02월_남_0~9세,"8,578",88,683,188,508,124,164,51,32,38,"1,246",92,130,108,86,273,57,637,199,"1,370","1,430",695,344,35
2020년02월_남_10~19세,"11,413",117,"1,104",300,587,128,186,110,45,90,"1,281",200,190,185,205,482,104,971,191,"1,232","2,081","1,264",315,45
2020년02월_남_20~29세,"15,648",251,"1,497",509,"1,115",285,406,181,100,120,"1,283",307,306,330,382,"1,192",230,"1,074",310,"1,357","2,095","1,771",459,88
2020년02월_남_30~39세,"13,967",213,"1,051",432,"1,207",312,308,179,80,94,"1,519",258,315,306,342,817,194,796,283,"1,523","1,661","1,330",660,87
2020년02월_남_40~49세,"19,753",419,"1,864",632,"1,583",269,451,255,121,211,"1,909",463,411,391,463,"1,028",317,"1,292",429,"1,914","2,566","1,935",708,122
2020년02월_남_50~59세,"24,275",561,"2,715",935,"2,100",401,735,538,320,328,"1,724",726,582,491,637,"1,196",512,"1,412",567,"1,748","2,691","2,240",930,186
2020년02월_남_60~69세,"19,196",598,"2,104","1,000","1,693",405,632,563,482,362,"1,100",658,527,463,635,"1,160",543,830,526,995,"1,401","1,540",794,185
2020년02월_남_70~79세,"10,548",383,"1,262",613,849,253,332,371,308,285,508,407,333,325,402,750,359,394,349,345,489,652,451,128
2020년02월_남_80~89세,"3,963",160,493,289,296,120,122,165,120,118,180,166,125,117,148,231,152,164,130,111,154,197,170,35
2020년02월_남_90~99세,325,14,34,22,24,7,13,15,12,4,9,22,11,4,11,17,13,13,15,13,12,17,17,6
2020년02월_남_100세 이상,21,0,2,1,3,0,0,1,1,1,1,0,0,3,2,1,3,0,0,0,0,1,0,1
2020년02월_여_총인구수,"127,166","2,791","12,899","4,719","8,869","2,111","2,962","2,413","1,662","1,644","11,046","3,182","2,696","2,778","3,492","7,263","2,566","7,558","3,022","11,012","14,933","11,672","4,961",915
2020년02월_여_연령구간인구수,"127,166","2,791","12,899","4,719","8,869","2,111","2,962","2,413","1,662","1,644","11,046","3,182","2,696","2,778","3,492","7,263","2,566","7,558","3,022","11,012","14,933","11,672","4,961",915
2020년02월_여_0~9세,"8,197",75,629,188,520,121,139,51,26,31,"1,170",109,110,116,109,228,51,622,180,"1,310","1,351",698,327,36
2020년02월_여_10~19세,"10,386",105,"1,092",218,515,80,162,113,43,47,"1,240",176,176,149,171,455,118,841,159,"1,230","1,817","1,145",280,54
2020년02월_여_20~29세,"11,999",153,"1,098",294,752,180,213,128,61,86,"1,117",230,242,267,314,912,164,840,205,"1,109","1,727","1,397",430,80
2020년02월_여_30~39세,"12,335",145,918,294,857,200,210,96,68,81,"1,584",177,228,249,233,576,142,802,281,"1,589","1,786","1,179",578,62
2020년02월_여_40~49세,"17,993",233,"1,700",460,"1,009",146,311,194,89,132,"1,945",322,293,303,350,897,233,"1,379",355,"1,970","2,984","1,993",588,107
2020년02월_여_50~59세,"22,771",486,"2,466",823,"1,753",277,601,408,308,261,"1,745",586,488,470,609,"1,301",403,"1,328",497,"1,914","2,699","2,324",870,154
2020년02월_여_60~69세,"19,996",630,"2,172","1,012","1,596",392,606,541,432,383,"1,128",636,489,584,807,"1,476",554,872,588,"1,001","1,400","1,640",862,195
2020년02월_여_70~79세,"13,454",564,"1,611",820,984,357,404,441,340,361,624,488,387,406,575,965,501,515,429,521,652,810,565,134
2020년02월_여_80~89세,"8,678",339,"1,076",522,766,302,258,393,248,234,423,401,247,203,274,393,349,310,287,311,441,437,388,76
2020년02월_여_90~99세,"1,287",59,128,81,114,54,57,46,45,27,69,55,34,26,42,59,46,47,40,52,73,49,68,16
2020년02월_여_100세 이상,70,2,9,7,3,2,1,2,2,1,1,2,2,5,8,1,5,2,1,5,3,0,5,1
