,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년07월_계_80~89세,"9,965",505,"1,244",354,327,561,640,565,505,405,507,830,288,453,862,557,518,844
2021년07월_계_90~99세,"1,371",68,193,57,49,89,99,83,73,48,55,94,56,65,109,79,66,88
2021년07월_계_100세 이상,56,3,10,5,0,1,3,1,0,2,2,4,3,4,7,3,5,3
2021년07월_남_총인구수,"166,942","3,370","41,209","2,168","12,348","10,983","12,566","2,912","3,545","1,582","2,271","10,330","4,897","5,583","18,281","9,518","11,011","14,368"
2021년07월_남_연령구간인구수,"166,942","3,370","41,209","2,168","12,348","10,983","12,566","2,912","3,545","1,582","2,271","10,330","4,897","5,583","18,281","9,518","11,011","14,368"
2021년07월_남_0~9세,"16,416",168,"4,991",95,"1,506","1,239","1,306",64,155,33,48,749,439,204,"1,948",782,"1,109","1,580"
2021년07월_남_10~19세,"18,035",250,"4,987",191,"1,654",946,754,152,206,57,85,"1,033",389,410,"2,430","1,257","1,440","1,794"
2021년07월_남_20~29세,"20,839",328,"5,309",162,"1,728","1,348","1,485",266,336,93,198,"1,406",568,970,"2,371","1,215","1,541","1,515"
2021년07월_남_30~39세,"25,815",364,"7,713",147,"2,124","1,931","2,833",243,385,114,177,"1,152",946,740,"2,422","1,069","1,474","1,981"
2021년07월_남_40~49세,"31,213",512,"8,071",296,"2,832","2,084","2,344",341,593,158,240,"1,856",868,789,"3,583","1,751","2,045","2,850"
2021년07월_남_50~59세,"25,570",612,"5,509",418,"1,521","1,561","1,759",550,729,304,466,"1,808",703,"1,023","2,815","1,690","1,775","2,327"
2021년07월_남_60~69세,"17,108",598,"2,952",441,594,"1,200","1,323",691,639,377,530,"1,328",577,825,"1,607","1,038",970,"1,418"
2021년07월_남_70~79세,"8,131",340,"1,210",279,260,477,535,383,309,278,327,674,297,438,764,506,444,610
2021년07월_남_80~89세,"3,499",183,423,126,122,180,206,203,177,156,187,298,102,165,312,193,198,268
2021년07월_남_90~99세,307,15,39,13,7,17,20,19,16,11,13,26,8,18,29,17,15,24
2021년07월_남_100세 이상,9,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2021년07월_여_총인구수,"154,228","3,054","39,143","2,062","10,422","9,243","9,724","2,596","2,820","1,490","2,169","9,405","4,474","5,177","18,312","9,119","10,467","14,551"
2021년07월_여_연령구간인구수,"154,228","3,054","39,143","2,062","10,422","9,243","9,724","2,596","2,820","1,490","2,169","9,405","4,474","5,177","18,312","9,119","10,467","14,551"
2021년07월_여_0~9세,"15,550",166,"4,756",88,"1,430","1,252","1,192",71,136,24,56,700,443,218,"1,821",667,974,"1,556"
2021년07월_여_10~19세,"17,027",232,"4,706",171,"1,534",862,733,115,177,52,88,"1,022",339,368,"2,434","1,129","1,298","1,767"
2021년07월_여_20~29세,"16,525",213,"4,837",134,"1,262",770,955,156,191,78,144,989,507,718,"2,111",916,"1,175","1,369"
2021년07월_여_30~39세,"22,506",226,"7,153",126,"1,917","1,605","1,887",155,210,64,122,981,772,488,"2,453","1,004","1,335","2,008"
2021년07월_여_40~49세,"26,297",370,"7,278",232,"2,117","1,428","1,364",219,328,91,157,"1,574",639,659,"3,409","1,663","1,999","2,770"
2021년07월_여_50~59세,"21,682",500,"4,986",334,"1,013","1,248","1,328",415,478,205,359,"1,460",599,963,"2,580","1,529","1,648","2,037"
2021년07월_여_60~69세,"16,984",597,"2,979",407,567,"1,108","1,131",585,549,402,486,"1,215",583,889,"1,827","1,117","1,047","1,495"
2021년07월_여_70~79세,"10,080",372,"1,468",293,335,516,619,453,366,287,393,860,355,536,"1,040",665,615,907
2021년07월_여_80~89세,"6,466",322,821,228,205,381,434,362,328,249,320,532,186,288,550,364,320,576
2021년07월_여_90~99세,"1,064",53,154,44,42,72,79,64,57,37,42,68,48,47,80,62,51,64
2021년07월_여_100세 이상,47,3,5,5,0,1,2,1,0,1,2,4,3,3,7,3,5,2
