,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년10월_계_80~89세,"7,025",554,229,317,324,162,365,200,510,337,228,193,345,210,284,472,324,590,245,355,160,215,203,203
2020년10월_계_90~99세,963,76,43,39,44,29,43,19,89,31,18,27,37,27,30,61,48,92,35,51,23,25,30,46
2020년10월_계_100세 이상,81,5,4,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020년10월_남_총인구수,"112,217","5,451","2,688","2,393","4,271","4,826","6,647","2,588","4,059","2,956","3,076","1,610","2,401","1,699","4,770","8,688","5,402","9,833","6,166","8,465","2,486","5,529","4,483","11,730"
2020년10월_남_연령구간인구수,"112,217","5,451","2,688","2,393","4,271","4,826","6,647","2,588","4,059","2,956","3,076","1,610","2,401","1,699","4,770","8,688","5,402","9,833","6,166","8,465","2,486","5,529","4,483","11,730"
2020년10월_남_0~9세,"9,577",270,121,78,305,731,530,276,119,110,226,28,75,68,398,971,546,921,441,687,212,584,393,"1,487"
2020년10월_남_10~19세,"12,686",378,173,138,495,557,805,243,232,178,290,73,110,129,507,"1,279",735,"1,180",652,"1,012",298,791,521,"1,910"
2020년10월_남_20~29세,"14,712",643,320,235,535,653,"1,032",266,405,311,398,112,356,178,637,997,642,"1,239","1,065","1,439",288,778,659,"1,524"
2020년10월_남_30~39세,"13,479",592,269,225,504,828,748,380,370,277,356,137,196,151,547,"1,094",595,"1,229",894,"1,031",293,688,609,"1,466"
2020년10월_남_40~49세,"19,437",810,431,413,688,862,"1,144",438,603,467,507,279,365,270,824,"1,672",951,"1,650","1,119","1,324",434,963,784,"2,439"
2020년10월_남_50~59세,"18,256",919,455,460,699,586,"1,187",406,770,503,444,343,451,316,796,"1,222",785,"1,526","1,048","1,512",397,893,788,"1,750"
2020년10월_남_60~69세,"13,702",942,479,405,567,362,739,329,756,509,453,337,430,297,629,820,645,"1,274",611,974,333,510,466,835
2020년10월_남_70~79세,"7,778",671,363,324,360,193,348,185,592,441,310,220,315,211,325,453,368,641,256,349,175,228,186,264
2020년10월_남_80~89세,"2,376",209,71,101,110,50,103,61,188,149,88,75,97,72,102,161,131,154,72,125,53,88,70,46
2020년10월_남_90~99세,198,14,6,12,8,3,10,3,22,10,4,4,6,5,5,19,4,19,8,12,3,6,6,9
2020년10월_남_100세 이상,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020년10월_여_총인구수,"113,061","5,429","2,619","2,351","4,491","4,965","6,762","2,667","3,929","2,662","3,153","1,424","2,083","1,573","4,737","8,941","5,515","10,319","5,798","8,461","2,472","6,040","4,726","11,944"
2020년10월_여_연령구간인구수,"113,061","5,429","2,619","2,351","4,491","4,965","6,762","2,667","3,929","2,662","3,153","1,424","2,083","1,573","4,737","8,941","5,515","10,319","5,798","8,461","2,472","6,040","4,726","11,944"
2020년10월_여_0~9세,"9,091",221,111,88,326,663,480,234,130,98,211,35,74,76,329,937,455,863,408,678,231,593,410,"1,440"
2020년10월_여_10~19세,"12,035",383,158,148,449,554,772,238,214,165,320,65,101,120,501,"1,215",705,"1,109",507,884,248,818,470,"1,891"
2020년10월_여_20~29세,"12,526",502,228,195,489,645,802,264,340,235,333,95,163,135,506,819,537,"1,087","1,045","1,211",257,749,605,"1,284"
2020년10월_여_30~39세,"12,712",445,214,142,439,853,665,385,279,188,294,84,120,100,475,"1,150",620,"1,147",775,972,283,794,591,"1,697"
2020년10월_여_40~49세,"18,260",625,291,232,663,851,"1,149",390,444,283,441,142,182,189,712,"1,621",927,"1,733",989,"1,436",402,"1,180",792,"2,586"
2020년10월_여_50~59세,"18,126",891,413,380,778,606,"1,190",391,632,400,508,222,294,218,860,"1,272",872,"1,701",927,"1,634",385,944,899,"1,709"
2020년10월_여_60~69세,"15,050","1,133",595,462,673,442,868,356,771,590,553,347,427,279,735,966,744,"1,361",624,935,328,545,515,801
2020년10월_여_70~79세,"9,782",820,410,459,420,212,535,251,723,493,339,289,434,293,412,605,414,803,321,440,211,269,287,342
2020년10월_여_80~89세,"4,649",345,158,216,214,112,262,139,322,188,140,118,248,138,182,311,193,436,173,230,107,127,133,157
2020년10월_여_90~99세,765,62,37,27,36,26,33,16,67,21,14,23,31,22,25,42,44,73,27,39,20,19,24,37
2020년10월_여_100세 이상,65,2,4,2,4,1,6,3,7,1,0,4,9,3,0,3,4,6,2,2,0,2,0,0
