,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2020년10월_남_연령구간인구수,"214,238","2,588","3,515","2,618","1,750","3,972","6,222","19,021","9,438","6,312","6,517","11,593","5,258","3,011","9,353","8,081","7,777","4,008","8,221","6,706","7,479","14,939","6,993","5,772","6,278","1,401","11,415","19,233","14,767"
2020년10월_남_0~9세,"17,278",105,140,146,46,301,221,"1,329",915,262,471,"1,137",211,275,715,550,581,177,471,242,541,"1,298",625,336,245,34,"1,407","2,100","2,397"
2020년10월_남_10~19세,"22,830",109,237,175,54,292,371,"2,042","1,154",483,782,"1,263",380,266,819,"1,026",783,334,741,446,967,"2,550",965,576,464,92,"1,338","2,136","1,985"
2020년10월_남_20~29세,"33,046",438,689,474,237,488,"1,148","3,751","1,344",969,"1,109","1,640",705,401,"1,253","1,328","1,347",615,"1,245",865,"1,324","2,567","1,116",998,"1,034",145,"1,487","2,739","1,590"
2020년10월_남_30~39세,"29,028",522,463,412,250,575,987,"2,469","1,091",796,779,"1,814",561,433,"1,384",850,"1,077",458,"1,025",731,897,"1,403",861,668,822,131,"1,846","3,142","2,581"
2020년10월_남_40~49세,"33,992",367,487,430,266,626,941,"2,775","1,432",898,898,"1,934",722,504,"1,409","1,190","1,202",559,"1,162",871,"1,197","2,525","1,066",868,838,157,"2,038","3,425","3,205"
2020년10월_남_50~59세,"35,203",393,498,392,340,627,"1,039","3,161","1,480","1,128","1,096","1,777",928,490,"1,522","1,431","1,205",699,"1,436","1,320","1,375","2,769","1,129","1,111","1,181",309,"1,728","2,897","1,742"
2020년10월_남_60~69세,"25,248",366,498,312,302,536,819,"2,080","1,224",973,871,"1,222",950,341,"1,279","1,070",915,570,"1,225","1,334",753,"1,143",767,763,"1,051",292,991,"1,753",848
2020년10월_남_70~79세,"13,062",209,330,197,177,402,502,"1,081",618,588,379,638,595,227,726,470,465,447,702,654,325,463,337,358,474,164,434,781,319
2020년10월_남_80~89세,"4,197",72,157,76,68,116,181,310,168,205,123,148,192,71,226,154,184,135,201,224,93,195,118,86,158,70,135,238,93
2020년10월_남_90~99세,342,5,15,4,9,9,13,23,12,10,8,19,11,3,19,12,18,14,13,19,7,24,9,8,11,7,11,22,7
2020년10월_남_100세 이상,12,2,1,0,1,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2020년10월_여_총인구수,"217,446","2,441","3,387","2,380","1,529","4,039","5,653","19,128","10,180","6,239","7,012","11,875","5,531","3,041","9,685","8,446","8,566","4,004","8,347","7,283","7,000","15,614","7,249","5,680","6,523","1,284","11,220","19,015","15,095"
2020년10월_여_연령구간인구수,"217,446","2,441","3,387","2,380","1,529","4,039","5,653","19,128","10,180","6,239","7,012","11,875","5,531","3,041","9,685","8,446","8,566","4,004","8,347","7,283","7,000","15,614","7,249","5,680","6,523","1,284","11,220","19,015","15,095"
2020년10월_여_0~9세,"16,632",129,136,126,41,269,228,"1,292",889,320,472,"1,091",199,275,740,580,582,144,472,250,466,"1,175",603,346,276,37,"1,325","1,919","2,250"
2020년10월_여_10~19세,"20,447",91,239,143,66,268,347,"1,771","1,119",467,668,"1,094",319,266,685,940,737,326,675,417,759,"2,170",800,513,363,55,"1,225","2,072","1,852"
2020년10월_여_20~29세,"29,756",545,660,434,272,458,"1,090","3,371","1,253",853,933,"1,451",666,346,"1,100","1,160","1,284",517,"1,127",808,"1,052","2,232",911,888,921,111,"1,331","2,485","1,497"
2020년10월_여_30~39세,"26,856",437,318,310,154,564,707,"2,158","1,240",609,777,"1,759",450,399,"1,285",823,972,358,857,600,817,"1,559",855,586,672,91,"1,777","2,896","2,826"
2020년10월_여_40~49세,"33,853",244,424,293,152,550,666,"2,851","1,703",813,"1,041","1,891",599,458,"1,269","1,347","1,268",500,"1,094",783,"1,277","3,296","1,272",845,772,102,"2,015","3,258","3,070"
2020년10월_여_50~59세,"36,830",305,474,330,236,618,872,"3,489","1,658","1,084","1,341","2,029",930,429,"1,681","1,633","1,455",713,"1,546","1,370","1,297","2,837","1,338","1,083","1,338",243,"1,618","2,976","1,907"
2020년10월_여_60~69세,"27,702",323,519,341,275,653,829,"2,331","1,393","1,118","1,012","1,496","1,127",418,"1,474","1,090","1,152",723,"1,403","1,423",738,"1,163",784,755,"1,086",265,951,"1,846","1,014"
2020년10월_여_70~79세,"16,155",244,412,280,208,466,596,"1,250",632,652,471,704,791,286,909,554,730,478,777,984,383,705,406,428,627,209,555,984,434
2020년10월_여_80~89세,"7,758",102,180,105,93,155,264,531,233,280,248,304,371,135,454,273,331,204,331,556,173,415,236,195,401,139,355,492,202
2020년10월_여_90~99세,"1,349",17,23,12,29,33,46,80,56,40,46,55,69,27,79,45,54,38,61,84,38,61,41,35,65,28,63,83,41
2020년10월_여_100세 이상,108,4,2,6,3,5,8,4,4,3,3,1,10,2,9,1,1,3,4,8,0,1,3,6,2,4,5,4,2
