카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2021년07월_남_80~89세,"31,625","7,389","3,936","3,453","3,565","4,163","2,768","2,066","2,285","1,832",843,839,717,"1,025",911,"1,720","1,502"
2021년07월_남_90~99세,"3,119",669,378,291,330,458,255,236,268,182,86,75,73,107,102,141,137
2021년07월_남_100세 이상,86,15,11,4,9,14,10,6,6,6,5,4,2,4,1,2,2
2021년07월_여_총인구수,"901,415","334,079","173,357","160,722","131,483","140,391","54,011","40,758","40,982","44,343","12,415","11,974","10,948","13,152","13,915","27,108","25,856"
2021년07월_여_연령구간인구수,"901,415","334,079","173,357","160,722","131,483","140,391","54,011","40,758","40,982","44,343","12,415","11,974","10,948","13,152","13,915","27,108","25,856"
2021년07월_여_0~9세,"59,990","25,620","11,566","14,054","9,860","8,800","2,942","2,258","1,950","3,284",615,512,509,614,660,"1,198","1,168"
2021년07월_여_10~19세,"82,837","34,085","16,879","17,206","12,742","13,354","4,422","3,471","2,981","3,902",768,885,811,769,"1,050","1,866","1,731"
2021년07월_여_20~29세,"96,157","44,291","23,751","20,540","13,234","16,205","4,646","3,295","3,098","3,894",800,765,690,812,866,"1,754","1,807"
2021년07월_여_30~39세,"89,398","40,275","19,518","20,757","14,138","13,232","3,999","3,014","2,971","4,344",796,749,708,817,946,"1,696","1,713"
2021년07월_여_40~49세,"127,499","53,902","27,168","26,734","20,410","19,993","6,817","5,063","4,245","6,012","1,083","1,231","1,068","1,073","1,387","2,602","2,613"
2021년07월_여_50~59세,"143,166","54,151","29,502","24,649","20,790","23,731","8,355","6,300","6,003","6,708","1,918","1,848","1,586","1,966","1,993","3,950","3,867"
2021년07월_여_60~69세,"133,864","41,835","23,197","18,638","19,539","21,231","8,806","6,722","7,394","6,970","2,376","2,208","2,126","2,343","2,422","4,990","4,902"
2021년07월_여_70~79세,"94,844","24,708","13,410","11,298","12,660","13,674","7,454","5,599","6,376","4,968","2,037","1,916","1,731","2,370","2,392","4,628","4,331"
2021년07월_여_80~89세,"62,108","12,892","7,027","5,865","6,768","8,493","5,577","4,239","4,981","3,584","1,711","1,576","1,480","2,030","1,894","3,683","3,200"
2021년07월_여_90~99세,"11,106","2,241","1,291",950,"1,297","1,618",940,771,946,653,299,265,229,346,285,711,505
2021년07월_여_100세 이상,446,79,48,31,45,60,53,26,37,24,12,19,10,12,20,30,19
