,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년09월_계_80~89세,"13,035",489,188,262,314,259,265,242,229,190,469,618,330,258,354,133,305,"1,281",503,749,694,691,652,358,364,760,530,402,443,510,193
2021년09월_계_90~99세,"1,869",90,29,47,59,42,28,34,30,38,71,71,52,39,59,24,38,168,84,93,95,68,89,49,51,129,69,62,52,72,37
2021년09월_계_100세 이상,76,2,1,4,1,2,2,0,0,1,3,1,0,1,3,2,1,7,7,13,2,2,4,1,5,2,2,4,1,0,2
2021년09월_남_총인구수,"171,782","4,125","2,021","4,459","1,044",937,"1,259",784,727,720,"1,596","10,530","2,337",772,"1,965",500,"1,070","13,598","5,171","5,284","6,884","9,597","12,146","5,892","13,566","13,151","5,501","5,891","10,038","13,966","16,251"
2021년09월_남_연령구간인구수,"171,782","4,125","2,021","4,459","1,044",937,"1,259",784,727,720,"1,596","10,530","2,337",772,"1,965",500,"1,070","13,598","5,171","5,284","6,884","9,597","12,146","5,892","13,566","13,151","5,501","5,891","10,038","13,966","16,251"
2021년09월_남_0~9세,"14,058",334,181,488,18,24,51,16,12,18,30,"1,075",113,7,67,12,29,805,216,163,292,454,680,336,"1,730","1,005",320,332,"1,161","1,285","2,804"
2021년09월_남_10~19세,"18,330",339,237,268,55,23,96,27,27,30,72,"1,460",206,29,93,19,47,"1,347",363,357,548,808,"1,288",502,"2,268","1,748",562,700,"1,430","1,334","2,047"
2021년09월_남_20~29세,"24,639",428,228,616,88,70,121,47,35,65,130,"1,312",238,47,175,56,80,"2,349",751,593,944,"1,572","2,065",830,"1,811","2,190",816,869,"1,239","3,171","1,703"
2021년09월_남_30~39세,"21,063",470,186,919,67,70,84,42,45,36,89,"1,204",185,26,123,26,48,"1,444",615,468,675,"1,084","1,339",735,"1,670","1,492",593,562,"1,074","2,290","3,402"
2021년09월_남_40~49세,"26,606",545,322,653,116,89,150,61,101,88,162,"1,775",325,69,230,52,132,"1,930",808,731,999,"1,383","1,689",910,"2,467","1,991",756,808,"1,912","1,983","3,369"
2021년09월_남_50~59세,"28,211",728,355,612,192,191,264,156,125,140,327,"1,648",477,166,380,100,226,"2,185",849,962,"1,301","1,681","2,353","1,027","2,089","2,404",921,"1,085","1,602","1,919","1,746"
2021년09월_남_60~69세,"23,125",765,302,594,256,249,273,229,184,166,377,"1,282",455,210,521,137,285,"1,895",876,"1,065","1,173","1,507","1,773",948,"1,035","1,498",857,938,"1,079","1,316",880
2021년09월_남_70~79세,"11,303",367,148,235,158,132,149,136,135,121,267,556,229,145,250,64,140,"1,153",489,704,698,824,746,452,375,550,459,464,404,508,245
2021년09월_남_80~89세,"4,096",136,57,68,89,79,63,63,57,50,130,211,96,65,115,31,77,449,185,220,235,269,199,142,110,246,203,121,129,151,50
2021년09월_남_90~99세,336,13,5,6,5,10,6,7,6,6,11,7,13,8,10,3,6,39,18,18,19,15,12,10,9,27,14,11,8,9,5
2021년09월_남_100세 이상,15,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,1,3,0,0,2,0,2,0,0,1,0,0,0
2021년09월_여_총인구수,"175,839","3,998","1,994","4,292","1,159",955,"1,318",782,749,717,"1,601","10,468","2,335",803,"2,050",541,"1,134","14,157","5,311","5,670","7,056","9,784","12,185","5,719","13,283","14,334","6,133","6,048","11,045","13,634","16,584"
2021년09월_여_연령구간인구수,"175,839","3,998","1,994","4,292","1,159",955,"1,318",782,749,717,"1,601","10,468","2,335",803,"2,050",541,"1,134","14,157","5,311","5,670","7,056","9,784","12,185","5,719","13,283","14,334","6,133","6,048","11,045","13,634","16,584"
2021년09월_여_0~9세,"13,121",276,145,498,18,19,45,5,16,21,20,988,106,9,59,11,22,699,195,144,237,451,587,357,"1,503",993,296,299,"1,125","1,108","2,869"
2021년09월_여_10~19세,"16,436",293,210,255,48,24,86,15,20,39,57,"1,267",201,17,99,23,42,"1,096",335,279,479,755,"1,082",523,"1,732","1,643",526,531,"1,557","1,248","1,954"
2021년09월_여_20~29세,"20,323",343,198,480,47,50,86,21,21,33,68,985,173,28,149,38,62,"1,984",682,471,861,"1,287","1,629",661,"1,480","1,895",748,647,"1,086","2,426","1,684"
2021년09월_여_30~39세,"19,879",417,209,806,53,50,79,18,30,24,58,"1,169",175,28,98,21,54,"1,246",498,349,557,888,"1,116",628,"1,947","1,492",548,513,"1,294","1,952","3,562"
2021년09월_여_40~49세,"26,835",460,320,547,64,49,116,33,41,49,89,"1,900",295,29,185,35,66,"1,942",692,575,805,"1,320","1,828",773,"2,792","2,545",825,916,"2,149","2,113","3,282"
2021년09월_여_50~59세,"28,850",644,329,670,167,147,225,96,76,103,235,"1,699",398,116,359,79,157,"2,353",853,887,"1,260","1,832","2,543","1,000","2,034","2,726","1,096","1,217","1,655","2,073","1,821"
2021년09월_여_60~69세,"25,366",681,267,557,235,243,248,214,188,148,370,"1,320",400,171,495,120,271,"2,322","1,044","1,376","1,410","1,791","1,990",985,"1,008","1,598","1,130","1,075","1,223","1,535",951
2021년09월_여_70~79세,"14,496",452,160,240,247,159,209,174,161,127,303,668,314,180,316,89,199,"1,549",622,975,910,983,878,536,488,824,580,515,597,757,284
2021년09월_여_80~89세,"8,939",353,131,194,225,180,202,179,172,140,339,407,234,193,239,102,228,832,318,529,459,422,453,216,254,514,327,281,314,359,143
2021년09월_여_90~99세,"1,533",77,24,41,54,32,22,27,24,32,60,64,39,31,49,21,32,129,66,75,76,53,77,39,42,102,55,51,44,63,32
2021년09월_여_100세 이상,61,2,1,4,1,2,0,0,0,1,2,1,0,1,2,2,1,5,6,10,2,2,2,1,3,2,2,3,1,0,2
