카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년07월_남_60~69세,"19,652",600,"2,138","1,002","1,776",410,656,577,502,363,"1,134",678,530,471,636,"1,158",543,851,532,"1,058","1,456","1,575",813,193
2020년07월_남_70~79세,"10,764",383,"1,285",624,865,259,341,378,317,285,519,407,349,333,411,757,365,409,350,369,499,676,459,124
2020년07월_남_80~89세,"4,027",169,497,294,303,122,126,168,124,121,182,165,124,120,146,237,153,162,127,113,159,207,174,34
2020년07월_남_90~99세,327,13,31,22,29,5,13,14,9,6,7,18,13,4,14,14,13,15,17,15,12,19,17,7
2020년07월_남_100세 이상,21,0,2,1,3,1,0,1,1,1,1,0,0,2,2,1,3,0,0,0,0,1,0,1
2020년07월_여_총인구수,"126,655","2,782","12,698","4,736","9,151","2,088","2,941","2,381","1,660","1,631","11,139","3,149","2,754","2,710","3,484","7,157","2,494","7,488","3,006","10,971","14,841","11,555","4,932",907
2020년07월_여_연령구간인구수,"126,655","2,782","12,698","4,736","9,151","2,088","2,941","2,381","1,660","1,631","11,139","3,149","2,754","2,710","3,484","7,157","2,494","7,488","3,006","10,971","14,841","11,555","4,932",907
2020년07월_여_0~9세,"8,070",69,601,182,540,121,145,49,23,32,"1,189",108,138,104,110,207,48,602,176,"1,308","1,311",650,326,31
2020년07월_여_10~19세,"10,114",104,"1,052",223,523,69,157,106,46,46,"1,230",168,171,145,159,422,107,812,152,"1,208","1,761","1,124",275,54
2020년07월_여_20~29세,"11,741",153,"1,017",283,773,180,199,111,53,76,"1,094",220,244,252,304,903,150,847,200,"1,085","1,741","1,355",408,93
2020년07월_여_30~39세,"12,111",146,877,284,894,192,210,96,67,76,"1,590",166,263,246,250,559,135,766,276,"1,532","1,728","1,134",566,58
2020년07월_여_40~49세,"17,734",230,"1,652",449,"1,057",142,296,175,87,124,"1,959",322,297,284,342,838,224,"1,341",350,"1,991","2,937","1,950",594,93
2020년07월_여_50~59세,"22,727",475,"2,452",820,"1,798",271,572,400,298,258,"1,787",573,481,453,589,"1,275",388,"1,369",486,"1,921","2,748","2,308",851,154
2020년07월_여_60~69세,"20,342",639,"2,196","1,028","1,659",397,634,537,450,381,"1,171",638,492,570,806,"1,499",539,862,607,"1,030","1,436","1,710",872,189
2020년07월_여_70~79세,"13,619",567,"1,621",833,"1,012",348,403,454,346,376,624,488,384,407,593,991,498,521,424,514,659,839,578,139
2020년07월_여_80~89세,"8,774",343,"1,081",540,773,308,261,403,242,231,429,406,251,217,275,396,355,318,288,320,445,426,387,79
2020년07월_여_90~99세,"1,353",54,139,87,119,58,62,48,46,30,66,58,31,26,48,66,45,49,46,58,73,59,69,16
2020년07월_여_100세 이상,70,2,10,7,3,2,2,2,2,1,0,2,2,6,8,1,5,1,1,4,2,0,6,1
