,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년09월_남_0~9세,"54,592","11,198","14,519","7,040","3,474","1,374","2,973","1,987","1,926","1,158",906,955,903,"1,712",922,901,"1,290",656,698
2020년09월_남_10~19세,"72,249","14,073","18,722","10,119","4,595","2,030","3,895","2,733","2,717","1,873","1,577","1,559","1,333","1,992",921,"1,057","1,189",881,983
2020년09월_남_20~29세,"100,612","19,798","24,005","13,712","5,485","2,103","5,085","4,143","4,189","2,193","1,886","1,946","1,613","3,780","2,691","2,067","2,668","1,847","1,401"
2020년09월_남_30~39세,"87,797","17,463","23,039","11,418","4,981","2,028","4,958","3,194","3,361","1,833","1,557","1,708","1,785","2,604","1,679","1,436","2,213","1,254","1,286"
2020년09월_남_40~49세,"115,612","21,050","28,242","16,497","7,647","3,459","6,198","4,979","4,454","2,857","2,556","2,940","2,887","3,082","1,499","1,392","2,216","1,711","1,946"
2020년09월_남_50~59세,"138,112","23,609","30,491","18,474","8,067","3,976","7,498","6,088","6,808","4,670","4,095","4,338","3,878","3,873","2,143","1,890","2,818","2,641","2,755"
2020년09월_남_60~69세,"117,799","18,149","22,061","15,861","6,584","3,761","6,062","5,490","7,006","5,229","4,139","4,521","3,904","3,220","1,989","1,766","2,735","2,610","2,712"
2020년09월_남_70~79세,"60,761","9,182","9,573","8,723","3,649","2,189","2,951","3,181","3,449","2,722","2,207","2,316","2,045","2,121","1,076",881,"1,288","1,513","1,695"
2020년09월_남_80~89세,"25,000","4,145","4,131","3,500","1,305",735,"1,070","1,328","1,516","1,153",955,952,757,794,475,380,518,624,662
2020년09월_남_90~99세,"2,532",471,408,333,110,60,125,110,172,124,93,75,77,77,56,38,67,75,61
2020년09월_남_100세 이상,258,46,26,27,9,26,13,12,7,11,16,11,20,12,7,6,5,3,1
2020년09월_여_총인구수,"765,780","142,828","177,972","107,351","44,669","21,196","41,629","32,394","33,559","22,659","18,711","20,385","17,754","21,532","11,397","10,501","14,531","12,972","13,740"
2020년09월_여_연령구간인구수,"765,780","142,828","177,972","107,351","44,669","21,196","41,629","32,394","33,559","22,659","18,711","20,385","17,754","21,532","11,397","10,501","14,531","12,972","13,740"
2020년09월_여_0~9세,"52,088","10,613","13,966","6,607","3,271","1,276","2,912","1,918","1,893","1,050",797,963,850,"1,655",916,866,"1,231",637,667
2020년09월_여_10~19세,"66,498","13,000","17,360","9,123","4,223","1,850","3,634","2,530","2,531","1,724","1,359","1,389","1,243","1,851",897,"1,026","1,104",760,894
2020년09월_여_20~29세,"78,620","17,349","21,240","11,341","3,875","1,562","3,898","3,240","2,727","1,665","1,398","1,429","1,233","2,048","1,183","1,044","1,360","1,048",980
2020년09월_여_30~39세,"79,420","16,893","22,278","10,323","4,369","1,836","4,308","2,693","2,801","1,641","1,279","1,444","1,363","2,135","1,195","1,152","1,660",956,"1,094"
2020년09월_여_40~49세,"109,454","21,437","29,122","15,874","7,052","3,039","6,302","4,044","3,842","2,280","2,098","2,441","2,103","2,660","1,258","1,164","1,768","1,353","1,617"
2020년09월_여_50~59세,"130,552","23,470","30,123","18,364","7,545","3,458","7,693","5,318","6,073","4,170","3,311","3,804","3,196","3,407","1,826","1,678","2,489","2,262","2,365"
2020년09월_여_60~69세,"119,226","19,343","22,560","17,265","7,086","3,875","6,467","5,509","6,528","4,783","3,823","4,202","3,533","3,402","1,725","1,556","2,348","2,491","2,730"
2020년09월_여_70~79세,"75,010","11,852","12,085","10,832","4,434","2,727","3,821","4,040","3,860","2,920","2,667","2,704","2,503","2,647","1,373","1,156","1,412","2,000","1,977"
2020년09월_여_80~89세,"45,720","7,366","7,768","6,240","2,378","1,326","2,087","2,594","2,814","2,013","1,688","1,693","1,427","1,412",854,742,971,"1,194","1,153"
2020년09월_여_90~99세,"8,610","1,438","1,389","1,303",415,210,487,470,456,391,254,285,273,282,162,109,180,258,248
2020년09월_여_100세 이상,582,67,81,79,21,37,20,38,34,22,37,31,30,33,8,8,8,13,15
