,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2021년01월_계_80~89세,"12,149",795,541,398,415,270,212,446,272,348,264,305,610,394,643,"1,059",421,316,731,436,390,875,520,296,560,632
2021년01월_계_90~99세,"1,838",111,94,49,69,39,38,56,46,53,54,36,91,58,93,142,66,51,115,74,40,116,81,56,108,102
2021년01월_계_100세 이상,110,8,4,1,5,2,2,3,1,1,5,4,5,4,2,8,8,3,8,5,4,3,8,5,6,5
2021년01월_남_총인구수,"175,962","9,039","4,513","1,963","13,872","1,148","1,112","4,547","3,833","1,829","1,475","2,477","6,120","4,151","7,592","21,647","4,233","2,408","13,943","7,191","5,089","12,433","4,052","3,796","16,037","21,462"
2021년01월_남_연령구간인구수,"175,962","9,039","4,513","1,963","13,872","1,148","1,112","4,547","3,833","1,829","1,475","2,477","6,120","4,151","7,592","21,647","4,233","2,408","13,943","7,191","5,089","12,433","4,052","3,796","16,037","21,462"
2021년01월_남_0~9세,"14,384",574,199,67,"2,340",16,25,216,195,30,28,105,330,187,337,"1,739",207,91,"1,122",527,403,925,140,250,"1,659","2,672"
2021년01월_남_10~19세,"18,550",809,265,82,"1,191",43,35,332,355,61,58,184,715,377,872,"2,746",364,164,"1,246",691,609,"1,370",371,442,"2,290","2,878"
2021년01월_남_20~29세,"24,296","1,178",593,196,"1,383",68,76,789,570,113,112,380,845,649,"1,176","3,550",792,323,"2,330","1,135",558,"1,645",518,523,"2,193","2,601"
2021년01월_남_30~39세,"22,957",991,401,131,"3,493",47,81,440,484,115,110,255,604,400,691,"2,745",515,214,"2,149",871,548,"1,423",391,357,"2,092","3,409"
2021년01월_남_40~49세,"28,175","1,502",539,206,"2,472",113,84,641,592,165,177,341,799,532,"1,124","3,756",518,335,"1,891","1,129",899,"2,123",527,552,"2,930","4,228"
2021년01월_남_50~59세,"30,572","1,756",903,413,"1,460",225,246,821,775,390,355,469,"1,175",826,"1,550","3,788",692,486,"2,429","1,233",902,"2,319",821,750,"2,511","3,277"
2021년01월_남_60~69세,"22,720","1,296",984,486,"1,045",339,319,816,537,532,369,426,932,689,"1,143","2,106",610,443,"1,862","1,000",702,"1,631",737,562,"1,578","1,576"
2021년01월_남_70~79세,"9,620",628,410,238,342,193,153,317,224,275,164,196,483,332,477,837,345,221,634,416,308,681,355,239,579,573
2021년01월_남_80~89세,"4,233",274,195,134,130,93,86,160,94,131,88,107,216,144,205,343,167,121,254,168,149,289,172,108,186,219
2021년01월_남_90~99세,425,28,22,10,16,11,6,13,7,17,14,12,21,13,16,34,20,10,25,19,10,26,17,12,18,28
2021년01월_남_100세 이상,30,3,2,0,0,0,1,2,0,0,0,2,0,2,1,3,3,0,1,2,1,1,3,1,1,1
2021년01월_여_총인구수,"178,702","8,645","4,113","1,768","14,263","1,103","1,070","4,072","3,434","1,750","1,285","2,692","6,648","4,489","8,033","22,437","4,430","2,428","14,707","6,486","5,047","12,522","4,150","3,849","16,660","22,621"
2021년01월_여_연령구간인구수,"178,702","8,645","4,113","1,768","14,263","1,103","1,070","4,072","3,434","1,750","1,285","2,692","6,648","4,489","8,033","22,437","4,430","2,428","14,707","6,486","5,047","12,522","4,150","3,849","16,660","22,621"
2021년01월_여_0~9세,"13,852",569,171,45,"2,350",22,18,197,200,30,21,105,336,207,389,"1,649",196,75,960,510,379,850,136,222,"1,580","2,635"
2021년01월_여_10~19세,"17,302",790,264,66,"1,198",51,38,310,309,49,47,167,596,389,831,"2,561",268,123,"1,184",535,546,"1,277",311,432,"2,031","2,929"
2021년01월_여_20~29세,"21,325",903,375,126,"1,509",58,71,593,429,88,84,364,782,520,997,"2,995",864,257,"2,160",876,500,"1,397",408,424,"1,886","2,659"
2021년01월_여_30~39세,"22,277",835,311,100,"3,417",39,34,354,352,66,92,260,595,386,676,"2,691",413,191,"1,951",777,543,"1,342",265,348,"2,282","3,957"
2021년01월_여_40~49세,"28,985","1,368",445,135,"2,333",56,79,512,557,116,105,309,922,605,"1,239","4,228",495,269,"2,188",991,859,"2,049",518,636,"3,376","4,595"
2021년01월_여_50~59세,"30,260","1,548",810,320,"1,645",169,205,720,642,360,222,495,"1,269",911,"1,563","3,919",752,453,"2,908","1,076",817,"2,303",806,741,"2,609","2,997"
2021년01월_여_60~69세,"23,231","1,239",864,422,"1,061",300,272,700,492,483,287,489,"1,057",741,"1,216","2,333",712,514,"2,001",896,707,"1,723",785,546,"1,741","1,650"
2021년01월_여_70~79세,"12,061",784,453,250,407,201,194,356,235,304,206,279,622,433,606,"1,232",425,307,781,499,422,903,504,264,686,708
2021년01월_여_80~89세,"7,916",521,346,264,285,177,126,286,178,217,176,198,394,250,438,716,254,195,477,268,241,586,348,188,374,413
2021년01월_여_90~99세,"1,413",83,72,39,53,28,32,43,39,36,40,24,70,45,77,108,46,41,90,55,30,90,64,44,90,74
2021년01월_여_100세 이상,80,5,2,1,5,2,1,1,1,1,5,2,5,2,1,5,5,3,7,3,3,2,5,4,5,4
