카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년02월_계_80~89세,"14,925",814,631,407,572,388,369,618,629,494,347,887,393,547,971,"1,475","1,010",540,634,"1,077",757,880,485
2021년02월_계_90~99세,"1,790",83,58,38,70,40,45,61,65,50,43,108,50,72,101,183,143,77,94,131,88,115,75
2021년02월_계_100세 이상,94,10,6,5,2,2,3,3,2,2,0,1,5,8,6,18,5,3,1,1,3,8,0
2021년02월_남_총인구수,"274,175","11,656","7,090","4,144","13,388","6,883","8,657","15,879","14,764","11,852","8,477","16,416","10,906","21,471","7,856","37,644","19,044","9,977","5,480","17,596","9,747","8,809","6,439"
2021년02월_남_연령구간인구수,"274,175","11,656","7,090","4,144","13,388","6,883","8,657","15,879","14,764","11,852","8,477","16,416","10,906","21,471","7,856","37,644","19,044","9,977","5,480","17,596","9,747","8,809","6,439"
2021년02월_남_0~9세,"20,167",789,289,202,"1,006",304,688,"1,052",932,688,450,730,"1,084","2,573",331,"4,508","1,488",582,178,"1,177",434,369,313
2021년02월_남_10~19세,"28,386",954,365,295,"1,185",514,858,"1,892","1,543","1,275",714,"1,204","1,053","4,225",595,"4,372","2,620",786,324,"1,814",677,608,513
2021년02월_남_20~29세,"41,703","1,468","1,082",647,"2,086","1,199","1,305","2,666","2,556","2,235","1,390","3,691","1,400","2,345",982,"4,798","2,881","1,823",685,"2,713","1,509","1,311",931
2021년02월_남_30~39세,"34,242","1,432",979,493,"1,902",976,"1,159","1,743","1,784","1,347","1,209","2,180","1,580","1,988",702,"5,469","1,984","1,593",601,"1,997","1,241","1,064",819
2021년02월_남_40~49세,"43,048","1,862","1,009",596,"2,008",974,"1,336","2,426","2,136","1,703","1,157","2,348","2,026","4,895","1,169","6,666","2,827","1,286",644,"2,381","1,412","1,191",996
2021년02월_남_50~59세,"49,919","2,092","1,289",713,"2,440","1,305","1,613","3,334","3,160","2,609","1,638","3,257","1,850","3,286","1,529","5,684","3,392","1,734","1,019","3,315","1,827","1,596","1,237"
2021년02월_남_60~69세,"35,792","1,817","1,177",652,"1,781","1,046","1,093","1,794","1,797","1,345","1,356","1,916","1,236","1,379","1,442","3,923","2,498","1,443","1,217","2,786","1,531","1,549","1,014"
2021년02월_남_70~79세,"15,415",940,660,377,754,417,470,733,617,475,424,803,516,574,789,"1,659",964,543,617,"1,022",823,779,459
2021년02월_남_80~89세,"5,097",290,230,159,210,136,124,227,224,166,127,265,151,186,291,515,359,172,174,361,277,316,137
2021년02월_남_90~99세,386,11,9,10,14,11,10,11,15,9,12,22,7,19,25,44,31,15,21,30,16,24,20
2021년02월_남_100세 이상,20,1,1,0,2,1,1,1,0,0,0,0,3,1,1,6,0,0,0,0,0,2,0
2021년02월_여_총인구수,"281,773","12,315","7,555","4,381","14,046","7,022","8,904","15,711","14,589","11,749","8,280","15,493","11,114","22,291","8,537","38,967","19,923","10,186","5,937","18,634","9,950","9,614","6,575"
2021년02월_여_연령구간인구수,"281,773","12,315","7,555","4,381","14,046","7,022","8,904","15,711","14,589","11,749","8,280","15,493","11,114","22,291","8,537","38,967","19,923","10,186","5,937","18,634","9,950","9,614","6,575"
2021년02월_여_0~9세,"19,299",837,277,178,"1,053",316,635,955,862,632,415,654,"1,109","2,487",260,"4,298","1,454",530,171,"1,093",394,374,315
2021년02월_여_10~19세,"26,320","1,079",348,273,"1,118",450,805,"1,644","1,377","1,201",653,"1,185","1,134","4,077",562,"3,973","2,143",676,262,"1,705",607,603,445
2021년02월_여_20~29세,"36,708","1,420","1,266",622,"2,086","1,113","1,177","2,329","2,131","1,895","1,171","3,114","1,211","1,914",783,"4,280","2,370","1,650",539,"2,311","1,385","1,203",738
2021년02월_여_30~39세,"31,488","1,362",910,462,"1,823",742,"1,077","1,581","1,512","1,178",939,"1,482","1,525","2,517",571,"5,748","2,026","1,249",445,"1,829","1,003",865,642
2021년02월_여_40~49세,"45,667","1,721",805,542,"2,076",982,"1,430","2,798","2,424","1,990","1,199","2,189","2,029","5,798","1,084","6,984","3,514","1,340",590,"2,771","1,302","1,170",929
2021년02월_여_50~59세,"53,320","2,115","1,280",784,"2,695","1,470","1,766","3,362","3,374","2,666","1,873","3,154","1,917","2,773","1,541","6,283","3,856","2,077","1,211","3,972","1,987","1,830","1,334"
2021년02월_여_60~69세,"38,553","2,031","1,338",740,"1,937","1,139","1,168","1,796","1,679","1,211","1,294","1,926","1,360","1,576","1,706","4,306","2,624","1,549","1,433","2,921","1,791","1,870","1,158"
2021년02월_여_70~79세,"19,112","1,145",876,499,840,528,564,803,773,605,485,"1,080",542,728,"1,269","1,984","1,168",682,752,"1,214",926,"1,038",611
2021년02월_여_80~89세,"9,828",524,401,248,362,252,245,391,405,328,220,622,242,361,680,960,651,368,460,716,480,564,348
2021년02월_여_90~99세,"1,404",72,49,28,56,29,35,50,50,41,31,86,43,53,76,139,112,62,73,101,72,91,55
2021년02월_여_100세 이상,74,9,5,5,0,1,2,2,2,2,0,1,2,7,5,12,5,3,1,1,3,6,0
