카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동
2020년06월_남_총인구수,"168,940","3,943","5,175","4,383","6,762","3,163","6,489","6,251","3,834","7,094","7,269","2,245","13,150","5,083","8,159","8,960","7,773","21,564","5,466","34,427","7,750"
2020년06월_남_연령구간인구수,"168,940","3,943","5,175","4,383","6,762","3,163","6,489","6,251","3,834","7,094","7,269","2,245","13,150","5,083","8,159","8,960","7,773","21,564","5,466","34,427","7,750"
2020년06월_남_0~9세,"13,241",149,551,379,241,119,453,503,89,310,395,95,"1,358",198,474,464,426,"2,075",314,"4,281",367
2020년06월_남_10~19세,"14,169",276,466,307,391,233,529,599,210,473,529,150,"1,403",301,502,719,507,"1,984",343,"3,645",602
2020년06월_남_20~29세,"22,333",489,549,487,985,461,840,911,620,996,"1,038",409,"1,618",722,"1,235","1,331","1,032","2,857",761,"4,093",899
2020년06월_남_30~39세,"23,532",431,740,710,873,314,834,821,619,852,923,278,"1,716",599,"1,102",983,973,"3,048",714,"6,284",718
2020년06월_남_40~49세,"26,595",553,986,626,"1,020",438,"1,004",953,569,931,"1,094",293,"2,353",689,"1,121","1,192","1,086","3,540",758,"6,308","1,081"
2020년06월_남_50~59세,"27,858",727,720,696,"1,356",572,"1,052","1,100",698,"1,300","1,221",388,"2,061","1,012","1,473","1,687","1,454","3,419","1,031","4,434","1,457"
2020년06월_남_60~69세,"23,293",664,608,649,"1,100",554,904,777,552,"1,180","1,152",344,"1,607",915,"1,316","1,454","1,305","2,830",857,"3,177","1,348"
2020년06월_남_70~79세,"13,091",458,387,376,591,343,605,398,344,761,659,204,785,483,691,815,731,"1,378",498,"1,665",919
2020년06월_남_80~89세,"4,478",185,153,147,184,122,249,174,122,271,232,81,233,154,230,294,239,402,174,493,339
2020년06월_남_90~99세,316,11,12,6,17,5,17,11,10,18,23,3,16,9,15,20,19,29,14,43,18
2020년06월_남_100세 이상,34,0,3,0,4,2,2,4,1,2,3,0,0,1,0,1,1,2,2,4,2
2020년06월_여_총인구수,"173,687","3,966","5,717","4,528","6,564","3,469","7,011","6,369","3,785","7,262","7,803","1,972","13,563","5,171","8,047","9,578","7,658","22,493","5,342","35,391","7,998"
2020년06월_여_연령구간인구수,"173,687","3,966","5,717","4,528","6,564","3,469","7,011","6,369","3,785","7,262","7,803","1,972","13,563","5,171","8,047","9,578","7,658","22,493","5,342","35,391","7,998"
2020년06월_여_0~9세,"12,682",141,545,348,235,120,427,459,78,253,404,107,"1,350",211,434,470,385,"1,939",314,"4,127",335
2020년06월_여_10~19세,"12,877",206,390,286,335,182,425,450,159,425,536,123,"1,329",300,458,663,442,"1,798",301,"3,528",541
2020년06월_여_20~29세,"19,404",396,477,499,914,344,694,764,694,842,898,209,"1,336",622,969,"1,093",882,"2,522",617,"3,941",691
2020년06월_여_30~39세,"21,144",298,791,592,666,274,775,817,442,621,793,180,"1,828",433,871,853,727,"2,948",579,"6,026",630
2020년06월_여_40~49세,"24,981",452,915,598,784,433,966,"1,008",453,857,"1,063",221,"2,275",566,968,"1,189",896,"3,395",625,"6,231","1,086"
2020년06월_여_50~59세,"29,504",683,832,726,"1,297",688,"1,195","1,121",633,"1,358","1,338",365,"2,189","1,079","1,609","1,946","1,424","3,718","1,094","4,726","1,483"
2020년06월_여_60~69세,"26,889",771,811,737,"1,210",699,"1,179",842,703,"1,441","1,413",350,"1,804","1,016","1,396","1,727","1,429","3,223",953,"3,701","1,484"
2020년06월_여_70~79세,"16,885",639,627,472,768,462,876,571,395,966,870,264,933,637,877,"1,030",964,"1,817",597,"2,065","1,055"
2020년06월_여_80~89세,"8,100",328,283,223,306,240,420,291,200,437,424,137,444,270,404,533,443,979,222,914,602
2020년06월_여_90~99세,"1,132",47,39,44,43,25,49,42,25,54,57,16,71,33,59,69,65,149,36,123,86
2020년06월_여_100세 이상,89,5,7,3,6,2,5,4,3,8,7,0,4,4,2,5,1,5,4,9,5
