,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년08월_남_20~29세,"26,597","1,397","1,524","1,362","1,709","1,749","1,096","1,937","1,730","1,310","1,309","3,223","1,856","2,982","1,422","1,991"
2021년08월_남_30~39세,"28,135","1,171","1,169","1,265","1,495","1,673","1,138","1,759","1,797","1,331",773,"2,068","1,817","4,258","2,133","4,288"
2021년08월_남_40~49세,"33,998","1,502","1,615","1,307","1,835","1,463","1,024","1,900","2,044","1,345","1,492","3,039","3,964","4,902","2,623","3,943"
2021년08월_남_50~59세,"31,970","1,808","1,859","1,573","2,156","1,805","1,355","2,660","2,161","1,591","1,670","3,170","2,972","3,110","1,716","2,364"
2021년08월_남_60~69세,"21,543","1,287","1,337","1,613","1,513","1,501","1,316","2,103","1,637","1,177","1,091","1,902","1,261","1,588",860,"1,357"
2021년08월_남_70~79세,"7,311",586,548,580,549,518,513,781,469,363,394,576,339,491,255,349
2021년08월_남_80~89세,"2,515",225,190,211,177,185,195,309,141,143,150,196,130,131,68,64
2021년08월_남_90~99세,279,25,19,16,18,24,20,26,28,16,24,25,11,16,3,8
2021년08월_남_100세 이상,10,0,1,0,0,1,3,3,0,0,0,0,0,2,0,0
2021년08월_여_총인구수,"196,306","9,836","10,376","8,338","8,881","10,785","8,565","11,925","12,990","9,459","9,595","19,198","18,767","24,978","12,698","19,915"
2021년08월_여_연령구간인구수,"196,306","9,836","10,376","8,338","8,881","10,785","8,565","11,925","12,990","9,459","9,595","19,198","18,767","24,978","12,698","19,915"
2021년08월_여_0~9세,"18,589",628,722,401,434,640,443,598,"1,124",651,745,"1,493","2,381","3,370","1,830","3,129"
2021년08월_여_10~19세,"20,937",894,"1,042",514,691,812,586,820,"1,337",932,"1,370","2,679","3,109","2,949","1,470","1,732"
2021년08월_여_20~29세,"24,627","1,177","1,341","1,052","1,320","1,511","1,087","1,461","1,612","1,252","1,194","3,182","1,767","3,172","1,388","2,111"
2021년08월_여_30~39세,"29,096","1,086","1,225",965,"1,004","1,524","1,010","1,281","1,917","1,282",991,"2,264","2,549","4,897","2,466","4,635"
2021년08월_여_40~49세,"35,002","1,566","1,647","1,047","1,334","1,538","1,123","1,624","2,152","1,514","1,826","3,577","4,556","5,086","2,631","3,781"
2021년08월_여_50~59세,"32,929","1,906","2,046","1,707","1,820","2,031","1,666","2,527","2,497","1,868","1,702","3,186","2,617","3,070","1,688","2,598"
2021년08월_여_60~69세,"20,465","1,333","1,287","1,516","1,265","1,471","1,317","1,975","1,494","1,164",986,"1,760","1,089","1,564",848,"1,396"
2021년08월_여_70~79세,"8,509",774,617,672,615,662,696,957,473,440,453,609,421,551,244,325
2021년08월_여_80~89세,"5,038",401,371,379,331,491,507,572,308,309,266,348,221,264,111,159
2021년08월_여_90~99세,"1,074",71,74,79,63,102,123,107,72,46,62,98,54,55,20,48
2021년08월_여_100세 이상,40,0,4,6,4,3,7,3,4,1,0,2,3,0,2,1
