,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년10월_남_총인구수,"202,816","7,453","7,214","8,496","9,231","9,106","3,957","23,997","15,580","9,399","11,685","13,596","10,811","8,568","4,596","7,042","8,784","11,349","6,369","10,546","7,642","7,395"
2020년10월_남_연령구간인구수,"202,816","7,453","7,214","8,496","9,231","9,106","3,957","23,997","15,580","9,399","11,685","13,596","10,811","8,568","4,596","7,042","8,784","11,349","6,369","10,546","7,642","7,395"
2020년10월_남_0~9세,"13,882",572,571,523,333,726,156,"2,185","1,102",587,893,"1,081",712,467,256,303,422,"1,082",293,675,572,371
2020년10월_남_10~19세,"16,288",494,442,736,495,738,191,"2,526","1,829",914,758,"1,053",457,589,352,427,595,942,531,962,663,594
2020년10월_남_20~29세,"30,135","1,011","1,039","1,141","2,448","1,333",498,"3,583","2,206","1,325","1,690","1,786","2,119","1,160",678,920,"1,299","1,450",849,"1,547","1,066",987
2020년10월_남_30~39세,"29,757","1,206","1,315","1,200","1,048","1,564",500,"3,317","1,687","1,151","1,927","2,362","2,453","1,134",562,890,"1,347","1,875",766,"1,375",983,"1,095"
2020년10월_남_40~49세,"33,411","1,216","1,130","1,325","1,231","1,369",612,"4,294","2,697","1,510","1,943","2,231","1,799","1,302",751,"1,040","1,441","2,095","1,022","1,673","1,162","1,568"
2020년10월_남_50~59세,"33,743","1,233","1,156","1,425","1,372","1,385",700,"3,905","2,794","1,646","1,881","2,123","1,573","1,517",787,"1,232","1,555","1,679","1,112","1,879","1,307","1,482"
2020년10월_남_60~69세,"26,410",995,925,"1,161","1,196","1,098",676,"2,542","1,972","1,274","1,477","1,820","1,082","1,331",688,"1,191","1,251","1,284","1,022","1,461","1,145",819
2020년10월_남_70~79세,"14,088",526,452,734,812,688,428,"1,227",972,732,803,833,456,788,390,760,641,670,547,718,556,355
2020년10월_남_80~89세,"4,600",176,171,222,265,179,169,386,288,233,278,280,148,254,113,260,208,253,202,232,166,117
2020년10월_남_90~99세,457,24,10,29,29,22,24,32,29,22,34,23,10,24,17,16,23,16,22,24,21,6
2020년10월_남_100세 이상,45,0,3,0,2,4,3,0,4,5,1,4,2,2,2,3,2,3,3,0,1,1
2020년10월_여_총인구수,"199,846","7,241","7,191","8,423","7,935","8,918","3,605","24,271","15,758","9,717","11,813","13,091","9,906","8,331","4,449","7,084","8,770","11,420","6,661","10,986","7,905","6,371"
2020년10월_여_연령구간인구수,"199,846","7,241","7,191","8,423","7,935","8,918","3,605","24,271","15,758","9,717","11,813","13,091","9,906","8,331","4,449","7,084","8,770","11,420","6,661","10,986","7,905","6,371"
2020년10월_여_0~9세,"13,262",565,521,510,316,629,145,"2,069","1,115",607,836,"1,104",625,463,216,304,429,"1,017",300,653,469,369
2020년10월_여_10~19세,"15,358",453,428,620,477,593,188,"2,384","1,654",875,831,974,462,515,342,449,591,877,446,977,665,557
2020년10월_여_20~29세,"26,865",903,"1,069","1,041","1,429","1,342",341,"3,394","1,930","1,113","1,631","1,621","2,150",958,554,758,"1,209","1,434",727,"1,348","1,016",897
2020년10월_여_30~39세,"25,568","1,011","1,101","1,017",740,"1,310",354,"3,253","1,611","1,070","1,739","1,935","1,894",969,460,711,"1,049","1,717",649,"1,203",971,804
2020년10월_여_40~49세,"29,804",959,952,"1,240",881,"1,255",411,"4,151","2,827","1,499","1,675","1,896","1,376","1,071",643,890,"1,228","1,856",946,"1,692","1,145","1,211"
2020년10월_여_50~59세,"33,447","1,184","1,162","1,380","1,267","1,364",582,"3,958","2,761","1,717","1,906","2,114","1,537","1,423",749,"1,167","1,565","1,726","1,249","2,077","1,499","1,060"
2020년10월_여_60~69세,"28,665","1,055",929,"1,276","1,337","1,232",734,"2,756","2,079","1,412","1,636","1,831","1,076","1,484",707,"1,384","1,370","1,539","1,187","1,652","1,200",789
2020년10월_여_70~79세,"17,081",688,594,829,976,780,526,"1,452","1,172",874,"1,008","1,037",504,896,522,938,813,776,750,922,579,445
2020년10월_여_80~89세,"8,132",364,339,443,413,333,269,725,512,454,455,487,230,460,226,387,431,392,330,401,293,188
2020년10월_여_90~99세,"1,530",55,83,61,88,71,44,126,94,88,89,85,51,82,27,88,79,81,69,57,63,49
2020년10월_여_100세 이상,134,4,13,6,11,9,11,3,3,8,7,7,1,10,3,8,6,5,8,4,5,2
