,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년06월_남_총인구수,"224,908","15,300","15,043","10,894","12,867","21,091","10,832","10,551","8,512","9,127","7,570","6,152","10,259","10,290","9,906","22,956","16,680","12,267","14,611"
2020년06월_남_연령구간인구수,"224,908","15,300","15,043","10,894","12,867","21,091","10,832","10,551","8,512","9,127","7,570","6,152","10,259","10,290","9,906","22,956","16,680","12,267","14,611"
2020년06월_남_0~9세,"16,894","1,547",894,761,731,"1,871",558,782,532,798,531,671,583,984,671,"1,862",963,"1,111","1,044"
2020년06월_남_10~19세,"26,787","2,575","1,414",849,"1,864","4,151",686,902,611,891,709,555,726,"1,573","1,551","2,788","1,208","1,911","1,823"
2020년06월_남_20~29세,"31,078","1,684","2,520","1,780","2,224","2,447","1,444","1,393","1,102","1,126","1,124",758,"1,452","1,271","1,379","3,119","2,603","1,674","1,978"
2020년06월_남_30~39세,"29,281","1,483","2,773","2,028","1,459","1,799","1,522","1,596","1,166","1,281","1,149","1,188","1,451",949,871,"2,889","2,799","1,288","1,590"
2020년06월_남_40~49세,"38,375","3,241","2,227","1,574","2,077","4,225","1,671","1,706","1,306","1,552","1,167",968,"1,567","1,954","1,799","3,985","2,670","2,160","2,526"
2020년06월_남_50~59세,"38,269","2,586","2,400","1,704","2,406","3,489","2,092","1,640","1,667","1,395","1,246",886,"1,803","1,823","1,871","3,846","2,611","2,175","2,629"
2020년06월_남_60~69세,"27,020","1,370","1,785","1,385","1,270","1,940","1,770","1,509","1,334","1,263","1,007",703,"1,621","1,032","1,097","2,625","2,197","1,267","1,845"
2020년06월_남_70~79세,"13,129",629,778,604,655,878,882,808,595,646,493,340,769,530,468,"1,417","1,254",508,875
2020년06월_남_80~89세,"3,622",158,214,191,164,243,190,202,185,156,134,73,257,150,178,385,338,139,265
2020년06월_남_90~99세,409,25,33,15,15,48,12,11,10,17,8,8,28,22,18,38,33,34,34
2020년06월_남_100세 이상,44,2,5,3,2,0,5,2,4,2,2,2,2,2,3,2,4,0,2
2020년06월_여_총인구수,"233,045","16,571","15,868","11,824","13,412","21,489","10,280","10,938","7,603","9,436","7,663","6,294","10,631","10,776","10,319","24,117","17,349","12,923","15,552"
2020년06월_여_연령구간인구수,"233,045","16,571","15,868","11,824","13,412","21,489","10,280","10,938","7,603","9,436","7,663","6,294","10,631","10,776","10,319","24,117","17,349","12,923","15,552"
2020년06월_여_0~9세,"16,026","1,526",921,684,760,"1,657",524,764,427,777,510,626,571,877,689,"1,770",895,"1,031","1,017"
2020년06월_여_10~19세,"24,658","2,576","1,231",709,"1,613","3,491",692,911,571,786,640,581,729,"1,517","1,424","2,592","1,142","1,784","1,669"
2020년06월_여_20~29세,"29,568","1,788","2,585","1,860","1,976","2,218","1,261","1,289","1,014","1,047","1,025",699,"1,271","1,249","1,278","2,908","2,742","1,574","1,784"
2020년06월_여_30~39세,"30,213","2,023","2,658","2,063","1,474","2,344","1,262","1,496",943,"1,320","1,052","1,123","1,280","1,202","1,004","3,046","2,558","1,611","1,754"
2020년06월_여_40~49세,"41,711","3,797","2,465","1,720","2,622","5,153","1,537","1,673","1,019","1,504","1,191","1,001","1,471","2,187","2,087","4,278","2,658","2,612","2,736"
2020년06월_여_50~59세,"38,700","2,382","2,623","2,040","2,445","3,239","1,903","1,756","1,389","1,489","1,354",952,"1,884","1,717","1,783","4,019","2,858","2,200","2,667"
2020년06월_여_60~69세,"29,112","1,426","1,971","1,563","1,325","1,997","1,722","1,770","1,182","1,427","1,058",788,"1,798","1,095","1,086","3,011","2,543","1,297","2,053"
2020년06월_여_70~79세,"14,809",676,882,729,778,794,937,866,734,707,564,350,"1,055",570,615,"1,608","1,380",455,"1,109"
2020년06월_여_80~89세,"6,861",309,450,383,360,470,358,343,273,335,228,134,504,286,288,728,484,293,635
2020년06월_여_90~99세,"1,258",64,75,60,54,121,77,64,43,37,36,32,68,72,53,147,78,64,113
2020년06월_여_100세 이상,129,4,7,13,5,5,7,6,8,7,5,8,0,4,12,10,11,2,15
