,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년08월_여_10~19세,"11,656",617,387,"1,464",509,"1,153",471,"1,425",505,758,450,569,281,380,474,823,376,319,695
2020년08월_여_20~29세,"30,937","1,320","3,582","2,112","1,976","4,351","1,448","1,976","1,496","2,000","1,734","1,103",586,713,"1,614","1,412","1,068",908,"1,538"
2020년08월_여_30~39세,"33,118","1,607","2,925","2,929","2,034","4,220","1,573","3,163","2,068","2,469","1,255","1,228",492,775,"1,414","1,778",859,778,"1,551"
2020년08월_여_40~49세,"27,239","1,520","1,393","2,920","1,426","2,672","1,314","2,894","1,332","1,698","1,136","1,235",583,814,"1,214","1,650",949,840,"1,649"
2020년08월_여_50~59세,"27,772","1,769","1,336","2,666","1,533","2,501","1,422","2,014","1,021","1,464","1,233","1,481",813,"1,012","1,434","1,575","1,232","1,114","2,152"
2020년08월_여_60~69세,"23,701","1,550","1,160","2,184","1,363","1,926","1,174","1,860",938,"1,082","1,183","1,269",739,914,"1,341","1,092","1,112","1,016","1,798"
2020년08월_여_70~79세,"14,638",961,736,"1,483",776,"1,046",826,"1,075",595,620,885,781,496,483,751,554,765,775,"1,030"
2020년08월_여_80~89세,"6,577",388,332,808,359,524,375,460,282,291,388,326,217,210,331,273,298,278,437
2020년08월_여_90~99세,"1,112",73,61,130,56,97,65,81,52,47,65,51,37,41,60,37,51,45,63
2020년08월_여_100세 이상,206,12,20,20,12,22,10,16,8,4,17,5,9,12,8,11,12,4,4
