,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년04월_남_연령구간인구수,"333,525","131,359","12,400","2,241","2,185","2,244","1,725","1,251","3,231","1,161","2,948","1,962","4,667","4,939","8,957","12,423","23,048","28,003","17,974","202,166","12,963","11,690","10,636","4,684","8,617","13,754","7,079","18,977","9,323","20,528","34,657","20,710","28,548"
2020년04월_남_0~9세,"32,463","10,966",940,80,62,74,44,26,129,17,95,53,248,157,547,"1,212","2,624","3,189","1,469","21,497",724,"1,020",751,163,434,536,511,"1,833",763,"2,990","5,393","1,808","4,571"
2020년04월_남_10~19세,"36,032","13,966","1,511",129,120,126,91,52,189,53,166,93,428,407,763,"1,702","3,133","3,614","1,389","22,066","1,278","1,270","1,015",327,556,766,651,"2,747","1,316","2,942","4,750","2,004","2,444"
2020년04월_남_20~29세,"49,857","18,841","1,529",245,215,233,149,117,500,88,298,253,647,673,"1,436","1,695","3,345","3,822","3,596","31,016","1,627","1,432","1,451",571,"1,332","3,215","1,281","3,139","1,443","2,681","4,342","4,419","4,083"
2020년04월_남_30~39세,"56,401","17,965","1,359",196,167,202,132,116,363,60,305,246,506,576,"1,316","1,303","3,765","4,378","2,975","38,436","1,295","1,699","1,648",476,"1,331","3,427","1,065","2,688","1,218","3,519","7,465","4,260","8,345"
2020년04월_남_40~49세,"57,491","22,349","2,417",288,253,289,214,160,433,128,412,287,684,739,"1,500","2,331","4,558","5,080","2,576","35,142","2,207","2,295","2,017",690,"1,388","2,140",992,"3,242","1,544","3,932","6,672","3,356","4,667"
2020년04월_남_50~59세,"52,466","22,540","2,315",445,477,499,367,270,605,277,637,409,938,"1,006","1,663","2,147","3,433","4,159","2,893","29,926","2,336","1,998","1,889","1,012","1,728","1,943","1,212","3,195","1,679","2,786","4,273","2,952","2,923"
2020년04월_남_60~69세,"30,119","14,838","1,342",483,495,445,395,266,588,262,569,379,679,728,"1,138","1,256","1,478","2,413","1,922","15,281","1,883","1,215","1,121",784,"1,117","1,175",911,"1,451",900,"1,158","1,243","1,220","1,103"
2020년04월_남_70~79세,"13,173","6,931",665,256,262,245,231,147,266,171,334,166,394,452,445,572,506,970,849,"6,242","1,111",535,495,432,535,421,330,480,323,403,380,487,310
2020년04월_남_80~89세,"5,000","2,688",296,108,118,122,94,92,141,95,117,64,127,189,134,185,182,339,285,"2,312",456,205,230,195,178,119,110,185,124,102,126,188,94
2020년04월_남_90~99세,479,254,26,11,16,9,7,5,16,9,11,12,14,10,13,16,23,37,19,225,37,21,19,32,15,12,16,14,12,14,12,13,8
2020년04월_남_100세 이상,44,21,0,0,0,0,1,0,1,1,4,0,2,2,2,4,1,2,1,23,9,0,0,2,3,0,0,3,1,1,1,3,0
2020년04월_여_총인구수,"320,726","127,852","11,776","1,923","2,151","2,111","1,567","1,065","2,908","1,014","2,624","1,761","4,295","4,650","8,555","12,399","22,267","28,041","18,745","192,874","12,049","10,726","8,910","4,082","7,778","12,102","7,256","19,625","9,952","20,494","34,396","19,428","26,076"
2020년04월_여_연령구간인구수,"320,726","127,852","11,776","1,923","2,151","2,111","1,567","1,065","2,908","1,014","2,624","1,761","4,295","4,650","8,555","12,399","22,267","28,041","18,745","192,874","12,049","10,726","8,910","4,082","7,778","12,102","7,256","19,625","9,952","20,494","34,396","19,428","26,076"
2020년04월_여_0~9세,"31,189","10,418",905,70,62,77,43,31,144,16,81,47,200,155,514,"1,174","2,433","3,064","1,402","20,771",667,"1,020",700,159,389,502,436,"1,830",779,"2,961","5,187","1,705","4,436"
2020년04월_여_10~19세,"33,410","12,898","1,354",119,80,122,90,38,167,30,147,92,299,340,672,"1,596","2,841","3,450","1,461","20,512","1,122","1,226",915,278,575,724,643,"2,437","1,134","2,728","4,503","1,865","2,362"
2020년04월_여_20~29세,"45,419","16,677","1,227",147,174,153,116,87,266,53,258,246,495,519,"1,316","1,353","2,874","3,479","3,914","28,742","1,272","1,167",960,382,"1,115","3,239","1,233","2,923","1,298","2,507","4,373","4,290","3,983"
2020년04월_여_30~39세,"49,817","16,264","1,207",131,143,138,76,63,225,47,204,161,415,373,"1,061","1,475","3,436","4,354","2,755","33,553","1,029","1,480","1,113",282,957,"2,254",900,"2,727","1,244","3,767","7,508","3,360","6,932"
2020년04월_여_40~49세,"54,072","21,088","2,203",178,213,246,128,75,324,57,298,205,599,659,"1,362","2,343","4,499","5,147","2,552","32,984","1,787","1,961","1,512",470,"1,151","1,684","1,018","3,668","1,750","3,834","7,011","3,217","3,921"
2020년04월_여_50~59세,"49,681","21,537","2,011",362,430,407,291,188,592,197,465,315,862,942,"1,613","2,080","3,329","4,208","3,245","28,144","1,990","1,707","1,592",833,"1,506","1,669","1,422","3,507","1,860","2,781","3,886","2,764","2,627"
2020년04월_여_60~69세,"29,641","14,723","1,344",401,443,439,342,224,514,223,573,327,724,788,"1,108","1,256","1,583","2,408","2,026","14,918","1,930","1,099","1,030",763,"1,088","1,160",943,"1,453",926,"1,114","1,145","1,217","1,050"
2020년04월_여_70~79세,"16,129","8,226",838,251,297,266,251,180,353,195,379,234,416,531,571,693,735,"1,176",860,"7,903","1,339",635,639,518,651,540,410,634,552,471,464,600,450
2020년04월_여_80~89세,"9,618","5,078",594,224,261,222,195,158,260,160,187,118,239,298,275,368,460,622,437,"4,540",773,364,390,336,301,269,205,396,345,282,262,350,267
2020년04월_여_90~99세,"1,627",879,93,40,46,40,33,19,56,33,25,14,39,41,56,60,75,125,84,748,120,64,55,50,40,55,45,48,63,48,55,58,47
2020년04월_여_100세 이상,123,64,0,0,2,1,2,2,7,3,7,2,7,4,7,1,2,8,9,59,20,3,4,11,5,6,1,2,1,1,2,2,1
