카테고리,경기도 수원시,경기도 수원시 장안구,경기도 수원시 장안구 파장동,경기도 수원시 장안구 율천동,경기도 수원시 장안구 정자1동,경기도 수원시 장안구 정자2동,경기도 수원시 장안구 정자3동,경기도 수원시 장안구 영화동,경기도 수원시 장안구 송죽동,경기도 수원시 장안구 조원1동,경기도 수원시 장안구 조원2동,경기도 수원시 장안구 연무동,경기도 수원시 권선구,경기도 수원시 권선구 세류1동,경기도 수원시 권선구 세류2동,경기도 수원시 권선구 세류3동,경기도 수원시 권선구 평동,경기도 수원시 권선구 서둔동,경기도 수원시 권선구 구운동,경기도 수원시 권선구 금곡동,경기도 수원시 권선구 호매실동,경기도 수원시 권선구 권선1동,경기도 수원시 권선구 권선2동,경기도 수원시 권선구 곡선동,경기도 수원시 권선구 입북동,경기도 수원시 팔달구,경기도 수원시 팔달구 매교동,경기도 수원시 팔달구 매산동,경기도 수원시 팔달구 고등동,경기도 수원시 팔달구 화서1동,경기도 수원시 팔달구 화서2동,경기도 수원시 팔달구 지동,경기도 수원시 팔달구 우만1동,경기도 수원시 팔달구 우만2동,경기도 수원시 팔달구 인계동,경기도 수원시 팔달구 행궁동,경기도 수원시 영통구,경기도 수원시 영통구 매탄1동,경기도 수원시 영통구 매탄2동,경기도 수원시 영통구 매탄3동,경기도 수원시 영통구 매탄4동,경기도 수원시 영통구 원천동,경기도 수원시 영통구 영통1동,경기도 수원시 영통구 영통2동,경기도 수원시 영통구 영통3동,경기도 수원시 영통구 망포1동,경기도 수원시 영통구 망포2동,경기도 수원시 영통구 광교1동,경기도 수원시 영통구 광교2동
2020년03월_여_연령구간인구수,"592,212","137,404","11,855","20,516","15,410","15,477","21,700","10,028","9,942","14,473","10,028","7,975","183,769","5,281","11,655","9,865","20,089","19,051","12,443","23,184","23,213","12,229","25,413","12,908","8,438","87,122","2,770","5,033","4,505","12,100","13,784","5,714","10,513","8,754","18,829","5,120","183,917","9,354","7,719","17,569","11,316","19,247","18,435","12,509","16,213","15,920","14,232","26,877","14,526"
2020년03월_여_0~9세,"49,574","9,415",723,"1,610","1,315","1,053","1,841",430,579,781,737,346,"16,532",425,574,566,"1,534","1,280",758,"2,563","3,489",682,"2,878",869,914,"5,011",128,216,182,795,"1,032",227,484,646,"1,161",140,"18,616",637,485,"1,475",695,"2,298","1,856","1,304","1,390","1,755","2,135","2,851","1,735"
2020년03월_여_10~19세,"58,943","14,310",936,"2,094","1,687","1,597","3,528",615,851,"1,402","1,050",550,"16,458",305,802,776,"1,783","1,600","1,055","2,368","2,196",867,"2,606","1,173",927,"7,111",138,270,314,"1,179","1,572",362,764,877,"1,401",234,"21,064","1,001",757,"2,234","1,184","1,714","2,434","1,070","2,113","2,071","1,563","3,483","1,440"
2020년03월_여_20~29세,"88,197","20,029","1,561","3,902","2,015","2,088","2,994","1,328","1,487","2,078","1,482","1,094","26,373",764,"1,715","1,328","2,875","2,805","1,909","3,041","2,642","2,471","3,354","2,520",949,"13,550",401,850,524,"1,582","2,019",606,"1,519","1,640","3,688",721,"28,245","1,422","1,255","2,865","1,763","3,136","2,441","2,522","2,918","2,189","1,762","4,399","1,573"
2020년03월_여_30~39세,"88,301","16,272","1,404","2,787","1,894","1,851","2,425","1,133","1,323","1,535","1,140",780,"28,694",817,"1,523","1,234","2,730","2,527","1,525","3,486","4,899","2,045","4,359","2,380","1,169","11,552",397,757,472,"1,376","1,805",580,"1,321","1,105","3,191",548,"31,783","1,207",916,"2,552","1,552","3,909","2,948","2,928","2,214","2,590","3,114","5,023","2,830"
2020년03월_여_40~49세,"101,976","23,625","1,857","3,345","2,911","2,660","4,941","1,425","1,562","2,322","1,625",977,"29,946",708,"1,803","1,539","3,080","2,912","1,877","4,069","3,752","1,800","4,588","2,214","1,604","13,567",376,613,642,"1,995","2,462",789,"1,546","1,468","3,067",609,"34,838","1,658","1,283","3,449","2,065","3,329","3,808","2,080","3,303","3,083","2,674","5,501","2,605"
2020년03월_여_50~59세,"98,243","24,716","2,273","3,367","2,701","2,776","3,465","2,015","1,866","2,774","2,040","1,439","31,712",990,"2,183","1,762","3,844","3,473","2,512","3,911","3,085","2,156","4,259","2,146","1,391","15,172",492,927,858,"2,137","2,562","1,026","1,933","1,430","2,853",954,"26,643","1,678","1,455","2,680","1,971","2,275","2,863","1,476","2,555","2,551","1,785","3,270","2,084"
2020년03월_여_60~69세,"57,475","14,827","1,595","1,782","1,506","1,722","1,223","1,701","1,244","1,779",927,"1,348","19,034",689,"1,712","1,437","2,339","2,458","1,546","1,988","1,783","1,274","2,077",884,847,"11,068",419,742,784,"1,593","1,206","1,062","1,514",863,"1,922",963,"12,546","1,010",830,"1,238","1,149","1,478","1,082",563,904,936,696,"1,353","1,307"
2020년03월_여_70~79세,"30,600","8,590",931,960,822,"1,089",762,911,635,"1,060",561,859,"9,287",357,864,818,"1,151","1,286",749,"1,076",858,563,779,402,384,"6,483",269,420,494,968,673,685,944,459,950,621,"6,240",473,448,634,569,692,616,364,454,468,299,616,607
2020년03월_여_80~89세,"15,785","4,664",468,577,462,536,440,379,331,623,392,456,"4,801",179,403,331,609,604,445,581,443,314,417,254,221,"3,010",132,201,192,396,384,311,418,222,492,262,"3,310",218,246,377,311,338,327,175,300,229,172,319,298
2020년03월_여_90~99세,"2,896",892,100,85,93,99,80,76,61,114,73,111,866,38,71,63,133,98,63,99,63,54,91,63,30,533,15,34,37,68,66,58,66,43,89,57,605,46,39,60,55,77,57,26,61,45,31,62,46
2020년03월_여_100세 이상,222,64,7,7,4,6,1,15,3,5,1,15,66,9,5,11,11,8,4,2,3,3,5,3,2,65,3,3,6,11,3,8,4,1,15,11,27,4,5,5,2,1,3,1,1,3,1,0,1
